"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;91;50,33;51,69;53,32;53,41;53,3
2;"la Xerea";1;12;91;57,78;59,09;60,6;60,61;60,59
3;"el Carme";1;13;91;22,39;24,74;26,54;26,51;26,78
4;"el Pilar";1;14;91;31,87;33,31;34,8;34,68;34,59
5;"el Mercat";1;15;91;42,73;44,09;45,12;45,06;45,38
6;"Sant Francesc";1;16;91;79,97;81,14;82,66;82,55;82,5
7;"Russafa";2;21;91;37,33;39,14;41,31;41,35;41,5
8;"el Pla del Remei";2;22;91;96,39;96,6;97,19;97,22;97,19
9;"Gran Via";2;23;91;79,44;81,36;84,01;84,03;83,98
10;"el Botànic";3;31;91;38,96;40,58;41,71;41,66;41,73
11;"la Roqueta";3;32;91;42,53;43,85;45,36;45,39;45,52
12;"la Petxina";3;33;91;50,15;51,9;55,03;55,04;55,34
13;"Arrancapins";3;34;91;59,58;62,45;64,73;64,73;64,77
14;"Campanar";4;41;91;59,83;62,19;65,61;65,62;65,63
15;"les Tendetes";4;42;91;33,86;34,81;37,37;37,37;37,33
16;"el Calvari";4;43;91;1,05;2,32;2,81;2,8;2,81
17;"Sant Pau";4;44;91;73,79;76,02;77,05;77,13;77,77
18;"Marxalenes";5;51;91;12,94;15,39;17,14;17,87;18,01
19;"Morvedre";5;52;91;19,71;22,49;24,36;24,36;24,36
20;"Trinitat";5;53;91;16,47;17,06;18,01;18,26;18,3
21;"Tormos";5;54;91;17,86;21,1;23,75;23,74;23,72
22;"Sant Antoni";5;55;91;29,18;31,41;33,35;33,36;33,8
23;"Exposició";6;61;91;72,48;75,41;78,34;78,72;78,72
24;"Mestalla";6;62;91;65,55;67,62;69,21;69,21;69,25
25;"Jaume Roig";6;63;91;86,01;86,64;88,51;88,51;88,51
26;"Ciutat Universitària";6;64;91;83,06;84,03;90,85;90,85;90,87
27;"Nou Moles";7;71;91;19,02;20,68;23,31;23,36;23,73
28;"Soternes";7;72;91;10,48;12,37;15,51;15,51;15,5
29;"Tres Forques";7;73;91;2,32;3,39;3,95;3,95;3,95
30;"la Fontsanta";7;74;91;6,13;7,68;7,75;7,75;7,75
31;"la Llum";7;75;91;27,54;32,37;36,76;36,76;36,76
32;"Patraix";8;81;91;37,37;38,75;41,14;41,24;41,44
33;"Sant Isidre";8;82;91;37,32;42,07;45,8;47,29;48,09
34;"Vara de Quart";8;83;91;22,81;30,69;37,27;37,27;37,28
35;"Safranar";8;84;91;40,17;45,22;51,04;52,18;53,02
36;"Favara";8;85;91;23,91;25,48;28,98;28,93;28,92
37;"la Raiosa";9;91;91;30,96;32,11;33,03;33,03;33,41
38;"l'Hort de Senabre";9;92;91;14,89;16,5;17,94;17,94;17,92
39;"la Creu Coberta";9;93;91;15,53;15,63;17,27;17,28;17,28
41;"Camí Real";9;95;91;21,38;22,17;22,23;22,23;22,23
42;"Mont-Olivet";10;101;91;20,72;22,79;24,62;24,62;24,65
43;"en Corts";10;102;91;20,27;22,16;24,24;24,25;24,37
44;"Malilla";10;103;91;26,55;30,06;33,44;33,93;34,78
45;"Fonteta de Sant Lluís";10;104;91;8,76;9,96;10,24;10,26;13,2
46;"na Rovella";10;105;91;4,44;5,36;5,82;5,82;5,82
47;"la Punta";10;106;91;39,65;41,04;44,25;44,17;47,58
48;"Ciutat de les Arts i les Ciències";10;107;91;70,56;74,08;76,05;76,04;77,11
49;"el Grau";11;111;91;23,41;25,48;27,81;27,93;28,92
50;"el Cabanyal-el Canyamelar";11;112;91;10,59;11,32;11,89;11,96;12,02
51;"la Malva-rosa";11;113;91;8,77;9,98;10,98;10,98;11,72
52;"Beteró";11;114;91;35,07;39,45;41,85;41,85;41,84
53;"Natzaret";11;115;91;6,32;7,5;8,51;8,52;8,52
54;"Aiora";12;121;91;19,03;21,17;23,52;23,83;23,84
55;"Albors";12;122;91;23,96;26,11;33,02;33,02;32,99
56;"la Creu del Grau";12;123;91;17,67;19,12;21,58;21,59;21,56
57;"Camí Fondo";12;124;91;31,82;35,05;38,26;38,4;38,38
58;"Penya-roja";12;125;91;93,15;93,42;93,81;93,95;93,98
59;"l'Illa Perduda";13;131;91;18,1;19,53;22,72;22,72;22,72
60;"Ciutat Jardí";13;132;91;39,52;43,2;46,7;46,7;46,7
61;"l'Amistat";13;133;91;29,33;31,41;32,92;32,92;32,92
62;"la Bega Baixa";13;134;91;63,07;67,72;69,85;69,85;69,86
63;"la Carrasca";13;135;91;67,3;70,36;71,5;71,52;71,52
64;"Benimaclet";14;141;91;30,74;32,61;34,8;34,9;34,91
65;"Camí de Vera";14;142;91;39,73;45,48;50,26;50,14;50,14
66;"Orriols";15;151;91;7,65;8,49;10,38;10,39;10,39
67;"Torrefiel";15;152;91;13,54;15,29;16,7;16,69;16,68
68;"Sant Llorenç";15;153;91;71,85;75,33;78,44;78,43;78,98
69;"Benicalap";16;161;91;28,85;30,42;32,33;32,72;33,69
70;"Ciutat Fallera";16;162;91;9,69;9,69;10,15;10,14;10,13
71;"Benifaraig";17;171;91;39,55;41,71;44,68;44,42;44,8
72;"Poble Nou";17;172;91;20,37;20,25;21,78;21,77;21,97
73;"Carpesa";17;173;91;25,77;26,63;27,63;27,84;27,96
74;"Cases de Bàrcena";17;174;91;11,76;12,29;11,91;11,39;11,39
75;"Mauella";17;175;91;9,21;9,72;9,59;10;11,27
76;"Massarrojos";17;176;91;52,13;55,97;59,76;59,86;60,02
77;"Borbotó";17;177;91;25,5;28;30,25;29,95;29,95
78;"Benimàmet";18;181;91;14,79;16,33;18,74;18,73;18,73
79;"Beniferri";18;182;91;61,42;62,01;64,96;64,96;64,96
80;"el Forn d'Alcedo";19;191;91;13,8;14,42;16,77;16,77;16,92
81;"el Castellar-l'Oliverar";19;192;91;20,39;22,37;25,02;24,96;25,01
