"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2019"
1;"la Seu";1;11;119;71,35
2;"la Xerea";1;12;119;74,06
3;"el Carme";1;13;119;69,07
4;"el Pilar";1;14;119;69,18
5;"el Mercat";1;15;119;70,91
6;"Sant Francesc";1;16;119;75,48
7;"Russafa";2;21;119;72,1
8;"el Pla del Remei";2;22;119;80,79
9;"Gran Via";2;23;119;77,17
10;"el Botànic";3;31;119;71,2
11;"la Roqueta";3;32;119;68,89
12;"la Petxina";3;33;119;72,33
13;"Arrancapins";3;34;119;73,44
14;"Campanar";4;41;119;71,39
15;"les Tendetes";4;42;119;66,78
16;"el Calvari";4;43;119;55,83
17;"Sant Pau";4;44;119;70,26
18;"Marxalenes";5;51;119;65,81
19;"Morvedre";5;52;119;68,32
20;"Trinitat";5;53;119;70,46
21;"Tormos";5;54;119;62,6
22;"Sant Antoni";5;55;119;68,3
23;"Exposició";6;61;119;75,67
24;"Mestalla";6;62;119;72,12
25;"Jaume Roig";6;63;119;77,33
26;"Ciutat Universitària";6;64;119;76,64
27;"Nou Moles";7;71;119;64,16
28;"Soternes";7;72;119;64,18
29;"Tres Forques";7;73;119;57,41
30;"la Fontsanta";7;74;119;48,66
31;"la Llum";7;75;119;66,7
32;"Patraix";8;81;119;69,47
33;"Sant Isidre";8;82;119;65,84
34;"Vara de Quart";8;83;119;69,22
35;"Safranar";8;84;119;71,96
36;"Favara";8;85;119;65,71
37;"la Raiosa";9;91;119;66,09
38;"l'Hort de Senabre";9;92;119;65,03
39;"la Creu Coberta";9;93;119;66,34
41;"Camí Real";9;95;119;60,41
42;"Mont-Olivet";10;101;119;63,38
43;"en Corts";10;102;119;60,9
44;"Malilla";10;103;119;66,31
45;"Fonteta de Sant Lluís";10;104;119;55,88
46;"na Rovella";10;105;119;48,32
47;"la Punta";10;106;119;58,72
48;"Ciutat de les Arts i les Ciències";10;107;119;71,03
49;"el Grau";11;111;119;60,37
50;"el Cabanyal-el Canyamelar";11;112;119;58,8
51;"la Malva-rosa";11;113;119;59,29
52;"Beteró";11;114;119;64,18
53;"Natzaret";11;115;119;50,66
54;"Aiora";12;121;119;63,15
55;"Albors";12;122;119;66,51
56;"la Creu del Grau";12;123;119;62,62
57;"Camí Fondo";12;124;119;63,16
58;"Penya-roja";12;125;119;73,32
59;"l'Illa Perduda";13;131;119;66,63
60;"Ciutat Jardí";13;132;119;71,58
61;"l'Amistat";13;133;119;65,54
62;"la Bega Baixa";13;134;119;74,1
63;"la Carrasca";13;135;119;73,91
64;"Benimaclet";14;141;119;68,56
65;"Camí de Vera";14;142;119;72,08
66;"Orriols";15;151;119;56,08
67;"Torrefiel";15;152;119;58,62
68;"Sant Llorenç";15;153;119;74,37
69;"Benicalap";16;161;119;62,47
70;"Ciutat Fallera";16;162;119;56,31
71;"Benifaraig";17;171;119;71,71
72;"Poble Nou";17;172;119;58,31
73;"Carpesa";17;173;119;69,62
74;"Cases de Bàrcena";17;174;119;61,59
75;"Mauella";17;175;119;61,59
76;"Massarrojos";17;176;119;73,36
77;"Borbotó";17;177;119;71,12
78;"Benimàmet";18;181;119;58,7
79;"Beniferri";18;182;119;73,86
80;"el Forn d'Alcedo";19;191;119;62,61
81;"el Castellar-l'Oliverar";19;192;119;63,17
82;"Pinedo";19;193;119;62,06
83;"el Saler";19;194;119;67,05
84;"el Palmar";19;195;119;83,62
85;"el Perellonet";19;196;119;63,73
86;"la Torre";19;197;119;56,68
87;"Faitanar";19;198;119;56,68
