"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2019"
1;"la Seu";1;11;105;16,91
2;"la Xerea";1;12;105;19,22
3;"el Carme";1;13;105;13,87
4;"el Pilar";1;14;105;15,61
5;"el Mercat";1;15;105;15,12
6;"Sant Francesc";1;16;105;21,24
7;"Russafa";2;21;105;17,27
8;"el Pla del Remei";2;22;105;23,58
9;"Gran Via";2;23;105;23,06
10;"el Botànic";3;31;105;16,34
11;"la Roqueta";3;32;105;17,59
12;"la Petxina";3;33;105;19,08
13;"Arrancapins";3;34;105;20,01
14;"Campanar";4;41;105;18,33
15;"les Tendetes";4;42;105;14,24
16;"el Calvari";4;43;105;15,33
17;"Sant Pau";4;44;105;25,63
18;"Marxalenes";5;51;105;15,61
19;"Morvedre";5;52;105;15,11
20;"Trinitat";5;53;105;15,12
21;"Tormos";5;54;105;17,17
22;"Sant Antoni";5;55;105;17,98
23;"Exposició";6;61;105;25,41
24;"Mestalla";6;62;105;22,55
25;"Jaume Roig";6;63;105;26,84
26;"Ciutat Universitària";6;64;105;22,57
27;"Nou Moles";7;71;105;16,36
28;"Soternes";7;72;105;15,79
29;"Tres Forques";7;73;105;14,23
30;"la Fontsanta";7;74;105;11,49
31;"la Llum";7;75;105;17,69
32;"Patraix";8;81;105;16,77
33;"Sant Isidre";8;82;105;17,29
34;"Vara de Quart";8;83;105;16,34
35;"Safranar";8;84;105;18,64
36;"Favara";8;85;105;16,79
37;"la Raiosa";9;91;105;17,63
38;"l'Hort de Senabre";9;92;105;16,1
39;"la Creu Coberta";9;93;105;17,09
41;"Camí Real";9;95;105;17,58
42;"Mont-Olivet";10;101;105;17,18
43;"en Corts";10;102;105;15,95
44;"Malilla";10;103;105;17,93
45;"Fonteta de Sant Lluís";10;104;105;18,99
46;"na Rovella";10;105;105;14,39
47;"la Punta";10;106;105;17,57
48;"Ciutat de les Arts i les Ciències";10;107;105;26,46
49;"el Grau";11;111;105;15,98
50;"el Cabanyal-el Canyamelar";11;112;105;14,19
51;"la Malva-rosa";11;113;105;13,88
52;"Beteró";11;114;105;15,8
53;"Natzaret";11;115;105;13,18
54;"Aiora";12;121;105;15,41
55;"Albors";12;122;105;16,24
56;"la Creu del Grau";12;123;105;16,57
57;"Camí Fondo";12;124;105;18,13
58;"Penya-roja";12;125;105;29,16
59;"l'Illa Perduda";13;131;105;15,92
60;"Ciutat Jardí";13;132;105;16,44
61;"l'Amistat";13;133;105;15,11
62;"la Bega Baixa";13;134;105;17,82
63;"la Carrasca";13;135;105;20,51
64;"Benimaclet";14;141;105;16,18
65;"Camí de Vera";14;142;105;16,42
66;"Orriols";15;151;105;12,02
67;"Torrefiel";15;152;105;16,51
68;"Sant Llorenç";15;153;105;23,45
69;"Benicalap";16;161;105;17,97
70;"Ciutat Fallera";16;162;105;14,84
71;"Benifaraig";17;171;105;13,75
72;"Poble Nou";17;172;105;13,4
73;"Carpesa";17;173;105;10
74;"Cases de Bàrcena";17;174;105;10,81
75;"Mauella";17;175;105;10,81
76;"Massarrojos";17;176;105;20,61
77;"Borbotó";17;177;105;12,53
78;"Benimàmet";18;181;105;13,76
79;"Beniferri";18;182;105;22,7
80;"el Forn d'Alcedo";19;191;105;14,21
81;"el Castellar-l'Oliverar";19;192;105;17,84
82;"Pinedo";19;193;105;16,53
83;"el Saler";19;194;105;16,93
84;"el Palmar";19;195;105;12,48
85;"el Perellonet";19;196;105;19,2
86;"la Torre";19;197;105;16,04
87;"Faitanar";19;198;105;16,04
