"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2019"
1;"la Seu";1;11;117;14
2;"la Xerea";1;12;117;6,26
3;"el Carme";1;13;117;20,64
4;"el Pilar";1;14;117;17,43
5;"el Mercat";1;15;117;15,36
6;"Sant Francesc";1;16;117;4,68
7;"Russafa";2;21;117;14,48
8;"el Pla del Remei";2;22;117;2,77
9;"Gran Via";2;23;117;6,7
10;"el Botànic";3;31;117;14,51
11;"la Roqueta";3;32;117;11,8
12;"la Petxina";3;33;117;12,61
13;"Arrancapins";3;34;117;10,34
14;"Campanar";4;41;117;13,15
15;"les Tendetes";4;42;117;16
16;"el Calvari";4;43;117;16,03
17;"Sant Pau";4;44;117;10,91
18;"Marxalenes";5;51;117;14,76
19;"Morvedre";5;52;117;15,41
20;"Trinitat";5;53;117;16,01
21;"Tormos";5;54;117;16,97
22;"Sant Antoni";5;55;117;13,97
23;"Exposició";6;61;117;4,24
24;"Mestalla";6;62;117;8,38
25;"Jaume Roig";6;63;117;4,41
26;"Ciutat Universitària";6;64;117;6,13
27;"Nou Moles";7;71;117;14,25
28;"Soternes";7;72;117;14,58
29;"Tres Forques";7;73;117;16,64
30;"la Fontsanta";7;74;117;16,34
31;"la Llum";7;75;117;14,44
32;"Patraix";8;81;117;14,52
33;"Sant Isidre";8;82;117;15,3
34;"Vara de Quart";8;83;117;16,45
35;"Safranar";8;84;117;14,23
36;"Favara";8;85;117;14,32
37;"la Raiosa";9;91;117;13,68
38;"l'Hort de Senabre";9;92;117;15,09
39;"la Creu Coberta";9;93;117;14,76
41;"Camí Real";9;95;117;14,99
42;"Mont-Olivet";10;101;117;12,73
43;"en Corts";10;102;117;13,85
44;"Malilla";10;103;117;15,29
45;"Fonteta de Sant Lluís";10;104;117;13,58
46;"na Rovella";10;105;117;13,46
47;"la Punta";10;106;117;15,28
48;"Ciutat de les Arts i les Ciències";10;107;117;9,36
49;"el Grau";11;111;117;17,03
50;"el Cabanyal-el Canyamelar";11;112;117;17,37
51;"la Malva-rosa";11;113;117;20,14
52;"Beteró";11;114;117;17,94
53;"Natzaret";11;115;117;14,37
54;"Aiora";12;121;117;16,85
55;"Albors";12;122;117;14,34
56;"la Creu del Grau";12;123;117;15,98
57;"Camí Fondo";12;124;117;15,18
58;"Penya-roja";12;125;117;6,28
59;"l'Illa Perduda";13;131;117;17,57
60;"Ciutat Jardí";13;132;117;15,75
61;"l'Amistat";13;133;117;13,13
62;"la Bega Baixa";13;134;117;14,31
63;"la Carrasca";13;135;117;12,33
64;"Benimaclet";14;141;117;16,39
65;"Camí de Vera";14;142;117;18,94
66;"Orriols";15;151;117;15,99
67;"Torrefiel";15;152;117;15,66
68;"Sant Llorenç";15;153;117;11,64
69;"Benicalap";16;161;117;14,43
70;"Ciutat Fallera";16;162;117;17,35
71;"Benifaraig";17;171;117;10,28
72;"Poble Nou";17;172;117;12,31
73;"Carpesa";17;173;117;13,24
74;"Cases de Bàrcena";17;174;117;12,06
75;"Mauella";17;175;117;12,06
76;"Massarrojos";17;176;117;10,19
77;"Borbotó";17;177;117;10,14
78;"Benimàmet";18;181;117;15,43
79;"Beniferri";18;182;117;12,54
80;"el Forn d'Alcedo";19;191;117;14,15
81;"el Castellar-l'Oliverar";19;192;117;9,56
82;"Pinedo";19;193;117;8,79
83;"el Saler";19;194;117;16,53
84;"el Palmar";19;195;117;5,19
85;"el Perellonet";19;196;117;10,72
86;"la Torre";19;197;117;14,49
87;"Faitanar";19;198;117;14,49
