"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2019"
1;"la Seu";1;11;123;13,1
2;"la Xerea";1;12;123;5,37
3;"el Carme";1;13;123;17,33
4;"el Pilar";1;14;123;16,03
5;"el Mercat";1;15;123;14,15
6;"Sant Francesc";1;16;123;4,28
7;"Russafa";2;21;123;13
8;"el Pla del Remei";2;22;123;2,34
9;"Gran Via";2;23;123;5,25
10;"el Botànic";3;31;123;13,29
11;"la Roqueta";3;32;123;9,51
12;"la Petxina";3;33;123;10,99
13;"Arrancapins";3;34;123;8,99
14;"Campanar";4;41;123;10,15
15;"les Tendetes";4;42;123;11,06
16;"el Calvari";4;43;123;12,36
17;"Sant Pau";4;44;123;8,49
18;"Marxalenes";5;51;123;11,7
19;"Morvedre";5;52;123;12,7
20;"Trinitat";5;53;123;14
21;"Tormos";5;54;123;13,79
22;"Sant Antoni";5;55;123;10,95
23;"Exposició";6;61;123;3,48
24;"Mestalla";6;62;123;6,84
25;"Jaume Roig";6;63;123;3,78
26;"Ciutat Universitària";6;64;123;6,31
27;"Nou Moles";7;71;123;11,27
28;"Soternes";7;72;123;11,09
29;"Tres Forques";7;73;123;12,69
30;"la Fontsanta";7;74;123;11,38
31;"la Llum";7;75;123;10,27
32;"Patraix";8;81;123;11,71
33;"Sant Isidre";8;82;123;11,92
34;"Vara de Quart";8;83;123;13,13
35;"Safranar";8;84;123;12,06
36;"Favara";8;85;123;13,25
37;"la Raiosa";9;91;123;11,31
38;"l'Hort de Senabre";9;92;123;12,24
39;"la Creu Coberta";9;93;123;11,07
41;"Camí Real";9;95;123;12,12
42;"Mont-Olivet";10;101;123;10,54
43;"en Corts";10;102;123;11,62
44;"Malilla";10;103;123;12,57
45;"Fonteta de Sant Lluís";10;104;123;9,05
46;"na Rovella";10;105;123;11,14
47;"la Punta";10;106;123;11,25
48;"Ciutat de les Arts i les Ciències";10;107;123;8,08
49;"el Grau";11;111;123;12,67
50;"el Cabanyal-el Canyamelar";11;112;123;13,4
51;"la Malva-rosa";11;113;123;15,72
52;"Beteró";11;114;123;13,42
53;"Natzaret";11;115;123;9,76
54;"Aiora";12;121;123;13,45
55;"Albors";12;122;123;11,27
56;"la Creu del Grau";12;123;123;12,91
57;"Camí Fondo";12;124;123;10,84
58;"Penya-roja";12;125;123;5,52
59;"l'Illa Perduda";13;131;123;13,2
60;"Ciutat Jardí";13;132;123;12,98
61;"l'Amistat";13;133;123;11,64
62;"la Bega Baixa";13;134;123;11,48
63;"la Carrasca";13;135;123;11,41
64;"Benimaclet";14;141;123;13,91
65;"Camí de Vera";14;142;123;16,1
66;"Orriols";15;151;123;12
67;"Torrefiel";15;152;123;11,97
68;"Sant Llorenç";15;153;123;9,35
69;"Benicalap";16;161;123;11,28
70;"Ciutat Fallera";16;162;123;14,64
71;"Benifaraig";17;171;123;8,82
72;"Poble Nou";17;172;123;11,57
73;"Carpesa";17;173;123;10,03
74;"Cases de Bàrcena";17;174;123;8,11
75;"Mauella";17;175;123;8,11
76;"Massarrojos";17;176;123;7,6
77;"Borbotó";17;177;123;6,6
78;"Benimàmet";18;181;123;12
79;"Beniferri";18;182;123;10,56
80;"el Forn d'Alcedo";19;191;123;11,02
81;"el Castellar-l'Oliverar";19;192;123;6,24
82;"Pinedo";19;193;123;7,56
83;"el Saler";19;194;123;15,06
84;"el Palmar";19;195;123;3,24
85;"el Perellonet";19;196;123;9,46
86;"la Torre";19;197;123;11,01
87;"Faitanar";19;198;123;11,01
