"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2019"
1;"la Seu";1;11;112;13,77
2;"la Xerea";1;12;112;22,48
3;"el Carme";1;13;112;8,53
4;"el Pilar";1;14;112;12,44
5;"el Mercat";1;15;112;13,71
6;"Sant Francesc";1;16;112;22,12
7;"Russafa";2;21;112;11,25
8;"el Pla del Remei";2;22;112;23,83
9;"Gran Via";2;23;112;17,17
10;"el Botànic";3;31;112;11,98
11;"la Roqueta";3;32;112;13,31
12;"la Petxina";3;33;112;12,3
13;"Arrancapins";3;34;112;12,78
14;"Campanar";4;41;112;10,16
15;"les Tendetes";4;42;112;9,71
16;"el Calvari";4;43;112;7,77
17;"Sant Pau";4;44;112;13,42
18;"Marxalenes";5;51;112;8,71
19;"Morvedre";5;52;112;8,02
20;"Trinitat";5;53;112;9,38
21;"Tormos";5;54;112;8,92
22;"Sant Antoni";5;55;112;10,95
23;"Exposició";6;61;112;18,11
24;"Mestalla";6;62;112;14,51
25;"Jaume Roig";6;63;112;18,49
26;"Ciutat Universitària";6;64;112;14,42
27;"Nou Moles";7;71;112;9,28
28;"Soternes";7;72;112;9,31
29;"Tres Forques";7;73;112;10,49
30;"la Fontsanta";7;74;112;10,08
31;"la Llum";7;75;112;9,18
32;"Patraix";8;81;112;9,54
33;"Sant Isidre";8;82;112;9,76
34;"Vara de Quart";8;83;112;9,39
35;"Safranar";8;84;112;9,15
36;"Favara";8;85;112;9,74
37;"la Raiosa";9;91;112;10,39
38;"l'Hort de Senabre";9;92;112;8,2
39;"la Creu Coberta";9;93;112;8,57
41;"Camí Real";9;95;112;13,55
42;"Mont-Olivet";10;101;112;11,63
43;"en Corts";10;102;112;10,15
44;"Malilla";10;103;112;9,55
45;"Fonteta de Sant Lluís";10;104;112;11,67
46;"na Rovella";10;105;112;11,74
47;"la Punta";10;106;112;12,95
48;"Ciutat de les Arts i les Ciències";10;107;112;13,22
49;"el Grau";11;111;112;10,92
50;"el Cabanyal-el Canyamelar";11;112;112;9,44
51;"la Malva-rosa";11;113;112;8,46
52;"Beteró";11;114;112;7,65
53;"Natzaret";11;115;112;10,64
54;"Aiora";12;121;112;9,02
55;"Albors";12;122;112;9,85
56;"la Creu del Grau";12;123;112;9,98
57;"Camí Fondo";12;124;112;10,51
58;"Penya-roja";12;125;112;15,01
59;"l'Illa Perduda";13;131;112;8,68
60;"Ciutat Jardí";13;132;112;9,07
61;"l'Amistat";13;133;112;9,04
62;"la Bega Baixa";13;134;112;11,8
63;"la Carrasca";13;135;112;9,78
64;"Benimaclet";14;141;112;10,16
65;"Camí de Vera";14;142;112;8,06
66;"Orriols";15;151;112;9,84
67;"Torrefiel";15;152;112;8,94
68;"Sant Llorenç";15;153;112;10,01
69;"Benicalap";16;161;112;9,66
70;"Ciutat Fallera";16;162;112;9,59
71;"Benifaraig";17;171;112;13,27
72;"Poble Nou";17;172;112;7,37
73;"Carpesa";17;173;112;7,3
74;"Cases de Bàrcena";17;174;112;7,32
75;"Mauella";17;175;112;7,32
76;"Massarrojos";17;176;112;12,87
77;"Borbotó";17;177;112;12,95
78;"Benimàmet";18;181;112;9,44
79;"Beniferri";18;182;112;10,07
80;"el Forn d'Alcedo";19;191;112;11,83
81;"el Castellar-l'Oliverar";19;192;112;11,09
82;"Pinedo";19;193;112;14,69
83;"el Saler";19;194;112;10,42
84;"el Palmar";19;195;112;4,23
85;"el Perellonet";19;196;112;14,08
86;"la Torre";19;197;112;10,43
87;"Faitanar";19;198;112;10,43
