"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2019"
1;"la Seu";1;11;111;23,23
2;"la Xerea";1;12;111;30,88
3;"el Carme";1;13;111;16,41
4;"el Pilar";1;14;111;16,64
5;"el Mercat";1;15;111;20,34
6;"Sant Francesc";1;16;111;33,66
7;"Russafa";2;21;111;20,92
8;"el Pla del Remei";2;22;111;38,25
9;"Gran Via";2;23;111;29,58
10;"el Botànic";3;31;111;20,41
11;"la Roqueta";3;32;111;24,55
12;"la Petxina";3;33;111;22,38
13;"Arrancapins";3;34;111;25,62
14;"Campanar";4;41;111;19,52
15;"les Tendetes";4;42;111;19,22
16;"el Calvari";4;43;111;15,5
17;"Sant Pau";4;44;111;17,78
18;"Marxalenes";5;51;111;19,41
19;"Morvedre";5;52;111;21,09
20;"Trinitat";5;53;111;20,79
21;"Tormos";5;54;111;14,47
22;"Sant Antoni";5;55;111;18,3
23;"Exposició";6;61;111;33,99
24;"Mestalla";6;62;111;25,79
25;"Jaume Roig";6;63;111;32,92
26;"Ciutat Universitària";6;64;111;30,83
27;"Nou Moles";7;71;111;19,04
28;"Soternes";7;72;111;18,81
29;"Tres Forques";7;73;111;17,4
30;"la Fontsanta";7;74;111;14,16
31;"la Llum";7;75;111;16,59
32;"Patraix";8;81;111;18,66
33;"Sant Isidre";8;82;111;12,85
34;"Vara de Quart";8;83;111;17,26
35;"Safranar";8;84;111;15,24
36;"Favara";8;85;111;15,72
37;"la Raiosa";9;91;111;19,41
38;"l'Hort de Senabre";9;92;111;15,14
39;"la Creu Coberta";9;93;111;15,25
41;"Camí Real";9;95;111;13,1
42;"Mont-Olivet";10;101;111;21,15
43;"en Corts";10;102;111;19,09
44;"Malilla";10;103;111;15,58
45;"Fonteta de Sant Lluís";10;104;111;17,73
46;"na Rovella";10;105;111;18,02
47;"la Punta";10;106;111;18,68
48;"Ciutat de les Arts i les Ciències";10;107;111;19,89
49;"el Grau";11;111;111;12,99
50;"el Cabanyal-el Canyamelar";11;112;111;14,58
51;"la Malva-rosa";11;113;111;12,44
52;"Beteró";11;114;111;12,78
53;"Natzaret";11;115;111;17,88
54;"Aiora";12;121;111;13,8
55;"Albors";12;122;111;19,46
56;"la Creu del Grau";12;123;111;13,59
57;"Camí Fondo";12;124;111;18,59
58;"Penya-roja";12;125;111;22,44
59;"l'Illa Perduda";13;131;111;13,65
60;"Ciutat Jardí";13;132;111;16,03
61;"l'Amistat";13;133;111;19,92
62;"la Bega Baixa";13;134;111;21,53
63;"la Carrasca";13;135;111;17,41
64;"Benimaclet";14;141;111;18,25
65;"Camí de Vera";14;142;111;13,79
66;"Orriols";15;151;111;15,19
67;"Torrefiel";15;152;111;14,62
68;"Sant Llorenç";15;153;111;16,12
69;"Benicalap";16;161;111;14,7
70;"Ciutat Fallera";16;162;111;13,69
71;"Benifaraig";17;171;111;21,45
72;"Poble Nou";17;172;111;28,63
73;"Carpesa";17;173;111;23,47
74;"Cases de Bàrcena";17;174;111;24,39
75;"Mauella";17;175;111;24,39
76;"Massarrojos";17;176;111;23,27
77;"Borbotó";17;177;111;30,23
78;"Benimàmet";18;181;111;13,78
79;"Beniferri";18;182;111;17,66
80;"el Forn d'Alcedo";19;191;111;19,82
81;"el Castellar-l'Oliverar";19;192;111;24,55
82;"Pinedo";19;193;111;20,9
83;"el Saler";19;194;111;12,74
84;"el Palmar";19;195;111;29,04
85;"el Perellonet";19;196;111;21,6
86;"la Torre";19;197;111;14,45
87;"Faitanar";19;198;111;14,45
