"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2019"
1;"la Seu";1;11;115;30,17
2;"la Xerea";1;12;115;41,64
3;"el Carme";1;13;115;19,85
4;"el Pilar";1;14;115;21,53
5;"el Mercat";1;15;115;26,46
6;"Sant Francesc";1;16;115;43,48
7;"Russafa";2;21;115;27,03
8;"el Pla del Remei";2;22;115;49,49
9;"Gran Via";2;23;115;40,92
10;"el Botànic";3;31;115;27,84
11;"la Roqueta";3;32;115;32,17
12;"la Petxina";3;33;115;29,65
13;"Arrancapins";3;34;115;33,13
14;"Campanar";4;41;115;25,29
15;"les Tendetes";4;42;115;23,85
16;"el Calvari";4;43;115;20,47
17;"Sant Pau";4;44;115;26,16
18;"Marxalenes";5;51;115;23,66
19;"Morvedre";5;52;115;26,1
20;"Trinitat";5;53;115;26,19
21;"Tormos";5;54;115;19,28
22;"Sant Antoni";5;55;115;24,47
23;"Exposició";6;61;115;46,64
24;"Mestalla";6;62;115;34,79
25;"Jaume Roig";6;63;115;45,97
26;"Ciutat Universitària";6;64;115;40,65
27;"Nou Moles";7;71;115;23,87
28;"Soternes";7;72;115;24,15
29;"Tres Forques";7;73;115;21,05
30;"la Fontsanta";7;74;115;17,09
31;"la Llum";7;75;115;21,87
32;"Patraix";8;81;115;24,84
33;"Sant Isidre";8;82;115;17,16
34;"Vara de Quart";8;83;115;21,65
35;"Safranar";8;84;115;20,4
36;"Favara";8;85;115;19,56
37;"la Raiosa";9;91;115;25,51
38;"l'Hort de Senabre";9;92;115;19,48
39;"la Creu Coberta";9;93;115;19,32
41;"Camí Real";9;95;115;17,52
42;"Mont-Olivet";10;101;115;27,38
43;"en Corts";10;102;115;23,91
44;"Malilla";10;103;115;20,57
45;"Fonteta de Sant Lluís";10;104;115;23,23
46;"na Rovella";10;105;115;18,86
47;"la Punta";10;106;115;24,01
48;"Ciutat de les Arts i les Ciències";10;107;115;27,66
49;"el Grau";11;111;115;18,06
50;"el Cabanyal-el Canyamelar";11;112;115;19,56
51;"la Malva-rosa";11;113;115;16,13
52;"Beteró";11;114;115;18,31
53;"Natzaret";11;115;115;18,33
54;"Aiora";12;121;115;18,27
55;"Albors";12;122;115;25,34
56;"la Creu del Grau";12;123;115;18,65
57;"Camí Fondo";12;124;115;24,07
58;"Penya-roja";12;125;115;33,79
59;"l'Illa Perduda";13;131;115;18,34
60;"Ciutat Jardí";13;132;115;23,18
61;"l'Amistat";13;133;115;25,12
62;"la Bega Baixa";13;134;115;28,35
63;"la Carrasca";13;135;115;23,35
64;"Benimaclet";14;141;115;23,89
65;"Camí de Vera";14;142;115;18,27
66;"Orriols";15;151;115;19,03
67;"Torrefiel";15;152;115;18,91
68;"Sant Llorenç";15;153;115;24,52
69;"Benicalap";16;161;115;20
70;"Ciutat Fallera";16;162;115;15,44
71;"Benifaraig";17;171;115;23,88
72;"Poble Nou";17;172;115;33,19
73;"Carpesa";17;173;115;24,97
74;"Cases de Bàrcena";17;174;115;27,14
75;"Mauella";17;175;115;27,14
76;"Massarrojos";17;176;115;31,74
77;"Borbotó";17;177;115;31,88
78;"Benimàmet";18;181;115;17,48
79;"Beniferri";18;182;115;22,66
80;"el Forn d'Alcedo";19;191;115;21,08
81;"el Castellar-l'Oliverar";19;192;115;30,37
82;"Pinedo";19;193;115;26,8
83;"el Saler";19;194;115;19,14
84;"el Palmar";19;195;115;33,85
85;"el Perellonet";19;196;115;30,14
86;"la Torre";19;197;115;19,08
87;"Faitanar";19;198;115;19,08
