"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021"
1;"la Seu";1;11;96;699;711;968;982;1045;1056;1001;1058;1175;1199;1204;1249
2;"la Xerea";1;12;96;1461;1455;2042;2056;2134;2173;2290;2341;2385;2485;2530;2581
3;"el Carme";1;13;96;684;660;995;1019;1069;1129;1215;1225;1187;1325;1365;1367
4;"el Pilar";1;14;96;475;480;714;713;747;774;822;916;953;1012;1010;1051
5;"el Mercat";1;15;96;1306;1261;1592;1604;1645;1648;1745;1808;1857;1864;1862;1887
6;"Sant Francesc";1;16;96;4181;4023;5323;5485;5761;5893;6101;6380;6561;6800;6745;6999
7;"Russafa";2;21;96;3344;3285;4434;4458;4646;4841;4985;5134;5373;5759;5886;6037
8;"el Pla del Remei";2;22;96;2790;2889;3882;3928;4139;4268;4452;4648;4911;5147;5317;5344
9;"Gran Via";2;23;96;2418;2399;3228;3307;3370;3453;3536;3647;3777;3947;3968;4175
10;"el Botànic";3;31;96;924;898;1243;1232;1250;1313;1355;1439;1488;1541;1570;1624
11;"la Roqueta";3;32;96;1323;1330;1681;1691;1773;1888;2009;2127;2122;2213;2218;2261
12;"la Petxina";3;33;96;1532;1464;2103;2136;2154;2242;2285;2380;2424;2577;2558;2694
13;"Arrancapins";3;34;96;2682;2668;3762;3821;3907;4023;4111;4207;4267;4566;4579;4697
14;"Campanar";4;41;96;1348;1293;1838;1919;1920;1921;2001;2001;2044;2064;2031;2063
15;"les Tendetes";4;42;96;291;285;457;462;475;512;501;495;519;537;542;560
16;"el Calvari";4;43;96;240;234;340;330;335;336;341;347;350;389;350;362
17;"Sant Pau";4;44;96;1007;1043;1766;1829;1942;2089;2279;2427;2457;2711;2699;2859
18;"Marxalenes";5;51;96;512;489;787;814;891;876;863;905;887;919;902;933
19;"Morvedre";5;52;96;650;616;915;937;973;1025;1031;1060;1081;1154;1168;1232
20;"Trinitat";5;53;96;592;573;857;860;904;932;927;926;958;1003;960;1032
21;"Tormos";5;54;96;393;384;690;659;677;691;679;692;698;741;749;746
22;"Sant Antoni";5;55;96;612;583;906;900;952;934;944;974;1008;1077;1086;1084
23;"Exposició";6;61;96;862;865;1300;1350;1391;1466;1525;1553;1600;1670;1705;1736
24;"Mestalla";6;62;96;1535;1534;2316;2372;2505;2552;2604;2664;2795;2988;2997;3076
25;"Jaume Roig";6;63;96;612;607;1021;1020;1066;1091;1161;1209;1213;1299;1319;1359
26;"Ciutat Universitària";6;64;96;414;411;590;586;563;602;620;621;661;665;624;630
27;"Nou Moles";7;71;96;1490;1463;2156;2173;2242;2300;2355;2340;2425;2604;2585;2634
28;"Soternes";7;72;96;232;232;338;328;351;373;353;356;360;389;391;421
29;"Tres Forques";7;73;96;276;255;382;390;414;424;393;394;393;425;438;457
30;"la Fontsanta";7;74;96;100;106;174;159;172;170;190;167;157;147;157;168
31;"la Llum";7;75;96;212;203;351;368;380;391;392;395;421;419;417;423
32;"Patraix";8;81;96;1675;1651;2435;2437;2488;2561;2581;2631;2690;2919;2871;3017
33;"Sant Isidre";8;82;96;379;379;664;695;738;747;775;738;730;769;778;778
34;"Vara de Quart";8;83;96;786;741;1078;1126;1177;1216;1222;1271;1327;1454;1491;1608
35;"Safranar";8;84;96;446;434;755;823;852;856;867;878;907;919;906;925
36;"Favara";8;85;96;184;182;280;288;308;295;306;308;320;353;372;391
37;"la Raiosa";9;91;96;1091;1120;1571;1526;1572;1607;1654;1666;1727;1788;1777;1836
