"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021"
1;"la Seu";1;11;98;242,88;251,15;338,82;339,56;365,77;371,57;342,57;355,27;379,4;397,94;400,67;409,64
2;"la Xerea";1;12;98;377,91;378,61;526,15;528,4;551,99;563,39;590,36;602,57;613,27;635,88;637,92;651,93
3;"el Carme";1;13;98;109,97;105,47;153,12;156,79;166,23;174,52;189,73;191,89;186,34;208,89;209,77;207,44
4;"el Pilar";1;14;98;114,13;113,82;166,16;161,79;168,09;170,22;177,61;199,65;201,95;218,86;216,6;226,9
5;"el Mercat";1;15;98;381,09;366,78;455,9;466,01;481,42;475,61;490,86;512,18;518,14;523,89;516,65;516
6;"Sant Francesc";1;16;98;775,55;763,81;996,26;1046,36;1106,61;1113,57;1133,8;1171,72;1171,61;1209,1;1188,97;1241,4
7;"Russafa";2;21;98;133,29;133,96;180,13;183,01;193,53;202,93;208,39;215,14;225,43;242,57;247,47;253,38
8;"el Pla del Remei";2;22;98;407,6;427,56;570,3;578,67;606,89;626,45;648,89;663,53;699,37;735,5;746,98;754,38
9;"Gran Via";2;23;98;201,84;202,65;274,33;282,82;290,89;299,95;304,2;310,49;316,81;332,29;332,8;349,58
10;"el Botànic";3;31;98;137,36;134,07;184,56;184,6;191,6;201,26;206,37;217,01;223,09;232,78;237,2;245,21
11;"la Roqueta";3;32;98;289,88;299,08;378,52;385,46;404,79;428,51;451,36;481,99;476,32;497,42;494,1;496,6
12;"la Petxina";3;33;98;99,26;96,37;138,75;141,19;143,71;149,07;151,91;158,35;160,81;171,34;169,61;179,72
13;"Arrancapins";3;34;98;115,05;115,63;163,25;167,51;174,35;180,91;184,95;187,8;189,11;202,86;201,83;208,18
14;"Campanar";4;41;98;111,4;108,92;155,66;162,56;164;165,67;171,58;172,49;176,15;178,04;175,49;178,66
15;"les Tendetes";4;42;98;51,17;51,93;84,66;87,42;91;98,33;96,48;95,1;98,61;102,23;102,67;106,24
16;"el Calvari";4;43;98;45,39;45,74;66,9;66,11;68,83;70,06;70,98;73,19;73,11;79,98;70,21;72,78
17;"Sant Pau";4;44;98;75,58;74,68;122,32;124,21;128,65;134,9;143,31;149,57;148,82;163,04;159,71;169,35
18;"Marxalenes";5;51;98;45,26;44,4;71,57;75,54;84,55;83,45;82,03;85,77;83,29;86,46;83,17;85,75
19;"Morvedre";5;52;98;60,63;58,01;87,08;89,31;94,48;99,76;99,25;103,35;104,9;112,89;114,53;120,67
20;"Trinitat";5;53;98;72,1;70,98;107,88;109,07;115,85;119,46;118,21;117,57;120,75;128,47;122,2;131,4
21;"Tormos";5;54;98;43,65;43,98;78,7;76,63;79,55;81,78;81,28;81,52;80,54;85,88;85,78;87,01
22;"Sant Antoni";5;55;98;60,74;58,88;91,03;91,24;97,91;96,35;97,18;100,23;102,56;109,83;110,14;111,11
23;"Exposició";6;61;98;127,46;129,28;196,32;203,5;211,4;220,15;228,43;231,72;235,81;248,14;253,64;257,83
24;"Mestalla";6;62;98;102,46;103,77;156,13;159,43;170,48;176,36;180,13;183,09;189,56;204,01;203,01;209,12
25;"Jaume Roig";6;63;98;91,48;91,06;153,58;154,06;163,67;170,47;181,35;187,15;187,05;200,8;204,53;211,35
26;"Ciutat Universitària";6;64;98;151,93;149,56;215,41;215,05;213,18;231,98;240,12;234,34;245,63;246,94;230,26;225,4
27;"Nou Moles";7;71;98;54,87;54,95;81,7;83,26;86,47;88,84;90,61;90,34;92,52;99,96;98,29;100,23
28;"Soternes";7;72;98;44,87;45,91;67,82;66,2;71,36;76,42;70,81;70,86;72,7;79,05;78,78;86,01
29;"Tres Forques";7;73;98;29,4;27,57;42,03;44,01;47,33;48,59;45,24;44,69;44,24;47,16;47,09;48,78
30;"la Fontsanta";7;74;98;27,01;29,14;47,21;43,91;48,71;48,01;54,1;47,47;44,3;41,87;44,08;47,1
31;"la Llum";7;75;98;40,82;39,49;69,07;72,17;75,11;77,15;77,69;78,19;83,37;82,87;81,4;83,35
