"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;2;13022,62;12809,95;12927,6;13085,97;12927,6;12859,73;13221,72;13475,11;14013,57;13633,48;13597,29;13796,38;14036,2
2;"la Xerea";1;12;2;12391,03;12317,31;12439,1;12471,15;12391,03;12362,18;12432,69;12451,92;12464,74;12525,64;12711,54;12689,1;12679,49
3;"el Carme";1;13;2;16197,92;16296,88;16921,88;16924,48;16747,4;16846,35;16677,08;16625;16588,54;16518,23;16945,31;17161,46;17455,73
4;"el Pilar";1;14;2;25691,36;26030,86;26524,69;27203,7;27432,1;28067,9;28567,9;28320,99;29129,63;28543,21;28783,95;28592,59;29314,81
5;"el Mercat";1;15;2;19809,25;19872,83;20184,97;19895,95;19751,45;20028,9;20549,13;20404,62;20716,76;20566,47;20832,37;21138,73;21826,59
6;"Sant Francesc";1;16;2;12280,18;11997,72;12170,84;11940,77;11858,77;12054,67;12257,4;12403,19;12756,26;12810,93;12922,55;12842,82;12977,22
7;"Russafa";2;21;2;28575,17;27929,38;28036,45;27743,74;27341,69;27169,7;27244,87;27179,95;27145,79;27041;27089,98;27136,67;27033,03
8;"el Pla del Remei";2;22;2;17687,34;17459,95;17589,15;17540,05;17622,74;17604,65;17728,68;18100,78;18144,7;18082,69;18392,76;18304,91;18142,12
9;"Gran Via";2;23;2;25543,71;25240,94;25089,55;24931,77;24701,49;24545,84;24784,65;25044,78;25420,04;25326,23;25422,17;25464,82;25407,25
10;"el Botànic";3;31;2;18181,08;18102,7;18202,7;18037,84;17632,43;17632,43;17745,95;17921,62;18027,03;17891,89;17889,19;17900;17840,54
11;"la Roqueta";3;32;2;19757,58;19251,08;19225,11;18991,34;18961,04;19073,59;19268,4;19103,9;19285,71;19259,74;19432,9;19709,96;19675,32
12;"la Petxina";3;33;2;31054,33;30567,4;30496,98;30440,64;30158,95;30261,57;30265,59;30241,45;30329,98;30261,57;30346,08;30160,97;29977,87
13;"Arrancapins";3;34;2;26671,62;26399,31;26366,13;26099,54;25639,59;25443,94;25432,49;25630,43;25815,79;25752,86;25957,67;25814,65;25733,41
14;"Campanar";4;41;2;12271,81;12039,55;11975,66;11972,62;11873,23;11759,63;11827,59;11765,72;11744,94;11733,81;11713,56;11687,25;11644,74
15;"les Tendetes";4;42;2;22042,64;21271,32;20922,48;20484,5;20232,56;20182,17;20127,91;20174,42;20399,22;20360,47;20461,24;20430,23;20538,76
16;"el Calvari";4;43;2;56255,32;54425,53;54063,83;53106,38;51776,6;51021,28;51106,38;50436,17;50925,53;51744,68;53031,91;52914,89;53468,09
17;"Sant Pau";4;44;2;3346,9;3508,41;3626,48;3698,82;3791,76;3889,98;3994,72;4076,11;4235,51;4265,78;4335,3;4330,94;4446,9
18;"Marxalenes";5;51;2;29005,13;28238,46;28194,87;27630,77;27020,51;26915,38;26974,36;27056,41;27305,13;27253,85;27807,69;27897,44;27735,9
19;"Morvedre";5;52;2;25049,07;24810,75;24549,07;24514,02;24063,08;24007,01;24271,03;23962,62;24077,1;23883,18;23827,1;23855,14;23707,94
20;"Trinitat";5;53;2;13776,85;13545,3;13328,86;13229,87;13092,28;13090,6;13157,72;13214,77;13312,08;13098,99;13181,21;13177,85;13142,62
21;"Tormos";5;54;2;32157,14;31182,14;31314,29;30714,29;30392,86;30178,57;29835,71;30317,86;30953,57;30814,29;31185,71;30621,43;30396,43
22;"Sant Antoni";5;55;2;40304;39604;39812;39456;38892;38776;38856;38872;39312;39224;39440;39024;38820
23;"Exposició";6;61;2;17704,19;17515,71;17335,08;17366,49;17225,13;17431,94;17476,44;17544,5;17761,78;17617,8;17596,86;17625,65;17646,6
24;"Mestalla";6;62;2;17751,18;17514,22;17575,83;17627,96;17409,95;17144,55;17127,96;17239,34;17470,38;17353,08;17491,71;17427,73;17298,58
25;"Jaume Roig";6;63;2;35026,18;34900,52;34806,28;34664,92;34099,48;33507,85;33518,32;33821,99;33952,88;33869,11;33764,4;33664,92;33293,19
26;"Ciutat Universitària";6;64;2;9837,55;9920,58;9888,09;9837,55;9534,3;9368,23;9321,3;9566,79;9714,8;9722,02;9783,39;10090,25;9906,14
27;"Nou Moles";7;71;2;36745,6;36025,71;35710,42;35316,64;35086,6;35032,48;35170,5;35048,71;35418,92;35204,05;35540,54;35513,51;35079,73
28;"Soternes";7;72;2;22977,78;22457,78;22151,11;22022,22;21862,22;21693,33;22155,56;22328,89;22107,14;21968,75;22156,25;21852,68;21633,93
29;"Tres Forques";7;73;2;17812,14;17550,28;17246,68;16814,04;16599,62;16557,87;16483,87;16728,65;16855,79;17098,67;17650,85;17777,99;17690,7
30;"la Fontsanta";7;74;2;11150,6;10954,82;11102,41;10906,63;10635,54;10665,66;10578,31;10596,39;10972,14;10869,97;11027,86;11043,34;11003,1
31;"la Llum";7;75;2;27770,05;27491,98;27176,47;27267,38;27053,48;27101,6;26983,96;27016,04;28857,14;28891,43;29274,29;29000;28594,29
32;"Patraix";8;81;2;41281,8;40590,98;40494,36;40011,27;39687,6;39473,43;39582,93;39541,06;39887,28;39597,42;39774,56;39434,78;39130,43
33;"Sant Isidre";8;82;2;20240,4;20068,69;20004,04;20032,32;19848,48;19933,33;20012,12;19981,82;20078,79;20137,37;20109,09;19903,03;20602,02
34;"Vara de Quart";8;83;2;10100,66;9972,46;9872,74;9815,76;9800,57;9835,71;9867,05;9901,23;10060,87;10057;10050,24;9994,2;9780,68
35;"Safranar";8;84;2;20088,44;20049,89;19907,03;20240,36;20408,16;20566,89;20648,53;20732,43;20825,4;20814,06;21061,22;21344,67;21662,13
36;"Favara";8;85;2;12425;12553,57;12800;12871,43;12717,86;12675;12821,43;12910,71;13092,86;12989,29;13246,43;13339,29;12942,86
37;"la Raiosa";9;91;2;42013,33;41098,67;41072;40597,33;40338,67;40405,33;40986,67;41112;41352;41314,67;41888;41309,33;40800
38;"l'Hort de Senabre";9;92;2;41328,64;40800,47;40603,29;40424,88;40251,17;40103,29;40190,14;39962,44;40415,49;40051,64;40140,85;40035,21;39575,12
39;"la Creu Coberta";9;93;2;17008;16834,67;16736;16474,67;16410,67;16360;16277,33;16312;16416;16421,33;16301,33;16130,67;15965,33
41;"Camí Real";9;95;2;2574,42;2535,86;2563,6;2512,86;2493,91;2468,88;2500;2506,77;2553,83;2600,54;2620,85;2606,64;2593,77
42;"Mont-Olivet";10;101;2;42896,41;41835,1;41704,02;41382,66;40951,37;40983,09;41369,98;41342,49;41446,09;41116,28;41198,73;40623,68;40600,42
43;"en Corts";10;102;2;34041,21;33771,98;33785,71;33593,41;33302,2;33200,55;33293,96;32969,78;33104,4;33258,24;33252,75;33151,1;33043,96
44;"Malilla";10;103;2;9050,26;8903,47;8868,37;8803,75;8763,86;8721,58;8761,47;8785,8;8807,74;8752,69;8753,49;8815,32;8889,91
45;"Fonteta de Sant Lluís";10;104;2;13092,05;12715,48;12732,22;12234,31;11828,45;11803,35;11744,77;12138,08;12313,81;12343,1;12686,19;12531,38;12719,67
46;"na Rovella";10;105;2;16064,81;15518,52;15277,78;15055,56;14987,04;14725,93;14735,19;14611,11;14583,33;14472,22;14451,85;14170,37;13962,96
47;"la Punta";10;106;2;336,18;349,69;367,24;371,1;393,79;411,49;421,95;420,02;425,56;418,96;433,12;443,59;445,68
48;"Ciutat de les Arts i les Ciències";10;107;2;5839,23;5879,68;5893,83;5964,61;6153,69;6473,21;6699,7;6861,48;6995,96;7128,41;7537,92;7606,67;7772,5
49;"el Grau";11;111;2;13613,67;13463,04;13351,46;13290,1;13239,89;13262,2;13252,44;13020,92;13248,6;13139,66;13079,61;13166,2;13261,17
50;"el Cabanyal-el Canyamelar";11;112;2;15516,68;15467,75;15530,76;15465,53;15255,74;15229,06;15191,25;14951,82;14929,58;14452,93;14350,63;14326,91;14233,51
51;"la Malva-rosa";11;113;2;19532,88;19189,04;19084,93;18782,19;18580,82;18487,67;18397,26;17995,89;18063,1;17744,86;17716,05;17706,45;17591,22
52;"Beteró";11;114;2;32639,22;32309,8;32149,02;31784,31;31768,63;31768,63;31886,27;31556,86;31596,08;31415,69;31250,98;31250,98;30894,12
53;"Natzaret";11;115;2;7503,82;7334,79;7116,68;6904,03;6712,1;6608,51;6580,15;6491,82;6621,59;6533,26;6670,67;6683,75;6639,04
54;"Aiora";12;121;2;39791,09;39574,5;39491,55;39125,96;38551,46;38434,72;38523,81;38543,78;38685,1;38371,74;38341,01;38239,63;37715,82
55;"Albors";12;122;2;35453,12;34875;34429,69;34218,75;33761,72;33664,06;33871,09;33792,97;34156,25;34281,25;34289,06;34101,56;34031,25
56;"la Creu del Grau";12;123;2;38969,39;38375;38038,27;38221,94;37816,33;37872,45;38028,06;37665,82;38102,04;37484,69;37767,86;37640,31;37329,08
57;"Camí Fondo";12;124;2;29764,33;29312,1;29324,84;28808,92;28535,03;28464,97;28522,29;29133,76;29299,36;29216,56;29401,27;29184,71;28859,87
58;"Penya-roja";12;125;2;11589,46;11723,38;11909,99;12084,52;12295,28;12713,5;13154,77;13433,59;13680,57;13626,78;13974,75;14291,99;14405,05
59;"l'Illa Perduda";13;131;2;39801,72;38900,86;38750;38250;38107,76;37836,21;37754,31;37568,97;37987,07;37465,52;37500;36987,07;36525,86
60;"Ciutat Jardí";13;132;2;35950,55;34887,36;34527,47;33832,42;33104,4;33032,97;32826,92;32851,65;32964,29;32445,05;32656,59;32494,51;32098,9
61;"l'Amistat";13;133;2;37497,58;36618,36;36574,88;35743,96;35130,43;35019,32;35033,82;34657;34521,74;34275,36;34415,46;34367,15;33884,06
62;"la Bega Baixa";13;134;2;31000;30329,9;30252,58;29932,99;29520,62;29355,67;29427,84;29324,74;29252,58;28721,65;28412,37;27953,61;27814,43
63;"la Carrasca";13;135;2;1792,53;1765,77;1727,92;1743,56;1732,46;1748,61;1777,89;1769,81;1801,83;1804,38;1749,36;1754,46;1684,16
64;"Benimaclet";14;141;2;33218,03;32697,17;32281,29;31827,73;31663,53;31563,93;31892,33;31804,85;31822,34;31367,43;31306,86;31230,15;30658,14
65;"Camí de Vera";14;142;2;6180;6116,67;6028,89;5997,78;6000;6017,78;6000;6007,78;6586,46;6544,14;6559,85;6494,56;6390,57
