"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;30;0,24;0,15;0,27;0,36;0,36;0,46;0,37;0,25;0,21;0,22;0,22
2;"la Xerea";1;12;30;0,24;0,21;0,3;0,36;0,33;0,34;0,22;0,33;0,27;0,23;0,25
3;"el Carme";1;13;30;0,68;0,75;0,56;0,55;0,57;0,41;0,57;0,39;0,52;0,47;0,47
4;"el Pilar";1;14;30;0,89;0,75;0,94;0,96;0,95;0,85;0,75;0,81;0,73;0,68;0,7
5;"el Mercat";1;15;30;0,62;0,46;0,32;0,41;0,49;0,39;0,37;0,66;0,6;0,69;0,59
6;"Sant Francesc";1;16;30;0,65;0,57;0,54;0,6;0,57;0,41;0,39;0,39;0,35;0,36;0,46
7;"Russafa";2;21;30;4,79;4,05;3,36;3,1;2,8;2,45;2,05;1,98;1,96;2,14;1,94
8;"el Pla del Remei";2;22;30;0,43;0,46;0,46;0,49;0,46;0,44;0,39;0,31;0,5;0,48;0,51
9;"Gran Via";2;23;30;0,73;0,75;0,73;0,52;0,39;0,53;0,64;0,5;0,45;0,48;0,5
10;"el Botànic";3;31;30;1,03;1,37;0,89;1,12;0,9;0,8;0,84;0,84;0,89;0,69;0,67
11;"la Roqueta";3;32;30;0,76;0,93;0,64;0,55;0,54;0,6;0,4;0,61;0,68;0,95;0,95
12;"la Petxina";3;33;30;1,81;1,88;1,69;1,84;2,06;2,15;1,72;1,89;1,73;1,5;1,23
13;"Arrancapins";3;34;30;2,14;1,96;2,47;2,38;2,21;3,07;3,01;2,97;2,87;2,43;2,16
14;"Campanar";4;41;30;1,52;1,47;1,53;1,48;1,67;1,58;1,39;1,36;1,08;1,07;1,22
15;"les Tendetes";4;42;30;1;0,9;0,78;0,71;1,03;0,92;0,97;0,84;0,84;0,85;0,86
16;"el Calvari";4;43;30;1,49;1,42;1,37;1,4;1,31;1,26;1,49;1,55;1,79;1,64;1,58
