"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;29;2,7;3,35;0,21;2,88;2,95;2,97;2,51;3,44;3,34;0,3;0,36
2;"la Xerea";1;12;29;1,21;1,3;0,21;1,48;1,43;1,93;2,51;2,13;2,77;0,3;0,29
3;"el Carme";1;13;29;2,6;2,42;0,52;3,06;3,62;3,56;3,98;3,71;3,25;0,65;0,73
4;"el Pilar";1;14;29;2,23;2,32;0,55;1,58;1,1;1,56;1,96;1,31;1,53;0,7;0,73
5;"el Mercat";1;15;29;1,39;1,3;0,36;1,67;1,77;1,34;1,35;1,42;1,24;0,43;0,51
6;"Sant Francesc";1;16;29;0,74;0,65;0,28;1,48;1,77;2,23;2,82;3,38;3,01;0,43;0,45
7;"Russafa";2;21;29;3,9;4,18;3,27;5,29;5,73;6,16;7,83;8,89;8,83;2,27;2,25
8;"el Pla del Remei";2;22;29;1,12;1,02;0,16;1,58;1,77;1,78;2,63;3,11;2,58;0,19;0,26
9;"Gran Via";2;23;29;1,86;1,95;0,54;3,71;3,54;4,67;4,9;5,07;6,21;0,53;0,49
10;"el Botànic";3;31;29;1,86;1,58;0,82;1,48;1,52;1,11;1,59;1,8;1,38;0,73;0,79
11;"la Roqueta";3;32;29;1,02;1,02;0,83;0,83;0,93;1,19;1,47;1,31;0,91;0,65;0,64
12;"la Petxina";3;33;29;2,23;2,23;2,29;2,88;3,29;3,04;2,45;2,73;2,72;1,43;1,55
13;"Arrancapins";3;34;29;3,81;3,07;3,38;2,6;3,88;3,56;2,63;2,94;4,06;2,31;2,29
14;"Campanar";4;41;29;1,49;1,86;0,96;1,48;1,43;1,26;0,92;0,98;1,34;0,97;0,97
15;"les Tendetes";4;42;29;0,65;0,74;0,99;0,37;0,59;0,96;1,16;1,04;0,95;0,86;0,89
16;"el Calvari";4;43;29;0,37;0,19;1;0,46;0,25;0,3;0,24;0,33;0,24;1,26;1,46
17;"Sant Pau";4;44;29;3,25;2,7;1,09;2,5;2,53;2,23;1,29;2,02;2,53;1,11;1,1
18;"Marxalenes";5;51;29;0,84;0,37;1,97;0,37;0,76;1,19;0,92;0,65;0,38;1,87;1,88
19;"Morvedre";5;52;29;0,84;1,3;2,03;0,93;0,84;0,89;1,41;1,31;1,48;1,45;1,31
20;"Trinitat";5;53;29;1,86;1,67;1,13;1,11;1,01;1,34;1,04;0,82;1,05;1,27;1,27
21;"Tormos";5;54;29;0,37;0,37;1,48;0,28;0,51;0,07;0,49;0,22;0,33;1,5;1,51
22;"Sant Antoni";5;55;29;0,46;0,56;1,23;1,21;0,76;0,74;0,49;0,49;0,53;1,01;0,97
23;"Exposició";6;61;29;0,93;0,93;0,24;1,02;0,42;0,74;0,43;0,55;0,86;0,36;0,32
24;"Mestalla";6;62;29;4,28;4,09;1,43;2,69;2,02;1,56;1,59;1,8;1,86;1,6;1,59
25;"Jaume Roig";6;63;29;0,84;0,74;0,32;1,48;0,84;1,26;1,22;1,04;0,95;0,21;0,2
26;"Ciutat Universitària";6;64;29;0,28;0,56;0,11;0,28;0,34;0,22;0,12;0,22;0,43;0,17;0,16
27;"Nou Moles";7;71;29;1,67;1,67;5,48;1,21;1,1;1,11;1,41;1,36;1,1;4,91;4,66
28;"Soternes";7;72;29;0,28;0,28;0,62;0,37;0,51;0,45;0,49;0,33;0,38;0,66;0,62
29;"Tres Forques";7;73;29;0,74;0,46;1,73;1,02;0,67;0,74;0,37;0,49;0,72;2,23;2,27
30;"la Fontsanta";7;74;29;0,37;0,28;0,42;0,19;0,17;0,15;0,06;0,16;0,05;0,57;0,68
31;"la Llum";7;75;29;0,56;0,46;0,52;0,83;0,59;0,45;0,24;0,33;0,33;0,6;0,51
32;"Patraix";8;81;29;2,32;2,32;3,13;1,48;1,85;1,78;1,77;1,8;1,81;2,96;2,91
33;"Sant Isidre";8;82;29;0,65;0,56;0,66;0,65;0,59;0,45;0,31;0,33;0,24;0,74;0,77
34;"Vara de Quart";8;83;29;0,74;0,56;0,72;0,37;0,34;0,22;0,31;0,33;0,24;0,97;0,99
35;"Safranar";8;84;29;0,28;0,19;0,4;0,46;0,17;0,3;0,18;0,11;0,19;0,48;0,55
36;"Favara";8;85;29;0,19;0,09;0,56;0,46;0,08;0,07;0,06;0,05;0,24;0,63;0,63
37;"la Raiosa";9;91;29;1,21;1,39;2,98;2,13;1,94;1,85;1,41;1,25;1,62;3,23;3,06
38;"l'Hort de Senabre";9;92;29;0,37;0,56;1,93;0,65;0,84;0,74;0,73;0,93;0,76;2,26;2,25
39;"la Creu Coberta";9;93;29;0,19;0,19;0,69;0,37;0,25;0,22;0,24;0,22;0,24;0,94;0,94
41;"Camí Real";9;95;29;0,09;0;0,37;0;0;0;0;0;0;0,51;0,5
42;"Mont-Olivet";10;101;29;2,6;2,42;4,29;1,95;2,19;2;2,33;3;3,15;3,3;3,21
43;"en Corts";10;102;29;0,84;1,12;2,64;1,3;1,52;1,48;1,59;1,42;1,1;1,97;1,89
44;"Malilla";10;103;29;2,14;1,86;2,48;1,3;1,18;1,41;1,65;1,04;0,81;2,05;2,02
45;"Fonteta de Sant Lluís";10;104;29;0;0;0,31;0;0,08;0,07;0,06;0;0,19;0,37;0,39
46;"na Rovella";10;105;29;0,65;0,56;0,88;0,28;0,42;0,45;0,24;0,22;0,29;1,04;1,05
47;"la Punta";10;106;29;0,09;0,19;0,14;0,37;0,51;0,37;0,24;0,11;0,14;0,27;0,31
48;"Ciutat de les Arts i les Ciències";10;107;29;1,21;0,93;0,64;1,76;2,27;2,74;2,88;2,34;2,15;0,85;0,8
49;"el Grau";11;111;29;0,84;0,65;1,02;0,93;1,26;1,41;1,35;0,76;0,91;1,28;1,31
50;"el Cabanyal-el Canyamelar";11;112;29;2,51;2,97;1,92;2,13;2,02;1,56;1,96;2,18;2,58;2,03;2,17
51;"la Malva-rosa";11;113;29;1,12;2,04;0,93;1,76;1,77;1,41;1,16;1,25;1,19;1,42;1,48
52;"Beteró";11;114;29;1,67;1,58;0,62;0,83;0,67;0,89;0,98;0,71;0,76;0,77;0,79
53;"Natzaret";11;115;29;0,37;0,46;0,56;0,46;0,51;0,59;0,43;0,44;0,43;0,88;0,99
54;"Aiora";12;121;29;2,6;2,23;3,28;2,97;3,03;2,45;2,2;1,64;1,43;3,36;3,36
55;"Albors";12;122;29;1,12;1,3;1,42;1,21;0,93;1,48;1,47;1,58;1,05;1,27;1,25
56;"la Creu del Grau";12;123;29;1,58;1,67;1,87;1,48;1,94;1,93;2,02;1,85;1,29;1,88;1,96
57;"Camí Fondo";12;124;29;1,12;1,49;0,8;1,21;1,18;1,26;0,92;0,76;0,67;0,59;0,6
58;"Penya-roja";12;125;29;5,2;6,13;0,82;5,66;7,16;5,27;4,9;3,98;4,73;1,15;1,02
59;"l'Illa Perduda";13;131;29;1,39;1,3;0,52;1,48;0,76;0,82;0,43;0,16;0,24;0,77;0,8
60;"Ciutat Jardí";13;132;29;1,77;1,67;1,28;1,48;1,18;1,04;0,98;1,04;1;1,39;1,35
