"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;26;0,81;0,87;0,91;0,94;0,98;0,9;0,99;0,95;0,88
2;"la Xerea";1;12;26;0,7;0,72;0,78;0,72;0,71;0,68;0,74;0,76;0,76
3;"el Carme";1;13;26;1,55;1,6;1,73;1,83;1,79;1,85;1,99;1,9;1,95
4;"el Pilar";1;14;26;1,24;1,35;1,4;1,4;1,41;1,24;1,16;1,19;1,2
5;"el Mercat";1;15;26;0,86;0,86;0,89;0,94;1,03;1,06;1,12;1,08;1,21
6;"Sant Francesc";1;16;26;0,63;0,75;0,86;1,03;1,06;1,11;1,16;1,08;1,14
7;"Russafa";2;21;26;3,83;3,82;4,02;4,22;4,25;4,49;4,55;4,39;4,53
8;"el Pla del Remei";2;22;26;0,48;0,45;0,46;0,56;0,57;0,62;0,68;0,6;0,6
9;"Gran Via";2;23;26;1,36;1,3;1,38;1,41;1,43;1,5;1,5;1,37;1,4
10;"el Botànic";3;31;26;1,34;1,38;1,42;1,57;1,5;1,39;1,34;1,27;1,36
11;"la Roqueta";3;32;26;0,48;0,55;0,59;0,58;0,64;0,68;0,79;0,75;0,8
12;"la Petxina";3;33;26;1,53;1,69;1,69;1,77;1,74;1,71;1,71;1,54;1,6
13;"Arrancapins";3;34;26;2,22;2,27;2,17;2,3;2,28;2,39;2,4;2,22;2,31
14;"Campanar";4;41;26;1,15;1,14;1,1;1,08;1,07;1,1;1,16;1,14;1,14
15;"les Tendetes";4;42;26;1,1;1,05;0,98;0,99;0,99;0,98;0,97;1,03;1,08
16;"el Calvari";4;43;26;0,63;0,69;0,71;0,79;0,75;0,81;0,76;0,78;0,76
17;"Sant Pau";4;44;26;1,72;1,71;1,72;1,88;1,95;2,11;2,26;2,24;2,45
18;"Marxalenes";5;51;26;1,22;1,21;1,24;1,36;1,42;1,44;1,44;1,55;1,5
19;"Morvedre";5;52;26;1,32;1,32;1,34;1,3;1,36;1,34;1,26;1,3;1,47
20;"Trinitat";5;53;26;1,29;1,36;1,39;1,39;1,4;1,46;1,43;1,46;1,4
21;"Tormos";5;54;26;0,97;0,98;0,95;0,96;1,08;1,15;1,11;1,14;1,15
22;"Sant Antoni";5;55;26;0,86;0,88;0,84;0,88;0,92;0,99;1,02;1,06;1,08
23;"Exposició";6;61;26;0,61;0,71;0,78;0,82;0,86;0,79;0,78;0,77;0,74
24;"Mestalla";6;62;26;2,14;2,12;2,11;2,1;2,07;1,98;1,92;1,93;1,9
25;"Jaume Roig";6;63;26;0,69;0,67;0,68;0,73;0,68;0,61;0,6;0,56;0,53
26;"Ciutat Universitària";6;64;26;0,27;0,3;0,28;0,37;0,35;0,33;0,35;0,36;0,35
27;"Nou Moles";7;71;26;2,76;2,76;2,69;2,6;2,74;2,92;2,84;2,89;2,83
28;"Soternes";7;72;26;0,63;0,6;0,56;0,5;0,49;0,47;0,55;0,56;0,54
29;"Tres Forques";7;73;26;1,47;1,48;1,39;1,39;1,4;1,4;1,29;1,34;1,25
30;"la Fontsanta";7;74;26;0,56;0,55;0,51;0,5;0,49;0,42;0,39;0,39;0,37
31;"la Llum";7;75;26;0,28;0,29;0,25;0,27;0,26;0,23;0,26;0,28;0,25
32;"Patraix";8;81;26;2,56;2,46;2,42;2,29;2,29;2,25;2,34;2,42;2,23
33;"Sant Isidre";8;82;26;0,49;0,49;0,49;0,48;0,54;0,59;0,61;0,63;0,64
34;"Vara de Quart";8;83;26;0,6;0,64;0,66;0,61;0,56;0,59;0,57;0,64;0,62
35;"Safranar";8;84;26;0,42;0,44;0,43;0,46;0,43;0,44;0,46;0,45;0,42
36;"Favara";8;85;26;0,38;0,33;0,27;0,27;0,29;0,31;0,27;0,25;0,23
37;"la Raiosa";9;91;26;1,75;1,7;1,74;1,71;1,6;1,61;1,66;1,65;1,73
38;"l'Hort de Senabre";9;92;26;1,36;1,23;1,19;1,09;1,19;1,25;1,38;1,41;1,32
39;"la Creu Coberta";9;93;26;0,54;0,52;0,53;0,57;0,52;0,52;0,49;0,53;0,53
41;"Camí Real";9;95;26;0,37;0,34;0,33;0,35;0,35;0,39;0,38;0,4;0,39
42;"Mont-Olivet";10;101;26;2,71;2,78;2,82;3,08;2,96;3,16;3,1;2,99;3,02
43;"en Corts";10;102;26;1,5;1,54;1,5;1,49;1,51;1,63;1,78;1,72;1,89
44;"Malilla";10;103;26;1,64;1,57;1,58;1,57;1,54;1,57;1,45;1,52;1,58
45;"Fonteta de Sant Lluís";10;104;26;0,29;0,27;0,3;0,31;0,28;0,24;0,27;0,3;0,31
46;"na Rovella";10;105;26;0,8;0,75;0,77;0,72;0,74;0,74;0,71;0,7;0,81
47;"la Punta";10;106;26;0,78;1,02;0,97;0,96;0,9;0,77;0,71;0,73;0,69
48;"Ciutat de les Arts i les Ciències";10;107;26;0,88;0,94;0,94;1,06;1,1;1,06;1,21;1,29;1,25
49;"el Grau";11;111;26;1,91;1,85;1,75;1,71;1,66;1,59;1,56;1,59;1,74
50;"el Cabanyal-el Canyamelar";11;112;26;5,91;5,98;5,99;5,61;5,47;4,7;4,49;4,53;4,32
51;"la Malva-rosa";11;113;26;2,34;2,32;2,26;1,98;1,82;1,6;1,66;1,8;1,88
52;"Beteró";11;114;26;0,94;0,83;0,88;0,9;0,98;1;0,92;0,95;0,74
53;"Natzaret";11;115;26;1,48;1,4;1,34;1,13;1,13;1,02;0,96;1;0,94
54;"Aiora";12;121;26;3,31;3,25;3,08;3,01;2,97;3,03;3,02;3,01;2,98
55;"Albors";12;122;26;1,14;1,12;1,07;1,12;1,04;1,02;1,08;1,13;1,28
56;"la Creu del Grau";12;123;26;2,33;2,26;2,14;2,06;2,02;2,03;2,11;2,16;2,08
57;"Camí Fondo";12;124;26;0,76;0,75;0,8;0,74;0,78;0,87;0,83;0,83;0,74
58;"Penya-roja";12;125;26;1,96;1,87;1,93;1,98;1,93;2;2,08;2,1;2,15
59;"l'Illa Perduda";13;131;26;0,79;0,77;0,77;0,67;0,69;0,72;0,77;0,7;0,75
60;"Ciutat Jardí";13;132;26;1,36;1,34;1,33;1,35;1,43;1,25;1,19;1,27;1,24
61;"l'Amistat";13;133;26;1,01;0,97;1;1;0,98;0,9;0,84;0,88;0,88
62;"la Bega Baixa";13;134;26;0,55;0,54;0,52;0,44;0,47;0,46;0,5;0,49;0,5
63;"la Carrasca";13;135;26;0,36;0,37;0,43;0,46;0,48;0,49;0,44;0,43;0,35
