"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2009";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;74;0,6;0,59;0,59;0,6;0,59;0,6;0,6;0,59;0,6;0,67;0,68;0,69;0,69;0,68
2;"la Xerea";1;12;74;0,6;0,59;0,67;0,68;0,68;0,68;0,67;0,68;0,68;0,65;0,66;0,63;0,63;0,64
3;"el Carme";1;13;74;0,65;0,65;0,64;0,66;0,67;0,67;0,67;0,68;0,67;0,68;0,67;0,68;0,68;0,7
4;"el Pilar";1;14;74;0,44;0,44;0,45;0,45;0,45;0,45;0,46;0,45;0,46;0,46;0,46;0,46;0,48;0,48
5;"el Mercat";1;15;74;0,38;0,39;0,39;0,4;0,4;0,4;0,42;0,42;0,42;0,42;0,42;0,42;0,42;0,43
6;"Sant Francesc";1;16;74;1,11;1,12;1,18;1,18;1,19;1,16;1,18;1,18;1,17;1,15;1,13;1,13;1,12;1,13
7;"Russafa";2;21;74;2,84;2,84;2,93;2,91;2,88;2,87;2,87;2,83;2,81;2,8;2,81;2,8;2,77;2,76
8;"el Pla del Remei";2;22;74;1,25;1,24;1,34;1,34;1,3;1,32;1,32;1,32;1,31;1,3;1,29;1,26;1,25;1,26
9;"Gran Via";2;23;74;1,6;1,62;1,67;1,66;1,66;1,65;1,65;1,63;1,61;1,6;1,58;1,57;1,55;1,56
10;"el Botànic";3;31;74;0,73;0,76;0,76;0,78;0,78;0,77;0,76;0,75;0,75;0,74;0,75;0,74;0,74;0,73
11;"la Roqueta";3;32;74;0,55;0,55;0,6;0,6;0,61;0,61;0,61;0,6;0,6;0,59;0,59;0,59;0,58;0,59
12;"la Petxina";3;33;74;1,85;1,85;1,88;1,89;1,87;1,85;1,85;1,84;1,85;1,82;1,81;1,81;1,82;1,81
13;"Arrancapins";3;34;74;2,96;2,93;3,05;3,06;3,02;3,04;3,02;2,98;2,95;2,92;2,9;2,86;2,84;2,84
14;"Campanar";4;41;74;1,76;1,73;1,99;1,97;1,97;1,98;1,93;1,92;1,92;1,79;1,79;1,76;1,73;1,71
15;"les Tendetes";4;42;74;0,67;0,66;0,69;0,68;0,67;0,67;0,67;0,67;0,67;0,66;0,66;0,66;0,65;0,65
16;"el Calvari";4;43;74;0,53;0,52;0,55;0,55;0,54;0,53;0,53;0,53;0,52;0,52;0,52;0,53;0,53;0,52
17;"Sant Pau";4;44;74;1,66;1,71;1,3;1,36;1,46;1,52;1,57;1,65;1,7;1,9;1,96;2;2,02;2,01
18;"Marxalenes";5;51;74;1,29;1,28;1,29;1,29;1,28;1,28;1,27;1,27;1,27;1,28;1,29;1,29;1,28;1,29
19;"Morvedre";5;52;74;1,16;1,16;1,18;1,17;1,16;1,15;1,16;1,15;1,14;1,12;1,14;1,11;1,11;1,11
20;"Trinitat";5;53;74;0,94;0,94;0,97;0,98;0,96;0,95;0,95;0,94;0,94;0,92;0,9;0,88;0,87;0,88
21;"Tormos";5;54;74;1,01;1,01;1,04;1,03;1,04;1,04;1,04;1,03;1,02;1,01;1,02;1,02;1,03;1,04
22;"Sant Antoni";5;55;74;1,2;1,22;1,24;1,24;1,23;1,22;1,23;1,23;1,22;1,22;1,22;1,22;1,22;1,22
23;"Exposició";6;61;74;1;1;1,05;1,05;1,05;1,05;1,04;1,04;1,02;1,01;0,99;0,97;0,95;0,93
24;"Mestalla";6;62;74;1,95;1,97;2,09;2,1;2,1;2,12;2,13;2,11;2,13;2,1;2,06;2,04;2,05;2,12
25;"Jaume Roig";6;63;74;0,99;1;1,05;1,06;1,05;1,05;1,04;1,02;1,01;0,98;0,97;0,95;0,94;0,92
26;"Ciutat Universitària";6;64;74;0,38;0,39;0,4;0,4;0,4;0,4;0,4;0,39;0,39;0,39;0,38;0,37;0,36;0,36
27;"Nou Moles";7;71;74;3,21;3,14;3,2;3,17;3,12;3,1;3,08;3,08;3,03;3,02;3,01;2,99;2,98;2,99
28;"Soternes";7;72;74;0,74;0,72;0,69;0,7;0,7;0,68;0,71;0,72;0,73;0,76;0,71;0,74;0,67;0,63
29;"Tres Forques";7;73;74;0,98;0,97;1;0,99;0,98;0,96;0,96;0,94;0,94;0,94;0,93;0,94;0,94;0,93
30;"la Fontsanta";7;74;74;0,4;0,4;0,39;0,37;0,38;0,37;0,37;0,38;0,39;0,38;0,38;0,38;0,39;0,39
31;"la Llum";7;75;74;0,66;0,66;0,65;0,65;0,65;0,66;0,64;0,64;0,64;0,65;0,64;0,65;0,65;0,66
32;"Patraix";8;81;74;3,11;3,14;3,14;3,15;3,09;3,11;3,1;3,09;3,07;3,06;3,05;3,06;3,06;3,05
33;"Sant Isidre";8;82;74;1,36;1,35;1,3;1,29;1,3;1,3;1,34;1,3;1,31;1,32;1,33;1,33;1,35;1,35
34;"Vara de Quart";8;83;74;1,76;1,78;1,8;1,76;1,82;1,8;1,71;1,75;1,75;1,75;1,73;1,76;1,74;1,7
35;"Safranar";8;84;74;1,2;1,2;1,14;1,15;1,12;1,15;1,17;1,18;1,19;1,21;1,2;1,2;1,2;1,27
36;"Favara";8;85;74;0,42;0,42;0,41;0,42;0,42;0,42;0,43;0,43;0,43;0,44;0,44;0,44;0,45;0,46
37;"la Raiosa";9;91;74;1,86;1,84;1,84;1,82;1,8;1,8;1,78;1,77;1,77;1,73;1,72;1,78;1,77;1,79
38;"l'Hort de Senabre";9;92;74;2,14;2,13;2,11;2,11;2,1;2,09;2,1;2,1;2,1;2,11;2,12;2,11;2,1;2,09
39;"la Creu Coberta";9;93;74;0,84;0,84;0,85;0,84;0,83;0,83;0,83;0,83;0,82;0,82;0,82;0,81;0,81;0,8
