"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;15;46,75;47,05;46,99;46,52;46,24;46,03;46,01;45,82;45,43;45,83;46,18;45,75;44,94
2;"la Xerea";1;12;15;47,6;47,55;47,69;47,91;48,15;48,13;48,08;48,09;48,11;47,79;47,85;47,78;48,17
3;"el Carme";1;13;15;47,08;46,92;46,15;46,37;46,79;46,96;47,02;47,16;47,35;47,45;47,02;46,18;46,41
4;"el Pilar";1;14;15;45,28;44,92;45,27;45,45;45,57;45,05;44,76;45,07;44,79;44,64;44,44;44,23;44,53
5;"el Mercat";1;15;15;46,16;46,05;45,61;45,88;46,31;45,86;45,48;44,89;44,66;44,43;43,95;44,18;44,07
6;"Sant Francesc";1;16;15;49,43;49,83;49,67;49,99;50,24;50,02;49,52;48,9;48,41;48,35;48,15;48,3;47,97
7;"Russafa";2;21;15;46,42;46,53;46,46;46,73;46,98;47,27;47,16;47,14;47,15;46,97;47,07;47,06;47,16
8;"el Pla del Remei";2;22;15;48,22;48,16;48,03;48;48,13;48,37;48,24;48;48,11;48,1;48,02;48,2;48,46
9;"Gran Via";2;23;15;47,55;47,8;47,86;48,01;48,33;48,6;48,49;48,35;48,16;48,24;48,43;48,59;48,53
10;"el Botànic";3;31;15;46,5;46,84;46,49;46,64;46,78;46,67;46,62;46,53;46,4;46,56;46,53;46,66;46,52
11;"la Roqueta";3;32;15;47,14;47,5;47,62;48,17;48,02;47,91;48,11;47,94;47,9;47,91;47,88;47,5;47,32
12;"la Petxina";3;33;15;46,77;47,04;47,2;47,47;47,65;47,74;47,69;47,84;47,87;47,76;47,96;48,15;48,11
13;"Arrancapins";3;34;15;47,22;47,35;47,43;47,68;48,01;48,31;48,53;48,39;48,39;48,46;48,53;48,6;48,76
14;"Campanar";4;41;15;44,5;45,03;45,27;45,7;46,12;46,64;46,92;47,45;47,71;48,05;48,25;48,61;49,11
15;"les Tendetes";4;42;15;45,44;46,11;46,82;47,13;47,59;47,82;48,12;47,95;47,82;48,07;48,3;48,52;48,65
16;"el Calvari";4;43;15;47,96;48,35;48,42;48,88;49,42;49,4;49,23;49,34;49,28;48,82;48,58;48,67;48,09
17;"Sant Pau";4;44;15;36,93;37;37,09;37,32;37,55;37,95;38,47;38,89;39,25;39,78;40,24;40,86;41,18
18;"Marxalenes";5;51;15;45,7;46,14;46,42;46,75;47,59;47,81;48,02;48,44;48,58;48,64;48,44;48,55;48,75
19;"Morvedre";5;52;15;47,22;47,56;48,09;48,24;48,72;49,13;49,06;49,02;48,98;49,09;48,95;48,91;49,21
20;"Trinitat";5;53;15;47,81;48,27;48,43;48,59;48,93;48,78;48,73;48,32;48,14;48,41;48,28;48,41;48,17
21;"Tormos";5;54;15;43,3;43,52;43,72;44,17;44,31;44,56;45,3;45,16;45,4;45,55;45,61;46,14;46,34
22;"Sant Antoni";5;55;15;43,28;43,8;43,84;44,26;44,81;45,23;45,49;45,94;45,72;46,16;46,29;46,7;46,94
23;"Exposició";6;61;15;44,88;45,08;45,62;45,78;46,25;46,34;46,6;46,6;46,36;46,63;46,82;46,68;46,82
24;"Mestalla";6;62;15;43,11;43,49;43,54;43,77;44,39;44,98;45,41;45,49;45,51;45,76;45,82;45,89;45,79
25;"Jaume Roig";6;63;15;44,61;44,69;44,68;44,7;45,2;45,77;45,94;45,99;46,03;45,97;46,01;46,19;46,49
26;"Ciutat Universitària";6;64;15;43,47;43,19;43,67;44;44,76;45,67;46,44;45,89;45,54;45,27;45,82;45,25;46,1
27;"Nou Moles";7;71;15;45,81;46,13;46,63;46,97;47,43;47,61;47,69;48,04;47,77;47,66;47,75;47,65;47,95
28;"Soternes";7;72;15;44,34;45,11;45,59;45,8;46,25;46,47;46,33;46,32;46,69;47,01;47,59;47,85;48,12
29;"Tres Forques";7;73;15;47,62;47,74;48,15;48,72;48,83;48,91;49,13;48,33;48,24;48,19;47,77;47,72;47,69
30;"la Fontsanta";7;74;15;42,08;42,55;42,86;43,14;43,6;43,18;44,05;43,59;44,18;44,04;44,51;44,51;44,05
31;"la Llum";7;75;15;41,81;42,47;43,18;43,44;43,88;44,37;44,84;45,19;45,79;46,34;46,85;47,11;47,68
32;"Patraix";8;81;15;45,12;45,42;45,69;46,14;46,6;46,92;47,21;47,35;47,41;47,46;47,74;47,98;48,25
33;"Sant Isidre";8;82;15;38,86;39,27;39,84;40,53;41,14;41,56;42,19;42,73;43,08;43,5;44,06;44,57;44,85
34;"Vara de Quart";8;83;15;43,82;44,64;45,25;45,79;46,18;46,65;46,92;47,15;47,53;47,93;48,64;49,01;49,55
35;"Safranar";8;84;15;40,65;40,84;41,51;41,85;42,25;42,68;43,11;43,36;43,87;44,27;44,46;44,8;44,99
36;"Favara";8;85;15;42,37;42,52;42,35;42,44;43,04;43,35;43,73;43,81;44,21;44,57;44,88;44,97;45,8
37;"la Raiosa";9;91;15;44,83;45,39;45,49;45,96;46,34;46,45;46,44;46,57;46,55;46,73;46,66;47,09;47,28
38;"l'Hort de Senabre";9;92;15;42,83;43,41;43,73;44,08;44,67;45,01;45,2;45,75;46,14;46,44;46,72;47,03;47,47
39;"la Creu Coberta";9;93;15;42,66;42,88;43,61;44,3;44,77;45,08;45,55;45,74;46,03;46,01;46,37;46,74;47,03
41;"Camí Real";9;95;15;37,67;38,26;38,35;38,72;38,94;39,08;39,43;40,03;40,13;40,4;40,71;41,19;41,22
42;"Mont-Olivet";10;101;15;46,46;46,81;46,96;47,04;47,58;47,52;47,68;47,82;47,91;48;48,03;48,29;48,35
43;"en Corts";10;102;15;44,42;44,86;45,11;45,3;45,64;45,72;45,79;46,17;46,33;46,37;46,57;46,65;46,67
