"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2009";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;77;8,8;9;9,2;9,9;10,4;11,1;11,4;11,9;12,4;12,1;12,4;11,3;11,2;11,78
2;"la Xerea";1;12;77;8,1;8,4;9;9,5;9,9;10,4;10,7;10,8;11;11,2;11,2;11,7;12;12,44
3;"el Carme";1;13;77;8,8;9,1;9,6;10;10,3;10,7;11,1;11,3;11,5;11,6;11,9;12;12,3;12,69
4;"el Pilar";1;14;77;9,2;9,3;9,9;10,4;10,9;11,3;11,7;11,8;12,1;12,1;12,4;12,5;12,8;13,07
5;"el Mercat";1;15;77;8,9;9,3;9,5;9,8;10,4;10,6;10,9;11;11,3;11,6;11,7;11,9;12,1;12,51
6;"Sant Francesc";1;16;77;8,1;8,3;8,8;9,2;9,6;10,1;10,4;10,6;11;11,2;11,4;11,5;11,8;12,07
7;"Russafa";2;21;77;8,8;9,1;9,6;10,1;10,6;11;11,4;11,7;11,9;12;12,1;12,2;12,7;13,08
8;"el Pla del Remei";2;22;77;8,3;8,8;9,1;9,6;10,2;10,6;10,9;11,2;11,3;11,5;11,6;11,9;12,2;12,6
9;"Gran Via";2;23;77;8,6;9;9,5;9,9;10,3;10,7;11,1;11,4;11,7;11,8;11,9;12,1;12,4;12,7
10;"el Botànic";3;31;77;9;9;9,6;10;10,3;10,9;11,3;11,6;11,8;12;12,2;12,3;12,7;12,98
11;"la Roqueta";3;32;77;8,5;9;9,4;9,8;10,2;10,6;11;11,3;11,5;11,8;11,9;12,2;12,5;12,81
12;"la Petxina";3;33;77;8,5;8,8;9,3;9,7;10,2;10,6;11,1;11,4;11,6;11,8;12;12,1;12,3;12,73
13;"Arrancapins";3;34;77;8,3;8,6;9,1;9,5;10;10,4;10,8;11;11,2;11,5;11,6;11,8;12,1;12,51
14;"Campanar";4;41;77;7,7;8;8,3;8,7;9,2;9,7;10,3;10,5;10,8;10,9;11;11,3;11,6;11,82
15;"les Tendetes";4;42;77;8,4;8,6;8,9;9,3;9,8;10,3;10,7;11;11,2;11,4;11,7;11,9;12,3;12,55
16;"el Calvari";4;43;77;9,6;9,9;10,2;10,7;11,3;11,8;12,1;12,6;12,9;13,3;13,4;13,5;13,8;14,16
17;"Sant Pau";4;44;77;6,9;7,1;7,5;7,8;8,1;8,4;8,8;8,9;9,1;9,2;9,4;9,5;9,9;10,23
