"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;49;203;209;204;212;208;205;206;193;208;209;216;210;195
2;"la Xerea";1;12;49;257;257;257;244;257;262;260;265;282;285;287;287;287
3;"el Carme";1;13;49;399;394;377;393;386;405;421;430;421;432;438;434;457
4;"el Pilar";1;14;49;220;221;228;221;224;226;234;236;242;235;245;237;249
5;"el Mercat";1;15;49;224;222;221;219;227;239;238;226;230;231;238;251;252
6;"Sant Francesc";1;16;49;391;398;400;405;415;418;440;435;451;462;453;442;456
7;"Russafa";2;21;49;1721;1731;1730;1753;1742;1755;1737;1724;1724;1682;1691;1695;1715
8;"el Pla del Remei";2;22;49;411;425;448;446;466;458;454;462;468;467;485;508;503
9;"Gran Via";2;23;49;804;818;837;850;862;856;852;856;868;871;885;893;918
10;"el Botànic";3;31;49;449;435;433;452;452;454;437;445;444;449;440;443;454
11;"la Roqueta";3;32;49;341;336;316;307;312;314;315;318;314;325;333;333;340
12;"la Petxina";3;33;49;989;998;996;984;985;980;995;1002;996;997;1005;1022;1050
13;"Arrancapins";3;34;49;1477;1479;1493;1526;1543;1565;1588;1601;1596;1602;1645;1672;1676
14;"Campanar";4;41;49;446;465;477;505;546;575;610;631;656;657;680;722;755
15;"les Tendetes";4;42;49;295;304;304;303;314;311;314;324;332;338;346;354;369
16;"el Calvari";4;43;49;373;387;386;388;367;370;360;356;356;351;357;357;362
17;"Sant Pau";4;44;49;257;273;306;321;350;368;386;414;440;472;507;553;579
18;"Marxalenes";5;51;49;691;684;693;704;715;708;705;720;711;712;731;734;755
19;"Morvedre";5;52;49;649;641;637;632;629;638;628;637;628;625;637;638;639
20;"Trinitat";5;53;49;574;594;596;598;598;595;591;602;609;595;597;608;611
21;"Tormos";5;54;49;455;452;460;461;467;474;471;472;466;460;449;445;452
22;"Sant Antoni";5;55;49;475;493;496;498;511;499;504;511;516;533;560;583;603
23;"Exposició";6;61;49;314;328;338;349;356;373;373;393;393;398;411;415;426
24;"Mestalla";6;62;49;700;716;763;778;813;824;842;876;882;881;886;886;910
25;"Jaume Roig";6;63;49;315;317;326;334;352;376;384;380;400;402;406;406;406
26;"Ciutat Universitària";6;64;49;121;121;121;134;133;142;153;156;157;162;165;172;188
27;"Nou Moles";7;71;49;1624;1621;1644;1701;1712;1721;1733;1771;1767;1755;1756;1781;1801
28;"Soternes";7;72;49;279;278;277;285;290;304;310;317;328;330;320;339;343
29;"Tres Forques";7;73;49;681;653;639;644;619;615;627;615;611;599;594;590;587
30;"la Fontsanta";7;74;49;186;181;176;178;179;174;182;176;172;169;182;184;174
31;"la Llum";7;75;49;188;188;197;204;215;212;208;223;226;226;248;253;255
32;"Patraix";8;81;49;1346;1392;1411;1436;1477;1447;1477;1479;1489;1517;1523;1586;1645
33;"Sant Isidre";8;82;49;196;212;214;231;247;244;262;286;310;324;348;369;388
34;"Vara de Quart";8;83;49;363;394;400;414;425;440;445;456;494;531;563;587;602
35;"Safranar";8;84;49;209;215;231;247;255;265;271;275;289;305;329;354;389
36;"Favara";8;85;49;132;137;133;133;137;142;146;150;151;152;157;157;164
37;"la Raiosa";9;91;49;844;847;858;893;898;912;933;923;923;929;948;945;942
38;"l'Hort de Senabre";9;92;49;629;640;660;680;689;714;742;760;788;814;826;875;880
39;"la Creu Coberta";9;93;49;252;256;265;278;276;280;287;289;290;299;296;302;320
41;"Camí Real";9;95;49;103;108;107;109;105;106;120;121;121;133;137;142;150
42;"Mont-Olivet";10;101;49;1276;1291;1271;1284;1314;1296;1302;1328;1284;1302;1300;1330;1363
43;"en Corts";10;102;49;675;676;711;699;706;711;700;728;729;720;703;713;722
44;"Malilla";10;103;49;691;707;737;765;809;846;874;916;934;991;1021;1074;1119
45;"Fonteta de Sant Lluís";10;104;49;139;138;137;138;131;132;126;133;138;138;138;148;154
46;"na Rovella";10;105;49;331;337;354;350;369;386;408;406;408;393;385;397;385
47;"la Punta";10;106;49;126;127;124;128;122;126;133;123;126;118;127;126;134
48;"Ciutat de les Arts i les Ciències";10;107;49;92;101;106;110;122;126;150;167;187;198;208;224;239
49;"el Grau";11;111;49;390;392;386;396;389;403;415;417;433;440;457;468;471
50;"el Cabanyal-el Canyamelar";11;112;49;1412;1399;1386;1370;1382;1367;1362;1366;1352;1334;1305;1316;1299
51;"la Malva-rosa";11;113;49;659;685;687;711;704;720;709;701;728;737;763;777;787
52;"Beteró";11;114;49;283;291;297;287;308;307;318;329;333;343;358;367;377
53;"Natzaret";11;115;49;321;320;311;323;322;316;328;328;325;330;321;337;328
54;"Aiora";12;121;49;1124;1137;1164;1165;1178;1202;1226;1244;1258;1269;1294;1336;1339
55;"Albors";12;122;49;490;495;489;502;510;505;504;511;513;517;520;520;525
56;"la Creu del Grau";12;123;49;668;674;662;684;720;738;735;740;752;758;781;800;809
57;"Camí Fondo";12;124;49;209;208;208;220;225;231;236;236;231;226;232;241;252
58;"Penya-roja";12;125;49;127;144;161;179;203;213;235;255;295;307;320;339;374
59;"l'Illa Perduda";13;131;49;401;426;437;444;447;452;465;462;451;460;468;495;512
60;"Ciutat Jardí";13;132;49;451;482;503;532;574;623;645;660;693;719;745;786;808
61;"l'Amistat";13;133;49;409;418;431;456;455;471;475;478;477;470;477;482;492
62;"la Bega Baixa";13;134;49;231;242;257;261;269;282;292;305;321;329;335;343;355
63;"la Carrasca";13;135;49;106;107;109;122;134;141;155;155;167;174;186;194;203
64;"Benimaclet";14;141;49;1150;1171;1179;1184;1204;1201;1240;1301;1329;1379;1385;1396;1414
65;"Camí de Vera";14;142;49;132;130;137;148;151;168;178;195;211;220;237;254;268
66;"Orriols";15;151;49;879;889;882;901;912;907;923;928;944;922;933;955;935
67;"Torrefiel";15;152;49;996;1024;1049;1095;1110;1110;1136;1150;1159;1180;1163;1226;1246
68;"Sant Llorenç";15;153;49;129;151;158;166;168;195;197;207;227;247;259;270;301
69;"Benicalap";16;161;49;1365;1425;1463;1483;1516;1584;1615;1655;1704;1752;1772;1811;1859
70;"Ciutat Fallera";16;162;49;257;265;254;250;243;238;242;251;249;244;251;250;274
71;"Benifaraig";17;171;49;48;47;51;50;50;49;48;49;53;57;56;50;52
72;"Poble Nou";17;172;49;48;48;48;51;54;51;49;45;45;41;49;47;47
73;"Carpesa";17;173;49;61;63;64;66;66;68;63;66;64;68;69;74;77
74;"Cases de Bàrcena";17;174;49;20;21;18;19;19;21;23;24;23;20;20;19;19
75;"Mauella";17;175;49;10;7;7;7;8;7;6;7;6;5;5;5;5
76;"Massarrojos";17;176;49;66;64;62;67;70;72;68;64;63;69;72;71;67
77;"Borbotó";17;177;49;43;44;45;41;41;36;38;39;38;42;40;38;43
78;"Benimàmet";18;181;49;494;504;501;511;523;526;541;550;554;567;589;606;630
79;"Beniferri";18;182;49;10;11;12;13;15;17;18;21;19;21;23;22;24
80;"el Forn d'Alcedo";19;191;49;65;71;68;68;67;64;60;54;60;63;67;69;75
81;"el Castellar-l'Oliverar";19;192;49;314;312;315;316;312;308;310;317;328;334;340;339;344
82;"Pinedo";19;193;49;119;121;124;121;122;122;132;126;135;137;133;136;143
83;"el Saler";19;194;49;46;53;61;62;74;77;87;86;96;109;114;127;136
84;"el Palmar";19;195;49;38;35;38;42;42;44;40;36;33;37;36;41;45
85;"el Perellonet";19;196;49;48;50;55;60;70;72;72;68;75;71;73;86;101
86;"la Torre";19;197;49;200;215;209;213;220;228;247;258;252;257;254;255;264
87;"Faitanar";19;198;49;18;10;20;21;26;30;29;29;35;39;37;38;39
