"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2009";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;79;109,88;108,41;105,62;101,16;98,2;99,75;103,1;103,35;102,75;109,78;114,84;108,82;107,25;107,67
2;"la Xerea";1;12;79;105,71;100,88;125,42;126,51;131,33;133,73;133,52;139,47;138,22;143,48;144,06;141,2;144,23;143,33
3;"el Carme";1;13;79;69,89;70,26;75,42;75,41;74,93;76,82;79,15;83,54;84,74;85,4;87,97;87,14;87,1;88,62
4;"el Pilar";1;14;79;61,47;62,95;60,23;58,88;60,13;59,41;56,74;56,83;62,12;67,81;75,48;72,91;79,23;78,33
5;"el Mercat";1;15;79;78,08;81,41;82,32;81,62;84,54;85,75;92,64;92,55;100,28;101,84;104,27;102,94;102;99,84
6;"Sant Francesc";1;16;79;210,26;212,02;236,19;234,14;236,17;235,69;236,96;209,25;235,81;224,46;235,95;233,74;240,69;228,19
7;"Russafa";2;21;79;67;65,73;72,1;71,5;72,33;74,11;74,83;75,08;77,31;79,8;82,76;84,68;86,42;87,84
8;"el Pla del Remei";2;22;79;119,69;124,18;144,59;139,42;138,63;139;140,03;141,67;144,47;146,54;148,19;145,83;149,77;154,68
9;"Gran Via";2;23;79;83,23;87,15;96,98;97,39;97,32;99,44;99,46;101,94;104,12;107,28;109,61;110,46;112,7;114,64
10;"el Botànic";3;31;79;64,57;61,69;65,69;68,15;69,97;69,9;70,2;74,02;75,71;79,16;82,63;86,12;87,12;88,62
11;"la Roqueta";3;32;79;72,68;71,87;87,25;88,94;88,67;87,9;84,66;88,29;92,68;93,15;95,53;96,9;94,44;97,03
12;"la Petxina";3;33;79;63,2;65,25;72,01;72,38;72,84;73,05;72,34;74,66;77,91;79,28;80,98;82,42;84,59;87,32
13;"Arrancapins";3;34;79;67,67;68,04;76,93;76,29;77,94;80,95;80,54;81,11;81,6;81,95;83,79;85,16;87,36;88,97
14;"Campanar";4;41;79;60,01;59,01;80,11;80,03;81,58;82,34;80,12;82,23;84,82;79,46;81,34;81,05;83,66;83,62
15;"les Tendetes";4;42;79;49,45;50,82;58,13;61,32;60,93;59,2;59,34;62,58;62,44;64,6;68,72;71,6;70,01;73,79
16;"el Calvari";4;43;79;39,08;37,44;40,85;42,7;47,68;50,34;50,88;52,46;55,9;58,28;60,44;62,19;62,53;61,28
17;"Sant Pau";4;44;79;69,61;68,82;51,12;50,5;55,01;54,92;56,63;56,91;58,61;68,5;71,08;72,55;73,33;70,27
18;"Marxalenes";5;51;79;45,96;45,26;50,49;48,47;50,39;50,96;52,21;52,38;55,06;58,41;59,37;60,67;63,42;65,08
19;"Morvedre";5;52;79;51,07;52,51;54,62;55,11;54,42;55,83;58,39;58,82;60,06;60,75;62,22;64,13;66,6;69,28
20;"Trinitat";5;53;79;57,92;63,45;73,21;72;72,04;71,25;71,26;71,03;70,59;73,1;74,55;73,96;75,12;76,34
21;"Tormos";5;54;79;48,76;51,64;56,12;54,17;56,51;56,64;58,11;59,01;62,32;64,61;67,34;67,91;70,45;72,38
22;"Sant Antoni";5;55;79;59,85;60,34;64,34;62,8;62,35;62,33;64,58;66,4;66,27;67,46;68,94;70,18;72,16;75,22
23;"Exposició";6;61;79;100,81;97;109,1;109,48;108,53;109,42;105,72;106,05;115,49;112,45;113,08;117,82;117,18;118,83
24;"Mestalla";6;62;79;65,7;67,88;79,56;79,28;78,3;85,61;85,63;85,99;89,28;86,47;89,24;88,13;89,94;92,33
25;"Jaume Roig";6;63;79;108,3;111,06;125,56;126,65;129,89;131,28;131,88;132,15;132,2;129,99;133,71;135,84;135,93;140,27
26;"Ciutat Universitària";6;64;79;82,17;82,94;92,07;92;91,74;96,18;100,96;104,18;99,25;101,08;105,83;112,18;113,77;115,16
27;"Nou Moles";7;71;79;50,82;49,24;53,41;54,07;55,25;55,84;55,51;55,79;61,19;59,29;62,76;62,85;65,49;67,57
28;"Soternes";7;72;79;48,33;50,29;52,44;50,36;50,25;51,64;49,58;49,35;51,75;53,92;55,07;59,24;61,08;63,14
29;"Tres Forques";7;73;79;38,38;37,18;44;42,25;43,45;42,75;43,78;44,09;46,28;45,59;47,39;47,3;47,28;48,27
30;"la Fontsanta";7;74;79;33,05;32,96;36,02;33,91;35,35;38,52;36,71;36,45;40,36;36,4;39,31;35,65;36,16;36,86
31;"la Llum";7;75;79;53,88;55,65;51,55;50,96;51,19;51,79;51,7;52,12;54,63;58,81;57,16;60,9;63,45;64,95
32;"Patraix";8;81;79;55,82;56,05;60,74;60,37;60,69;61,51;63,68;64,6;69,07;69,48;72,35;73,04;76,24;78,35
33;"Sant Isidre";8;82;79;62,42;63,18;64,43;62,21;65,35;67,58;69,83;70,77;72,79;74,96;75,94;78,66;82,01;84,53
34;"Vara de Quart";8;83;79;53,21;54,72;57,71;57,43;61,05;60,37;58,22;57,65;60,81;65,21;66,48;69,41;72,31;70,93
35;"Safranar";8;84;79;62,49;62,99;64,35;65,27;66,32;67,33;67,14;68,09;70,55;72,3;73,1;73,11;72,88;77,67
36;"Favara";8;85;79;57,35;58,64;56,61;58,87;60,77;61,22;60,3;61,28;61,41;62,74;67,36;69,56;74,43;79,47
37;"la Raiosa";9;91;79;53,03;54,84;60,8;60,25;61,28;62,54;64,41;64,61;66,87;65,33;68,03;73,27;74,95;77,32
