"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;54;25;25;19;26;22;20;19;16;2;5
2;"la Xerea";1;12;54;33;20;34;29;36;23;26;17;6;4
3;"el Carme";1;13;54;62;44;45;43;44;45;43;35;10;5
4;"el Pilar";1;14;54;48;46;43;43;49;36;43;23;4;9
5;"el Mercat";1;15;54;30;33;30;34;27;28;35;16;5;9
6;"Sant Francesc";1;16;54;46;37;45;41;42;38;45;25;10;6
7;"Russafa";2;21;54;197;200;182;188;189;186;173;131;47;35
8;"el Pla del Remei";2;22;54;65;36;58;53;52;60;57;37;17;11
9;"Gran Via";2;23;54;98;94;87;79;101;91;71;65;25;17
10;"el Botànic";3;31;54;42;50;48;54;45;41;43;32;12;11
11;"la Roqueta";3;32;54;33;32;34;44;30;27;25;26;7;3
12;"la Petxina";3;33;54;122;109;122;102;110;121;102;94;26;35
13;"Arrancapins";3;34;54;190;167;167;173;168;156;142;112;43;42
14;"Campanar";4;41;54;101;78;86;88;79;74;99;63;17;24
15;"les Tendetes";4;42;54;42;35;29;46;32;37;36;24;7;2
16;"el Calvari";4;43;54;46;38;35;29;35;36;28;22;9;9
17;"Sant Pau";4;44;54;202;192;221;173;174;155;141;97;23;39
18;"Marxalenes";5;51;54;70;58;80;64;65;63;67;66;15;14
19;"Morvedre";5;52;54;74;77;81;75;69;85;63;58;12;18
20;"Trinitat";5;53;54;63;71;53;80;63;59;59;52;14;16
21;"Tormos";5;54;54;67;72;54;69;62;55;50;48;12;11
22;"Sant Antoni";5;55;54;79;67;69;75;75;64;70;53;9;22
23;"Exposició";6;61;54;51;51;54;55;63;62;49;39;17;15
24;"Mestalla";6;62;54;119;110;126;124;114;118;138;86;24;29
25;"Jaume Roig";6;63;54;52;51;52;43;52;53;49;45;15;15
26;"Ciutat Universitària";6;64;54;25;22;15;15;21;22;23;23;3;4
27;"Nou Moles";7;71;54;181;175;171;156;156;176;188;140;28;46
28;"Soternes";7;72;54;43;35;33;43;31;41;24;24;5;7
29;"Tres Forques";7;73;54;71;67;59;70;71;63;73;44;11;16
30;"la Fontsanta";7;74;54;23;32;36;35;32;34;36;29;5;12
31;"la Llum";7;75;54;40;41;41;26;31;35;30;25;7;10
32;"Patraix";8;81;54;174;170;134;191;169;152;145;126;30;28
33;"Sant Isidre";8;82;54;81;99;82;63;70;72;53;38;12;15
34;"Vara de Quart";8;83;54;62;57;77;73;67;69;50;44;10;13
35;"Safranar";8;84;54;68;74;68;86;78;63;74;49;14;13
36;"Favara";8;85;54;29;32;22;29;24;27;25;18;5;8
