"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;41;2,05;2;2;2,01;2,01;2,01;2,02;2,05;2,06;2,02;2,01;2,01;2,01
2;"la Xerea";1;12;41;2,29;2,26;2,27;2,29;2,27;2,27;2,26;2,24;2,23;2,24;2,22;2,2;2,16
3;"el Carme";1;13;41;2;1,99;1,99;1,97;1,96;1,96;1,95;1,94;1,94;1,93;1,95;1,92;1,9
4;"el Pilar";1;14;41;2,08;2,01;1,98;1,99;1,98;2;1,99;1,97;2,01;1,98;1,97;1,94;1,93
5;"el Mercat";1;15;41;2,01;1,98;1,95;1,94;1,93;1,94;1,97;1,97;1,98;1,98;1,97;1,94;1,91
6;"Sant Francesc";1;16;41;2,25;2,22;2,23;2,21;2,21;2,21;2,21;2,21;2,22;2,21;2,2;2,18;2,13
7;"Russafa";2;21;41;2,24;2,21;2,19;2,18;2,17;2,17;2,17;2,17;2,16;2,16;2,15;2,13;2,11
8;"el Pla del Remei";2;22;41;2,54;2,53;2,53;2,53;2,53;2,53;2,53;2,53;2,51;2,49;2,49;2,46;2,44
9;"Gran Via";2;23;41;2,44;2,44;2,44;2,43;2,41;2,39;2,4;2,4;2,41;2,4;2,4;2,38;2,37
10;"el Botànic";3;31;41;2,15;2,13;2,12;2,12;2,1;2,12;2,11;2,11;2,12;2,1;2,09;2,07;2,06
11;"la Roqueta";3;32;41;2,18;2,17;2,2;2,19;2,18;2,16;2,16;2,12;2,13;2,12;2,09;2,08;2,07
12;"la Petxina";3;33;41;2,41;2,38;2,38;2,38;2,37;2,36;2,36;2,35;2,34;2,34;2,34;2,32;2,29
13;"Arrancapins";3;34;41;2,38;2,37;2,36;2,34;2,32;2,31;2,3;2,31;2,31;2,3;2,29;2,27;2,25
14;"Campanar";4;41;41;2,57;2,55;2,53;2,52;2,5;2,49;2,48;2,46;2,45;2,44;2,42;2,41;2,38
15;"les Tendetes";4;42;41;2,41;2,35;2,32;2,31;2,29;2,29;2,28;2,28;2,29;2,29;2,29;2,25;2,23
16;"el Calvari";4;43;41;2,34;2,31;2,31;2,27;2,27;2,23;2,23;2,22;2,22;2,24;2,26;2,25;2,27
17;"Sant Pau";4;44;41;2,56;2,54;2,57;2,58;2,6;2,6;2,61;2,64;2,65;2,66;2,67;2,65;2,63
18;"Marxalenes";5;51;41;2,44;2,42;2,42;2,39;2,37;2,37;2,35;2,35;2,35;2,34;2,36;2,34;2,32
19;"Morvedre";5;52;41;2,4;2,38;2,37;2,36;2,31;2,31;2,33;2,31;2,31;2,3;2,27;2,25;2,21
20;"Trinitat";5;53;41;2,29;2,26;2,24;2,22;2,22;2,22;2,22;2,22;2,21;2,19;2,19;2,17;2,16
