"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;85;8,96;7,77;5,93;5,74;4,57
2;"la Xerea";1;12;85;1,6;1,14;3,02;3,16;3,13
3;"el Carme";1;13;85;5,31;4,22;3,5;2,03;0,98
4;"el Pilar";1;14;85;11,88;8,08;6,11;3,48;2,5
5;"el Mercat";1;15;85;9,6;9,68;7,02;5,5;5,92
6;"Sant Francesc";1;16;85;2,13;1,35;1,36;0,58;0,42
7;"Russafa";2;21;85;1,36;1,38;0,99;1,16;1,13
8;"el Pla del Remei";2;22;85;3,73;3,68;3,09;2,83;1,96
9;"Gran Via";2;23;85;0;0;0,12;0,2;0,2
10;"el Botànic";3;31;85;3,11;2,03;2,03;1,33;0,78
11;"la Roqueta";3;32;85;4,95;4,92;4,51;1,39;1,39
12;"la Petxina";3;33;85;2,09;1,44;1,49;0,67;0,97
13;"Arrancapins";3;34;85;1,09;1,05;1,08;1,09;0,87
14;"Campanar";4;41;85;1,03;1,03;1,03;0,17;0,12
15;"les Tendetes";4;42;85;0;0;0;0;0
16;"el Calvari";4;43;85;0;0;0;0;0
17;"Sant Pau";4;44;85;8,94;2,54;1,37;0,37;4,22
18;"Marxalenes";5;51;85;0;0;0;0,89;1,31
19;"Morvedre";5;52;85;1,65;2,01;1,99;1,92;1,07
20;"Trinitat";5;53;85;0,49;0,31;0,31;0,62;0,31
21;"Tormos";5;54;85;0,68;0,27;0,02;0,02;0,02
22;"Sant Antoni";5;55;85;1,33;0;0;0;0,95
23;"Exposició";6;61;85;4,8;4,62;3,27;2,39;2,39
24;"Mestalla";6;62;85;0,2;0,2;0,22;0,22;0,61
25;"Jaume Roig";6;63;85;0;0;0;0;0
26;"Ciutat Universitària";6;64;85;0;0;0;0;0
27;"Nou Moles";7;71;85;2,37;1,08;1,22;0,95;1,17
28;"Soternes";7;72;85;0,89;0,89;0,85;0;0
29;"Tres Forques";7;73;85;0;0;0;0;0
30;"la Fontsanta";7;74;85;0;0;0;0;0
31;"la Llum";7;75;85;0;0;0;0;0
32;"Patraix";8;81;85;0,44;0,41;0,09;0,19;0,77
33;"Sant Isidre";8;82;85;3,75;1,76;1,76;4,79;4,82
34;"Vara de Quart";8;83;85;0;0;0;0;0
35;"Safranar";8;84;85;8,08;8,46;9,63;11,99;11,65
36;"Favara";8;85;85;5,83;5,19;4,14;0;0
37;"la Raiosa";9;91;85;2,25;0,9;0,43;0,17;0,36
38;"l'Hort de Senabre";9;92;85;1,26;0,87;0;0;0
39;"la Creu Coberta";9;93;85;1,01;1,01;0;0;0
41;"Camí Real";9;95;85;0,8;0,8;0;0;0
42;"Mont-Olivet";10;101;85;0,49;0,03;0,03;0,01;0,01
43;"en Corts";10;102;85;1,89;1,37;1,15;1,08;1,48
44;"Malilla";10;103;85;1,7;1,71;1,72;3,75;5,95
45;"Fonteta de Sant Lluís";10;104;85;3,11;3,11;3,04;2,97;6,16
46;"na Rovella";10;105;85;0;0;0;0;0
47;"la Punta";10;106;85;29,83;28,88;19,74;13,74;18,76
48;"Ciutat de les Arts i les Ciències";10;107;85;13,42;14,24;12,48;10,08;9,86
49;"el Grau";11;111;85;1,92;1,1;0,77;0,37;3,31
50;"el Cabanyal-el Canyamelar";11;112;85;1,51;0,95;0,82;0,75;0,67
51;"la Malva-rosa";11;113;85;1,67;0,65;0,49;0,03;0,88
52;"Beteró";11;114;85;3,15;2,13;1,55;0,03;0,03
53;"Natzaret";11;115;85;2,08;1,82;0,71;0,61;0,47
54;"Aiora";12;121;85;1,09;0,62;0,45;0,35;0,35
55;"Albors";12;122;85;0,22;0,22;0,66;0,46;0,46
56;"la Creu del Grau";12;123;85;2,04;0,65;0,65;0;0,14
57;"Camí Fondo";12;124;85;0,04;0,04;0,04;0;0,04
58;"Penya-roja";12;125;85;3,15;2,19;2,04;3,66;4,02
59;"l'Illa Perduda";13;131;85;0;0;0;0;0
60;"Ciutat Jardí";13;132;85;0;0;0;0;0
61;"l'Amistat";13;133;85;0;0;0;0;0
62;"la Bega Baixa";13;134;85;0;0;0;0;0
63;"la Carrasca";13;135;85;0;0;0;0;0
64;"Benimaclet";14;141;85;1,35;1,08;0,73;0,67;0,5
65;"Camí de Vera";14;142;85;0;0;0;0;0
66;"Orriols";15;151;85;1,61;0,59;0,55;0,39;0,01
67;"Torrefiel";15;152;85;4,74;2,4;1,01;0,93;0,86
68;"Sant Llorenç";15;153;85;1,7;0,77;0,77;0,77;3,33
69;"Benicalap";16;161;85;9,81;6,95;4;3,2;3,5
70;"Ciutat Fallera";16;162;85;0;0;0;0;0
71;"Benifaraig";17;171;85;4,33;4,19;1,33;1,32;0,95
72;"Poble Nou";17;172;85;0,82;0,62;0,62;0,62;0,41
73;"Carpesa";17;173;85;2,06;1,37;1,04;1,03;0,69
74;"Cases de Bàrcena";17;174;85;2,52;1,27;1,28;1,69;0,84
75;"Mauella";17;175;85;2,63;0;0;0;1,41
76;"Massarrojos";17;176;85;9,03;6,4;6,39;6,21;6,45
77;"Borbotó";17;177;85;4,7;4,25;3,5;0,74;0,74
78;"Benimàmet";18;181;85;4,48;3,35;2,48;0,92;0,32
79;"Beniferri";18;182;85;20,87;20,87;20,87;1,38;0,2
80;"el Forn d'Alcedo";19;191;85;0;0;0;0;0
81;"el Castellar-l'Oliverar";19;192;85;1,78;0,88;0,82;0,72;0,42
82;"Pinedo";19;193;85;2,32;2,24;0,77;0,46;0,38
83;"el Saler";19;194;85;0,39;0,39;0,39;0;0
84;"el Palmar";19;195;85;4,12;2,89;2,89;2,88;3,11
85;"el Perellonet";19;196;85;0,07;0,04;0,04;0,57;0,57
86;"la Torre";19;197;85;3,94;3,94;0,64;0,64;0,64
87;"Faitanar";19;198;85;80,87;80,85;80,73;64,38;32,79
