"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;87;58,26;58,75;59,82;61,73;61,4
2;"la Xerea";1;12;87;66,49;68,76;68,15;73,9;75,4
3;"el Carme";1;13;87;52,98;57,33;60,82;62,76;64,49
4;"el Pilar";1;14;87;48,04;47,66;47,45;47,55;49,71
5;"el Mercat";1;15;87;60,42;61,54;61,16;60,93;60,64
6;"Sant Francesc";1;16;87;69,02;71,97;72,71;73,4;73,4
7;"Russafa";2;21;87;69,95;70,58;71,1;72,95;73,3
8;"el Pla del Remei";2;22;87;64,87;65,16;67,08;69,94;70,68
9;"Gran Via";2;23;87;88,52;89,33;89,19;90,67;90,67
10;"el Botànic";3;31;87;65,42;66,41;67,56;69,18;69,47
11;"la Roqueta";3;32;87;77,11;77,12;78,7;80,06;79,99
12;"la Petxina";3;33;87;68,77;69,35;70,17;70,8;70,7
13;"Arrancapins";3;34;87;64,1;64,12;64,13;67,47;67,66
14;"Campanar";4;41;87;7,85;8,83;14,05;19,5;20,93
15;"les Tendetes";4;42;87;29,53;31,8;31,83;34,21;47,08
16;"el Calvari";4;43;87;65,01;71,99;75,53;79,69;82,37
17;"Sant Pau";4;44;87;1,31;1,31;2,42;4,58;4,98
18;"Marxalenes";5;51;87;29,5;31,33;40,33;47,88;54,43
19;"Morvedre";5;52;87;51,07;51,66;53,24;57,23;59,14
20;"Trinitat";5;53;87;51,63;51,63;54,81;57,87;57,84
21;"Tormos";5;54;87;43,79;46,14;48,34;51,38;51,74
22;"Sant Antoni";5;55;87;29,98;31,82;32,13;35,82;36,82
23;"Exposició";6;61;87;36,34;39,87;40,45;44,08;44,09
24;"Mestalla";6;62;87;31,64;34,48;34,66;36,71;39,28
25;"Jaume Roig";6;63;87;24,92;27,82;31,23;68,97;68,97
26;"Ciutat Universitària";6;64;87;0,14;11,6;20,89;28,05;38,92
27;"Nou Moles";7;71;87;50,27;51,44;56,22;58,24;59,62
28;"Soternes";7;72;87;30,94;36,99;42,91;55,72;60,27
29;"Tres Forques";7;73;87;58,43;58,43;58,66;62,02;81,64
30;"la Fontsanta";7;74;87;56,94;56,94;59,26;66,24;71,08
31;"la Llum";7;75;87;14,45;14,45;14,45;23,01;23,01
32;"Patraix";8;81;87;40,57;41,62;41,85;44,22;46,09
33;"Sant Isidre";8;82;87;0,66;0,66;0,66;0,64;0,62
34;"Vara de Quart";8;83;87;2,83;2,83;2,77;2,77;2,75
35;"Safranar";8;84;87;3,28;3,83;4,79;6;7,87
36;"Favara";8;85;87;20,52;22,27;22,62;28,35;29,38
37;"la Raiosa";9;91;87;38,51;40,54;44,09;48,98;50,99
38;"l'Hort de Senabre";9;92;87;23,77;25,1;27,98;31,08;35,64
39;"la Creu Coberta";9;93;87;30,11;30,11;30,97;30,94;34,85
41;"Camí Real";9;95;87;13,33;13,33;13,65;15,14;18,55
42;"Mont-Olivet";10;101;87;48,72;55,28;58,41;65,21;67,36
43;"en Corts";10;102;87;42,94;50,06;51,93;58,47;62,33
44;"Malilla";10;103;87;2,93;4,25;6,55;10,45;16,48
45;"Fonteta de Sant Lluís";10;104;87;19,84;28,81;38,98;50,11;57,46
46;"na Rovella";10;105;87;10,2;10,2;10,2;10,2;10,2
47;"la Punta";10;106;87;41,55;41,67;40,1;44,17;45,14
48;"Ciutat de les Arts i les Ciències";10;107;87;0;0;0;0;0
49;"el Grau";11;111;87;34,03;34,58;36,43;41,17;40,14
50;"el Cabanyal-el Canyamelar";11;112;87;66,3;67,74;68,39;72,3;74,31
51;"la Malva-rosa";11;113;87;30,85;33,07;34,9;39,41;41,29
52;"Beteró";11;114;87;20,59;22;21,99;25,33;27,24
53;"Natzaret";11;115;87;46,74;49,95;52,51;63,44;69,26
54;"Aiora";12;121;87;40,35;43,48;44,27;46,7;48,38
55;"Albors";12;122;87;31,68;32,82;35,2;41,1;43,05
56;"la Creu del Grau";12;123;87;36,96;40,65;43,6;48,05;49,42
57;"Camí Fondo";12;124;87;47,17;47,6;48,43;50,35;54,31
58;"Penya-roja";12;125;87;4,24;4,24;4,21;4,12;4,1
59;"l'Illa Perduda";13;131;87;24,16;24,16;25,82;27,21;34,16
60;"Ciutat Jardí";13;132;87;4,08;4,41;5,09;8,19;9,9
61;"l'Amistat";13;133;87;40,62;41,15;45,53;47,95;49,84
62;"la Bega Baixa";13;134;87;17,31;17,31;20,79;27,72;28,88
63;"la Carrasca";13;135;87;2,37;2,37;2,32;2,37;2,37
64;"Benimaclet";14;141;87;30,48;33,63;36,47;40,92;43,07
65;"Camí de Vera";14;142;87;1,25;1,25;1,25;1,52;1,52
66;"Orriols";15;151;87;53,97;54,18;58,54;64,93;69,96
67;"Torrefiel";15;152;87;28,44;30,92;35,32;38,55;42,2
68;"Sant Llorenç";15;153;87;0,58;0,58;0,58;1,11;2,08
69;"Benicalap";16;161;87;21,47;23,37;24,82;28,08;31,17
70;"Ciutat Fallera";16;162;87;13,9;18,06;43,52;57,77;57,8
71;"Benifaraig";17;171;87;32,02;32,57;32,7;40,83;41,02
72;"Poble Nou";17;172;87;44,03;44,63;44,4;76,59;77
73;"Carpesa";17;173;87;43,99;43,99;44,04;55,33;55,57
74;"Cases de Bàrcena";17;174;87;56,72;57,2;57,45;83,12;83,12
75;"Mauella";17;175;87;88,16;91,67;90,41;87,14;85,92
76;"Massarrojos";17;176;87;22,66;22,95;23,1;27,13;26,91
77;"Borbotó";17;177;87;41,58;43;43;48,27;48,51
78;"Benimàmet";18;181;87;29,37;30,32;32,25;36,44;40,44
79;"Beniferri";18;182;87;7,28;7,28;7,28;7,28;7,28
