"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;82;11,86;11,94;11,96;11,94;12,02
2;"la Xerea";1;12;82;9,36;9,17;8,96;8,94;8,97
3;"el Carme";1;13;82;15,21;15,18;15,05;15,05;15,31
4;"el Pilar";1;14;82;11,31;11,16;11,54;11,61;11,7
5;"el Mercat";1;15;82;18,45;19,21;19,44;19,55;19,63
6;"Sant Francesc";1;16;82;9,46;9,51;9,45;9,55;9,55
7;"Russafa";2;21;82;6,81;6,77;6,78;6,77;6,7
8;"el Pla del Remei";2;22;82;2,74;2,74;2,76;2,71;2,74
9;"Gran Via";2;23;82;2,04;2,04;2,06;2,06;2,07
10;"el Botànic";3;31;82;11,78;11,76;11,8;11,79;11,68
11;"la Roqueta";3;32;82;10,86;10,88;10,92;10,92;10,96
12;"la Petxina";3;33;82;3,92;3,94;3,98;3,99;3,94
13;"Arrancapins";3;34;82;3,48;3,5;3,58;3,57;3,56
14;"Campanar";4;41;82;3,4;3,4;3,4;3,44;3,44
15;"les Tendetes";4;42;82;1,4;1,4;1,4;1,4;1,39
16;"el Calvari";4;43;82;18,28;18,28;18,26;18,25;18,23
17;"Sant Pau";4;44;82;2,35;2,35;2,33;2,32;2,23
18;"Marxalenes";5;51;82;3,82;3,82;3,82;3,79;3,79
19;"Morvedre";5;52;82;4,17;4,29;4,23;4,27;4,27
20;"Trinitat";5;53;82;5,36;5,36;5,36;5,34;5,34
21;"Tormos";5;54;82;4,28;4,28;4,24;4,24;4,24
22;"Sant Antoni";5;55;82;2,57;2,57;2,57;2,57;2,55
23;"Exposició";6;61;82;4,62;4,62;4,7;4,72;4,72
24;"Mestalla";6;62;82;3,56;3,56;3,6;3,6;3,67
25;"Jaume Roig";6;63;82;3,44;3,44;3,44;3,44;3,44
26;"Ciutat Universitària";6;64;82;2,8;2,8;2,8;2,8;2,79
27;"Nou Moles";7;71;82;2,37;2,37;2,36;2,34;2,33
28;"Soternes";7;72;82;4,79;4,79;4,79;4,79;4,83
29;"Tres Forques";7;73;82;16,55;16,55;16,52;16,52;16,52
