"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;84;44,68;44,76;44,7;44,57;44,34
2;"la Xerea";1;12;84;55,57;55,75;56,57;56,44;56,35
3;"el Carme";1;13;84;22,17;22,09;22,07;22,05;22,21
4;"el Pilar";1;14;84;33,45;33,6;33,18;33,03;33,1
5;"el Mercat";1;15;84;35,67;35,05;34,7;34,62;34,34
6;"Sant Francesc";1;16;84;63,09;63,02;63,1;62,97;62,94
7;"Russafa";2;21;84;32,75;32,79;32,73;32,81;32,9
8;"el Pla del Remei";2;22;84;78,43;78,36;78,35;78,38;78,32
9;"Gran Via";2;23;84;61,67;61,65;61,69;61,68;61,64
10;"el Botànic";3;31;84;33,8;33,74;33,69;33,7;33,67
11;"la Roqueta";3;32;84;33;32,99;33,02;33,02;33,08
12;"la Petxina";3;33;84;42,58;42,58;42,59;42,62;42,96
13;"Arrancapins";3;34;84;46,08;46,11;46,07;46,08;46,21
14;"Campanar";4;41;84;36,37;36,36;36,04;36,02;36,01
15;"les Tendetes";4;42;84;26;26;25,99;25,99;25,96
16;"el Calvari";4;43;84;8,28;8,28;8,27;8,26;8,24
17;"Sant Pau";4;44;84;50,64;50,64;50,64;50,8;51,61
18;"Marxalenes";5;51;84;17,02;17,01;16,99;17,71;17,81
19;"Morvedre";5;52;84;22,99;23,28;23,4;23,26;23,27
20;"Trinitat";5;53;84;15,17;15,17;15,17;15,43;15,47
21;"Tormos";5;54;84;11,9;11,9;11,89;11,88;11,86
22;"Sant Antoni";5;55;84;34,14;34,15;34,15;34,17;34,56
23;"Exposició";6;61;84;59,6;59,6;59,61;59,89;59,88
24;"Mestalla";6;62;84;33,15;33,13;33,1;33,11;33
25;"Jaume Roig";6;63;84;71,21;71,21;71,21;71,21;71,18
26;"Ciutat Universitària";6;64;84;45,9;45,94;45,94;45,94;45,94
27;"Nou Moles";7;71;84;19,77;19,78;19,93;20,03;20,26
28;"Soternes";7;72;84;13,42;13,42;13,42;13,42;13,41
29;"Tres Forques";7;73;84;12,07;12,07;12,07;12,07;12,07
30;"la Fontsanta";7;74;84;12,33;12,33;12,33;12,33;12,33
31;"la Llum";7;75;84;22,4;22,4;22,4;22,4;22,4
32;"Patraix";8;81;84;29,53;29,55;29,53;29,6;29,87
33;"Sant Isidre";8;82;84;28,95;28,95;28,95;29,15;29,34
34;"Vara de Quart";8;83;84;22,06;22,06;21,99;21,99;21,97
35;"Safranar";8;84;84;30,48;30,44;31,32;32,06;33
36;"Favara";8;85;84;23,67;23,67;23,67;23,63;23,69
37;"la Raiosa";9;91;84;26,15;26,16;26,21;26,21;26,31
38;"l'Hort de Senabre";9;92;84;18,59;18,59;18,57;18,57;18,57
39;"la Creu Coberta";9;93;84;23,27;23,27;23,26;23,25;23,25
41;"Camí Real";9;95;84;27,08;27,08;27,08;27,08;27,08
42;"Mont-Olivet";10;101;84;24,15;24,14;24,14;24,14;24,16
43;"en Corts";10;102;84;16,95;16,97;17,26;17,28;17,43
44;"Malilla";10;103;84;21,01;20,77;20,82;22,1;24,03
45;"Fonteta de Sant Lluís";10;104;84;15,96;15,96;15,96;15,85;18,54
46;"na Rovella";10;105;84;6,15;6,15;6,15;6,15;6,15
47;"la Punta";10;106;84;57;57;56,72;56,63;55,14
48;"Ciutat de les Arts i les Ciències";10;107;84;48,89;49,45;49,43;49,41;50,88
49;"el Grau";11;111;84;21,11;21,08;21,1;21,22;21,61
50;"el Cabanyal-el Canyamelar";11;112;84;15,74;15,72;15,67;15,71;15,63
51;"la Malva-rosa";11;113;84;12,04;12,04;12,04;12,04;12,78
52;"Beteró";11;114;84;24,19;24,2;24,22;24,22;24,22
53;"Natzaret";11;115;84;13,31;13,31;13,35;13,27;13,27
54;"Aiora";12;121;84;13,93;13,92;13,86;14,05;14,06
55;"Albors";12;122;84;31,83;30,43;30,55;30,55;30,53
56;"la Creu del Grau";12;123;84;11,47;11,47;11,47;11,48;11,46
57;"Camí Fondo";12;124;84;24,24;24,24;24,3;24,43;24,42
58;"Penya-roja";12;125;84;71;70,98;71,14;71,44;71,55
59;"l'Illa Perduda";13;131;84;15,24;15,26;15,26;15,26;15,26
60;"Ciutat Jardí";13;132;84;28,15;28,05;28,05;27,87;27,87
61;"l'Amistat";13;133;84;20,28;20,27;20,25;20,25;20,25
62;"la Bega Baixa";13;134;84;48,6;48,6;48,6;48,6;48,61
63;"la Carrasca";13;135;84;43,51;43,51;43,48;43,51;43,51
64;"Benimaclet";14;141;84;20,07;20,06;20,06;20,17;20,19
65;"Camí de Vera";14;142;84;30,88;30,88;30,88;30,97;30,97
66;"Orriols";15;151;84;8,24;8,25;8,25;8,26;8,22
67;"Torrefiel";15;152;84;16,35;16,35;16,33;16,32;16,3
68;"Sant Llorenç";15;153;84;50,28;50,07;50,27;50,28;49
69;"Benicalap";16;161;84;22,23;22,23;22,4;22,85;23,86
70;"Ciutat Fallera";16;162;84;8,49;8,49;8,49;8,48;8,48
71;"Benifaraig";17;171;84;72,13;72,57;72,43;72,02;72,02
72;"Poble Nou";17;172;84;41,36;41,32;41,08;41,27;41,27
73;"Carpesa";17;173;84;48,63;48,63;48,36;48,63;48,71
74;"Cases de Bàrcena";17;174;84;33,19;33,47;33,19;32,91;32,91
75;"Mauella";17;175;84;81,58;86,11;84,93;82,86;83,1
76;"Massarrojos";17;176;84;72,66;72,78;72,8;72,7;72,84
77;"Borbotó";17;177;84;61,88;62,5;62,5;61,88;62,13
78;"Benimàmet";18;181;84;29,29;29,32;29,31;29,29;29,32
79;"Beniferri";18;182;84;62,6;62,6;62,6;62,6;62,6
80;"el Forn d'Alcedo";19;191;84;33,13;33,13;32,92;32,92;33,08
81;"el Castellar-l'Oliverar";19;192;84;41,62;41,63;41,63;41,62;41,63
82;"Pinedo";19;193;84;41,98;42,02;42,06;42;42
83;"el Saler";19;194;84;43,44;43,46;43,1;43,1;43,1
84;"el Palmar";19;195;84;56,66;56,14;56,14;55,64;55,74
85;"el Perellonet";19;196;84;24,7;24,7;24,71;25,12;25,14
86;"la Torre";19;197;84;21,9;21,93;21,96;21,96;21,96
87;"Faitanar";19;198;84;65,74;65,7;65,7;64,71;64,71
