"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;52;6,83;6,08;6,44;7,69;7,7;8,11;7,5;7,88;7,53;7,55;7,46;7,35;6,92
2;"la Xerea";1;12;52;6,32;6,89;6,7;6,66;7,16;7,45;7,36;6,44;6,98;6,86;6,89;6,75;6,23
3;"el Carme";1;13;52;5,1;5,45;5,78;5,2;5,36;5,7;5,53;5,64;5,66;5,75;6,28;6,13;5,98
4;"el Pilar";1;14;52;5,33;4,71;4,71;4,88;5,51;6,26;6,75;6,75;6,2;6,53;6,32;6,12;6,22
5;"el Mercat";1;15;52;4,96;4,71;4,58;5,21;5,54;6,12;6,52;6,46;5,83;6,44;6,83;6,64;5,8
6;"Sant Francesc";1;16;52;6,34;6,46;7,13;7,19;7,05;7,31;7,63;7,42;7,76;8,04;7,64;7,2;6,62
7;"Russafa";2;21;52;7,72;7,46;7,49;7,69;7,83;8,01;7,81;7,88;7,9;7,93;7,82;7,71;7,66
8;"el Pla del Remei";2;22;52;8,86;8,94;9,2;10,16;9,94;9,74;9,71;10,16;10,05;9,43;9,74;9,41;9,52
9;"Gran Via";2;23;52;9,94;9,73;9,84;9,47;9,61;9,81;9,83;10,11;10,46;10,51;10,06;9,63;9,26
10;"el Botànic";3;31;52;6,69;6,69;6,94;6,99;7,19;7,43;7,25;7,32;7,6;8,17;7,56;7,29;7,06
11;"la Roqueta";3;32;52;6,26;6,32;6,95;7,32;7,53;7,41;7,73;7,37;6,91;7,3;6,91;6,86;6,25
12;"la Petxina";3;33;52;9,36;9,26;9,36;9,45;9,51;9,2;9,16;8,85;9;9,28;8,81;8,89;8,92
13;"Arrancapins";3;34;52;8,85;8,97;8,72;8,71;8,69;8,45;8,34;8,51;8,51;8,4;8,27;8,22;8,25
14;"Campanar";4;41;52;7,77;7,7;7,85;7,56;7,48;7,75;8,06;8,47;8,5;8,62;8,51;8,2;7,94
15;"les Tendetes";4;42;52;6,5;6,7;6,33;5,79;5,93;5,92;5,9;6,28;6,24;6,38;6,03;5,89;5,76
16;"el Calvari";4;43;52;6,16;6,24;6,19;6,11;6,49;5,94;5,59;5,13;5,31;5,45;5,91;5,89;6,15
17;"Sant Pau";4;44;52;14,34;14,31;14,58;15,99;16,17;16,43;17;17,39;17,93;18,04;18,21;17,7;17,17
18;"Marxalenes";5;51;52;7,59;7,75;7,7;7,49;7,51;7,42;7,03;6,63;6,69;6,58;6,67;7,12;6,64
19;"Morvedre";5;52;52;8,37;8,57;8,14;8,19;8,19;8,28;8,39;8,26;8,34;8,39;7,54;7,9;7,24
20;"Trinitat";5;53;52;6,12;6,47;6,23;6,48;6,46;6,59;6,73;6,64;6,93;6,85;6,86;6,96;6,83
21;"Tormos";5;54;52;9,96;10,51;10,44;10,41;10,45;10,13;9,45;9,27;8,82;8,67;8,26;8,1;7,68
22;"Sant Antoni";5;55;52;10,04;9,95;9,78;9,93;9,56;9,67;9,31;8,94;9,62;9,43;8,81;8,64;7,77
23;"Exposició";6;61;52;9,33;9,22;8,83;9,35;9,48;9,12;8,85;8,83;8,78;8,62;8,8;9,25;9,4
24;"Mestalla";6;62;52;10,03;10,02;9,81;9,85;10,1;9,52;9,11;9,24;9,25;9,29;9,39;9,58;9,46
25;"Jaume Roig";6;63;52;11,19;11,26;11,34;11,85;11,06;11;10,37;10,61;10,89;11,48;11,51;11,33;11,03
26;"Ciutat Universitària";6;64;52;11,47;11,95;11,73;10,06;11,32;11,17;10,35;9,72;9,94;11,05;11,29;11,33;10,73
27;"Nou Moles";7;71;52;8,38;8,3;8,14;8,15;7,74;7,56;7,46;7,35;7,26;7,5;7,41;7,31;6,86
28;"Soternes";7;72;52;8,95;8,96;9,31;9,27;9,17;8,5;8,82;9,8;8,79;8,62;8,35;8;7,43
29;"Tres Forques";7;73;52;7,36;7,25;6,99;6,82;6,81;7,27;6,79;7,24;7,51;7,32;7,95;7,76;7,19
30;"la Fontsanta";7;74;52;9,98;9,05;10,31;10,42;9,75;10,41;10,58;9,85;9,12;9,53;8,69;8,07;8,71
31;"la Llum";7;75;52;12,04;11,97;11,23;11,59;11,45;10,55;10,22;9,5;9,64;8,99;8,06;7,83;7,4
32;"Patraix";8;81;52;9,33;9,23;9,16;9,34;9,52;9,3;9,07;8,94;8,67;8,5;8,33;7,85;7,43
33;"Sant Isidre";8;82;52;14,51;14,54;13,88;14,01;13,94;13,55;13,16;12,71;12,21;11,17;10,09;9,58;9,23
34;"Vara de Quart";8;83;52;8,73;8,15;8,34;8,46;8,08;7,98;8,22;8,18;8,13;7,84;7,64;7,24;7,38
35;"Safranar";8;84;52;13,57;13,56;12,98;13,34;13,32;12,99;13,11;13,24;12,91;12,46;12,56;12,15;11,29
36;"Favara";8;85;52;9,87;9,95;10,29;10,35;10,94;10,79;10,43;10,37;10,23;9,28;9,07;8,74;8,05
37;"la Raiosa";9;91;52;8,36;8,3;8,42;8,29;8,35;8,6;8,85;8,77;8,77;8,16;8,2;7,48;7,13
38;"l'Hort de Senabre";9;92;52;9,8;9,45;9,7;9,81;9,56;9,63;9,65;9,61;9,38;9,27;8,67;8,28;7,61
39;"la Creu Coberta";9;93;52;9,11;8,28;7,89;7,77;8,01;8,12;8,25;8,09;7,91;8,13;8;8,1;8,08
41;"Camí Real";9;95;52;9,3;9,08;9,96;11,21;11,97;12,72;13,65;13,57;13,87;13,78;13,29;12,81;12,85
42;"Mont-Olivet";10;101;52;7,27;7,44;7,29;7,35;7,46;7,62;7,6;7,33;7,27;7,6;7,5;7,16;7,09
43;"en Corts";10;102;52;8,84;8,28;8,1;8,68;8,91;9,15;8,96;8,45;8,19;8,16;8,15;7,9;7,8
44;"Malilla";10;103;52;12,04;12,1;12,01;11,99;11,79;11,6;11,63;11,64;11,23;10,9;10,75;10,58;10,23
45;"Fonteta de Sant Lluís";10;104;52;9,42;8,94;10,35;10,52;10,17;9,11;9,79;10,9;10,33;9,24;8,77;8,87;9,67
46;"na Rovella";10;105;52;8,38;8,47;8,46;8,45;8,07;7,43;7,47;7,93;7,91;7,94;7,97;7,52;7,57
47;"la Punta";10;106;52;8,68;8,72;9,18;8,24;8,22;8,08;7,13;7,31;6,77;7,87;8,95;9,75;10,05
48;"Ciutat de les Arts i les Ciències";10;107;52;14,79;15,14;15,15;15,19;15,28;14,53;14,73;14,57;14,83;14,51;13,86;13,67;12,88
49;"el Grau";11;111;52;10,15;9,78;10,29;11,1;11,13;11,22;10,96;11,1;10,39;10,44;10,05;9,88;9,19
50;"el Cabanyal-el Canyamelar";11;112;52;7,83;7,95;8,42;8,39;8,4;8,25;8,32;8,11;8,05;7,85;7,26;6,94;6,58
51;"la Malva-rosa";11;113;52;8,4;8,43;8,69;8,3;8,56;8,44;8,71;8,47;8,07;8,05;7,89;7,53;7,44
52;"Beteró";11;114;52;13,16;12,57;11,67;11,36;11,12;11,13;10,69;10,16;9,82;9,7;9,22;8,89;8,54
53;"Natzaret";11;115;52;9,31;9,78;9,6;9,86;9,21;9,41;9,28;9,52;9,48;9,42;9,03;8,54;9,23
54;"Aiora";12;121;52;10,18;10,6;10,66;10,62;10,43;10,18;9,87;10,12;9,89;9,88;9,36;8,78;8,68
55;"Albors";12;122;52;8,27;8,25;8,44;8,26;7,98;8;8,2;8,34;8,18;7,93;7,87;7,49;7,02
56;"la Creu del Grau";12;123;52;9,88;9,82;10,09;9,94;10,13;10,2;9,96;9,84;9,63;9,34;9,12;8,59;8,16
57;"Camí Fondo";12;124;52;9,27;9,16;10,03;10,04;9,15;9,38;9,18;8,79;8,19;8,34;8,18;7,8;7,93
58;"Penya-roja";12;125;52;17,07;17,56;18,16;18,5;18,6;19,25;19,56;19,91;19,33;18,9;18,63;17,99;17,11
59;"l'Illa Perduda";13;131;52;9,33;9,3;9,35;9,24;9,05;9,05;9,22;9,02;9,34;9,29;9,1;8,55;7,52
60;"Ciutat Jardí";13;132;52;7,47;6,94;6,4;6,17;6,09;6,03;5,9;5,92;6,13;6,28;6,1;6,01;6,25
61;"l'Amistat";13;133;52;7,03;6,52;6,4;6,1;6,08;6,4;6,36;6,21;6,05;6,5;6,24;6,63;6,07
62;"la Bega Baixa";13;134;52;9,24;9,01;8,84;9,23;8,93;9,15;9,26;9,48;9,16;8,4;7,93;7,93;7,77
63;"la Carrasca";13;135;52;10,24;9,96;9,83;9,77;9,5;9,74;9,54;8,61;7,95;7,63;7,36;6,37;5,95
64;"Benimaclet";14;141;52;7,89;7,54;7,51;7,27;7,25;7,42;7,57;7,59;7,4;7,15;7,02;6,9;6,86
65;"Camí de Vera";14;142;52;11,17;11,02;10,36;9,88;9,45;9,07;8,23;7,8;7,31;7,64;7,45;7,65;6,92
66;"Orriols";15;151;52;8,73;8,37;8,26;8,55;8,11;8,11;8,25;8,04;8,12;8,54;8,4;8,14;7,99
67;"Torrefiel";15;152;52;10,02;10,32;10,14;10,08;10,07;9,77;9,87;9,59;9,25;9,19;9,01;8,89;8,02
68;"Sant Llorenç";15;153;52;16,36;16,98;18,23;18,26;18,51;19,04;19,26;19,91;19,57;18,84;18,53;18,01;16,96
69;"Benicalap";16;161;52;10,66;10,51;10,66;10,88;10,81;11,13;11,4;11,29;11,2;10,95;10,96;10,73;10,13
70;"Ciutat Fallera";16;162;52;11,46;11,59;11,57;10,88;10,27;10,11;9,56;10,1;9,4;9,31;9,14;8,4;8,31
71;"Benifaraig";17;171;52;9,66;10,78;10,44;10,79;10,27;11,08;12,59;12,01;11,92;12,77;12,04;11,44;11,52
72;"Poble Nou";17;172;52;11,73;10,44;9,3;8,86;8,5;8,36;6;6,05;6,23;7,54;6,3;6,04;5,68
73;"Carpesa";17;173;52;8,61;9,07;9,56;8,65;8,25;8,65;8,09;8,23;7,58;6,69;5,7;6,33;6,04
74;"Cases de Bàrcena";17;174;52;4,22;4,19;4,19;4,88;6,92;7,1;5,26;5,73;5,1;3,77;4,88;4,22;2,98
75;"Mauella";17;175;52;6,45;7,41;6,67;6,9;3,45;3,57;3,7;3,85;7,69;8,33;7,69;6,9;0
76;"Massarrojos";17;176;52;16,8;17,97;17,43;17,49;17,87;17,25;17,39;18,32;18,12;19,14;17,64;16,65;16,67
77;"Borbotó";17;177;52;10,83;9,29;10,68;10,87;11,81;11,28;11,52;11,23;11,91;11,87;12,23;13,52;11,15
78;"Benimàmet";18;181;52;9,89;10,15;10,23;10,49;10,61;10,75;11,06;10,82;11,06;10,36;9,9;9,56;8,9
79;"Beniferri";18;182;52;12,54;12,22;11,55;11,03;11,3;11,24;11,48;12,59;13,39;13,41;14,77;12,93;12,05
80;"el Forn d'Alcedo";19;191;52;11,19;11,55;8,91;9,73;9,54;10,12;9,48;10,65;11,02;10,6;10,57;9,36;10,58
81;"el Castellar-l'Oliverar";19;192;52;11,46;11,29;11,17;11,59;11;11,1;11,32;11,32;10,87;10,69;10,78;11,16;10,87
82;"Pinedo";19;193;52;10,39;10,54;10,65;9,63;8,78;10,05;10,44;9,64;9,21;10,07;9,9;9,73;9,36
83;"el Saler";19;194;52;11,66;10,48;10,96;11,68;10,98;10,51;11,08;10,67;10,8;10,24;11,4;11,35;11,81
84;"el Palmar";19;195;52;10,11;9,4;8,99;8,21;7,17;6,99;7,91;7,66;9,45;10,51;12,01;11,11;10,8
85;"el Perellonet";19;196;52;8,51;9,59;9,87;9,16;9,53;8,47;8,28;7,99;7,99;8,15;9,09;7,34;5,84
86;"la Torre";19;197;52;7,49;7,41;6,93;7,45;7,22;6,97;6,46;6,89;6,98;7,11;7,73;7,4;7,19
87;"Faitanar";19;198;52;8,74;5,88;3,88;5,13;4,8;4,8;5,05;6,09;7,09;7,6;7,03;7,38;7,28
