"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;45;9,56;8,56;8,99;10;9,59;10,45;10,17;10,19;9,84;10,78;10,07;10,28;8,74
2;"la Xerea";1;12;45;12,52;10,94;10,77;10,47;9,83;10,59;11;10,08;10,47;10,83;10,83;10,24;9,82
3;"el Carme";1;13;45;7,66;8,04;7,59;7,68;7,45;7,75;8,21;8;7,75;7,9;8,03;7,62;7,66
4;"el Pilar";1;14;45;8,88;8,7;9,12;8,46;8,31;8,51;8,92;8,79;8,46;8,5;8,46;7,86;8,04
5;"el Mercat";1;15;45;7,29;7,53;7,21;7,07;7,38;7,89;8,62;8,92;8,66;9,41;9,19;8,6;7,92
6;"Sant Francesc";1;16;45;11,72;11,64;11,62;11;11,19;10,68;11,21;11,54;11,52;11,62;11,25;10,82;10,5
7;"Russafa";2;21;45;11,21;11,06;10,58;10,83;11,13;10,96;11,08;11,04;11,09;11,19;11,11;10,84;10,87
8;"el Pla del Remei";2;22;45;14,04;13,75;14,06;14,37;15,02;14,36;14,99;15,19;14,77;14,02;14,73;14,69;14
9;"Gran Via";2;23;45;14,24;14,16;13,8;12,97;13,14;13,89;14,08;13,97;14,01;14,06;14,4;14,01;13,96
10;"el Botànic";3;31;45;10,2;10,2;10,38;10,61;11,34;10,87;10,51;11,1;11,12;11,2;10,37;10,2;9,86
11;"la Roqueta";3;32;45;10,35;9,99;10,97;10,68;10,53;10,16;9,96;10,41;9,74;9,73;9,72;10,02;9,72
12;"la Petxina";3;33;45;13,72;13,63;13,12;13,27;13,27;13,59;13,52;13,43;13,57;13,76;13,72;13,33;13,24
13;"Arrancapins";3;34;45;13,82;13,64;13,68;13,48;13,31;13,32;13,39;13,57;13,38;12,94;12,86;12,86;12,68
14;"Campanar";4;41;45;16,98;16,84;16,87;16,52;15,98;15,68;15,82;15,46;15,76;14,92;15,07;14,23;13,62
15;"les Tendetes";4;42;45;13,43;12,93;12,05;12,37;12,25;12,01;11,79;11,82;11,08;11,46;11,14;11,09;10,81
16;"el Calvari";4;43;45;11,08;10,62;10,24;10,68;10,46;9,44;8,48;8,66;8,89;9,47;9,36;9,97;10,75
17;"Sant Pau";4;44;45;19,39;18,76;19,76;20,79;20,63;20,57;20,99;20,92;20,91;20,99;21,62;21,44;21,68
18;"Marxalenes";5;51;45;13,61;13,93;13,72;13,85;13,51;13,16;12,19;12,17;12,22;11,63;11,42;11,84;11,67
19;"Morvedre";5;52;45;13,21;13,22;12,66;12,89;12,74;12,73;13,06;12,45;12,48;12,5;12,02;12,08;11,82
20;"Trinitat";5;53;45;11,57;10,85;10,53;10,43;10,94;11,05;10,58;10,95;10,94;10,42;10,48;10,02;10
21;"Tormos";5;54;45;15,18;15,59;15,47;15,46;15,4;16,02;15,47;15,31;15,21;15,5;15,51;14,53;14,38
22;"Sant Antoni";5;55;45;15,92;16;15,93;15,81;16,06;16,33;16,03;15,41;15;15,37;15,05;14,98;14,11
23;"Exposició";6;61;45;16,16;15,73;16,36;17;16,07;15,41;14,54;13,7;13;12,92;12,95;12,88;12,95
24;"Mestalla";6;62;45;15,53;15,52;15,28;15,85;15,44;14,8;14,59;14,57;14,23;14,13;14,23;14,15;14,07
25;"Jaume Roig";6;63;45;17,63;17,47;16,14;16,58;16,27;15,64;14,82;14,68;15,29;15,75;15,8;15,6;14,91
26;"Ciutat Universitària";6;64;45;16,83;15,03;15,48;14,8;15,32;15,05;15,53;15,09;14,63;14,39;14,43;14,21;14,61
27;"Nou Moles";7;71;45;14,11;13,37;13,16;13,11;13,25;13,1;13,26;12,68;12,69;12,53;12,95;12,84;12,6
28;"Soternes";7;72;45;15,19;14,11;13,47;13,64;14,24;14,17;14,07;14,03;13,26;13,32;12,19;12,53;12,39
29;"Tres Forques";7;73;45;10,36;10,16;10,33;10,61;10,6;11,18;10,92;11,12;10,94;10,43;10,94;10,87;10,79
30;"la Fontsanta";7;74;45;15,22;14,58;14,06;14,31;13,27;13,88;14,64;14,48;14,38;14,49;13,9;13,48;13,31
31;"la Llum";7;75;45;20,17;19,21;19,41;19,54;19,2;18,78;18,11;18,35;18,11;17,33;17,6;17,13;17,23
32;"Patraix";8;81;45;15,26;15,06;15,06;14,76;14,81;14,87;14,77;14,74;14,04;13,83;13,72;13,78;13,58
33;"Sant Isidre";8;82;45;21,84;21,3;21,41;21,52;21,66;21,44;21,42;20,58;20,21;20,06;19,38;18,12;17,6
34;"Vara de Quart";8;83;45;19,35;18,02;18,22;17,96;17,18;16,36;15,92;15,98;15,05;14,52;14,23;13,73;13,63
35;"Safranar";8;84;45;21,62;21,12;20,35;20,05;19,95;19,5;19,61;19,92;19,38;19,2;19,51;19,29;18,64
36;"Favara";8;85;45;15,62;14,76;15,02;16,76;16,34;16,87;16,94;15,66;15,15;15,25;15,7;15,58;14,79
37;"la Raiosa";9;91;45;13,68;12,93;13,12;13,13;13,11;13,47;13,91;13,31;12,99;12,98;12,45;11,94;11,82
38;"l'Hort de Senabre";9;92;45;17,43;17,01;16,82;16,85;16,58;16,79;16,49;16,45;16,18;15,73;15,32;14,76;13,84
39;"la Creu Coberta";9;93;45;18,5;17,25;17,35;17,09;16,79;16;15,8;15,97;15,42;14,45;14,55;14,37;13,89
41;"Camí Real";9;95;45;13,67;12,23;13,25;14,61;14,89;16,09;16,81;16,59;16,68;16,43;16,3;16,71;16,18
42;"Mont-Olivet";10;101;45;12,54;12,96;12,36;12,3;12,05;12,38;12,43;12,51;12,28;11,9;11,91;11,48;11,01
43;"en Corts";10;102;45;13,82;13,55;12,68;12,66;13,31;13,57;13,01;12,92;12,92;12,82;13,15;13,28;12,49
44;"Malilla";10;103;45;19,18;18,57;18,12;17,66;17,44;17,73;17,9;18,06;17,69;17,31;16,98;17,07;16,86
45;"Fonteta de Sant Lluís";10;104;45;15,75;15,43;16,45;15,65;14,59;14,94;14,5;14,32;14,63;14,11;13,32;13,8;14,31
46;"na Rovella";10;105;45;14,72;14,67;14,57;14,55;14,06;13,58;14,09;13,9;13,47;13,06;12,24;12,68;12,03
47;"la Punta";10;106;45;14,89;13,14;13,07;12,77;12,28;12,02;12,01;11,72;11,87;12,08;12,94;13,03;14,44
48;"Ciutat de les Arts i les Ciències";10;107;45;17,9;17,96;18,46;18,75;18,68;18,89;19,18;19,49;19,69;19,27;19,07;19,23;19,31
49;"el Grau";11;111;45;14,86;14,58;14,72;15,21;15,63;15,97;16,25;15,98;16,18;15,92;15,27;14,96;14,11
50;"el Cabanyal-el Canyamelar";11;112;45;12,85;12,33;12,38;12,46;12,53;12,45;12,39;11,94;11,74;11,65;11,54;11,27;10,7
51;"la Malva-rosa";11;113;45;16,47;15,62;15,35;14,94;15,06;14,34;14,47;13,77;13,42;13,35;12,85;12,75;12,28
52;"Beteró";11;114;45;20,01;19,38;19,43;19,05;18,45;18,38;17,79;17,91;17,92;17,58;17,41;17,01;16,18
53;"Natzaret";11;115;45;15,4;14,64;14,61;15,23;15,09;15,03;15,04;14,66;14,18;13,75;14,02;14;14,06
54;"Aiora";12;121;45;15,65;15,63;15,44;15,87;15,7;16,06;15,71;15,92;15,92;15,81;15,17;14,68;14,22
55;"Albors";12;122;45;13,91;13,49;13,19;13;12,65;13,24;13,6;13,82;13,27;13,15;12,31;12,69;12,59
56;"la Creu del Grau";12;123;45;15,42;15,16;15,6;15,2;15,59;15,11;15,34;15,19;14,88;14,59;14,78;14,5;13,83
57;"Camí Fondo";12;124;45;14,35;14,54;14,64;15,06;14,73;13,77;13,75;13,64;12,97;13,39;13,11;12,42;12,18
58;"Penya-roja";12;125;45;20,87;20,62;21,84;21,79;22,41;22,58;22,54;23,39;23,07;22,97;22,94;22,77;22,66
59;"l'Illa Perduda";13;131;45;15,99;15,9;16,19;16,44;15,92;15,9;15,63;15,98;16,07;16,04;15,53;14,69;13,61
60;"Ciutat Jardí";13;132;45;15,88;15,42;14,92;14,82;14,21;13,61;13,39;13,41;13,11;12,41;11,98;11,83;11,76
61;"l'Amistat";13;133;45;13,97;13,71;12,99;12,29;11,93;12,01;12,36;11,76;12,09;11,86;11,74;11,67;10,94
62;"la Bega Baixa";13;134;45;17,43;15,71;14,95;14,88;15,34;15,8;15,15;15,75;15,54;14,75;15,3;14,91;14,18
63;"la Carrasca";13;135;45;17,46;17,64;18,06;18,29;18,26;18,1;17,85;16,73;17,02;16,11;15,07;14,29;14,27
64;"Benimaclet";14;141;45;14,85;14,36;13,97;13,89;13,5;13,59;13,35;13,12;12,94;12,82;12,26;12,12;12,12
65;"Camí de Vera";14;142;45;22,35;21,9;21,66;21,26;20,81;20,12;18,62;18,65;18,19;17,31;17,77;16,95;15,96
66;"Orriols";15;151;45;14,54;13,93;13,49;13,14;13,32;13,11;13,15;13,53;13,33;13,3;13,2;12,96;12,74
67;"Torrefiel";15;152;45;16,58;16,32;15,75;15,59;15,34;15,4;15,54;15,21;14,84;14,81;14,89;14,4;14,3
68;"Sant Llorenç";15;153;45;21,47;21,71;22,22;22,21;22,75;23,29;23,26;24,09;24,13;23,44;23,25;23,43;22,83
69;"Benicalap";16;161;45;16,92;16,63;16,57;16,4;16,46;16,29;16,51;16,56;16,8;16,76;16,59;16,55;16,1
70;"Ciutat Fallera";16;162;45;17,04;16,26;17,05;16,88;17,24;17,13;17,33;16,79;16,09;16,13;15,89;15,65;14,73
71;"Benifaraig";17;171;45;16,91;16,91;16,75;15,83;16,63;17,24;18,27;18,14;18,25;17,59;17,2;17,16;17,16
72;"Poble Nou";17;172;45;15,47;15,11;13,52;15,14;14,16;13,83;13,71;12,97;12,46;13,69;12,05;9,89;9,73
73;"Carpesa";17;173;45;20,08;20,21;19,54;20,25;18,39;17,72;18,09;16,88;15,79;14,02;13,5;13,71;14,79
74;"Cases de Bàrcena";17;174;45;10,24;9,58;9,58;9,76;11,32;10,32;10,53;8,92;7,64;8,81;9,15;9,04;8,33
75;"Mauella";17;175;45;6,45;7,41;0;0;3,45;3,57;3,7;3,85;7,69;12,5;15,38;10,34;3,33
76;"Massarrojos";17;176;45;23,2;24,17;23,85;23,19;22,94;23,08;23,98;25,87;24,97;24,54;24,94;24,15;22,72
77;"Borbotó";17;177;45;19,49;20;18,15;18,12;18,82;18,8;19,33;17,03;19,49;19,78;16,91;19,57;19,16
78;"Benimàmet";18;181;45;16,16;15,85;15,61;16,25;16,3;16,38;16,32;16,08;16,15;15,87;15,8;15,76;15,03
79;"Beniferri";18;182;45;23,55;20,83;21,26;18,87;17,31;19,14;18,74;18,31;19,17;20,91;21,36;19,95;19,77
80;"el Forn d'Alcedo";19;191;45;18,47;17,99;17,05;16,73;16,7;17,21;14,23;15,24;15,51;14,2;14,29;15,79;13,85
81;"el Castellar-l'Oliverar";19;192;45;18,77;17,49;17,98;18,73;18,48;18,46;18,57;18,12;17,18;16,95;17,36;17,38;17,05
82;"Pinedo";19;193;45;18,68;18,29;18,24;17,95;17,66;18,59;17,5;16,37;16,06;16,13;16,06;16,28;15,36
83;"el Saler";19;194;45;15,15;13,93;14,66;15,75;13,73;14,59;13,98;12,83;13,82;14,58;14,65;14,45;14,93
84;"el Palmar";19;195;45;22,85;20,68;19,48;20,52;20,75;17,28;19,06;18,98;21,09;20,65;21,2;21,18;21,25
85;"el Perellonet";19;196;45;13,42;11,71;11,85;11,82;11,8;11,25;11,75;11,61;10,41;11,38;11,82;10,59;10,57
86;"la Torre";19;197;45;14,57;13,15;12,95;13,03;12,14;12,04;12,3;12,06;11,81;11,5;11,68;12,07;11,76
87;"Faitanar";19;198;45;12,02;2,94;3,88;5,13;5,68;5,64;5,23;6,61;8,21;8,49;8,51;8,68;8,66
