"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;46;5,46;5,33;5,09;5,15;5,36;4,32;4,75;4,83;5,5;4,11;4,42;4,43;4,68
2;"la Xerea";1;12;46;7,23;7,55;7,42;8,11;8,19;8,23;7,78;7,87;7,75;7,75;8,11;8,01;7,35
3;"el Carme";1;13;46;4,54;4,18;4,47;4,21;4,05;3,9;3,64;3,71;3,76;3,54;3,66;3,78;3,65
4;"el Pilar";1;14;46;5,87;5,27;4,41;4,3;4,51;4,8;4,39;4,23;5;4,37;4,46;3,88;3,73
5;"el Mercat";1;15;46;4,84;4,65;4,18;4,46;4,5;4,29;4,76;4,69;4,98;4,62;4,59;4,52;4,35
6;"Sant Francesc";1;16;46;7,35;7,01;7,05;7,19;6,96;7,1;6,8;6,85;7,4;7,05;6,94;6,77;6,21
7;"Russafa";2;21;46;6,64;6,18;6,06;5,95;5,43;5,48;5,56;5,6;5,4;5,33;5,25;5,11;4,83
8;"el Pla del Remei";2;22;46;11,45;11,25;11,16;11,3;10,88;11,13;10,87;11,15;10,85;10,62;10,31;9,77;9,95
9;"Gran Via";2;23;46;9,29;9,28;9,53;9,54;9,19;8,83;9,1;9,07;9,13;8,97;8,75;8,77;8,52
10;"el Botànic";3;31;46;6,05;5,69;5,47;5,21;4,76;5,4;5,39;5,07;5,05;4,71;4,79;4,57;4,34
11;"la Roqueta";3;32;46;6,26;6,22;6;6,37;6,39;6,08;6,32;5,64;6,04;6,2;6,03;5,58;5,7
12;"la Petxina";3;33;46;8,13;7,6;7,66;7,5;7,38;7,13;7,3;6,93;6,9;6,85;6,5;6,41;6,3
13;"Arrancapins";3;34;46;7,41;7,23;7,19;7,16;6,79;6,54;6,41;6,36;6,5;6,68;6,44;6,13;5,97
14;"Campanar";4;41;46;7,32;6,99;7,14;7;6,77;6,6;6,39;6,2;5,89;6,13;5,97;6,2;6,08
15;"les Tendetes";4;42;46;7,18;6,27;5,94;5,75;5,27;5,34;5,15;5,58;6,37;5,86;6,03;5,67;5,68
16;"el Calvari";4;43;46;7,18;6,78;7,14;6,11;6,31;5,94;6,15;6,45;6,66;6,7;6,73;6,57;6,42
17;"Sant Pau";4;44;46;6,64;6,79;7;6,71;7,26;7,4;7,57;7,96;8,02;8,34;8,27;8,09;7,54
18;"Marxalenes";5;51;46;7,62;7,15;7,28;6,71;6,41;6,42;6,74;6,72;6,69;6,71;7,17;6,82;6,58
19;"Morvedre";5;52;46;7,55;7,49;7,48;7,03;6,01;5,85;6,06;5,92;5,97;5,85;5,49;5,56;4,95
20;"Trinitat";5;53;46;6,77;6,7;6,2;6,02;5,94;6,13;6,27;5,93;5,75;5,75;5,79;5,87;5,77
21;"Tormos";5;54;46;8,03;7,35;7,69;7,52;7,47;7,37;7,18;7,34;7,44;7,06;7,39;6,73;6,45
22;"Sant Antoni";5;55;46;8,2;7,9;7,57;7,51;7,06;6,84;6,88;6,87;7,51;7,15;7,27;7,02;6,53
23;"Exposició";6;61;46;12,91;12,94;12,43;12,36;12,47;12,36;12,33;11,96;12,24;12,16;11,74;11,69;11,49
24;"Mestalla";6;62;46;8,35;8,49;8,56;8,33;8,13;7,73;7,81;7,76;7,92;8,04;7,96;7,86;7,79
25;"Jaume Roig";6;63;46;13,79;13,91;14,76;14,74;14,63;13,95;13,99;14,05;13,44;12,88;12,24;12,19;12,38
26;"Ciutat Universitària";6;64;46;9,94;12,04;11,44;11,48;11,02;9,81;8,63;9,06;9,11;9,94;10,18;10,61;9,38
27;"Nou Moles";7;71;46;6,99;6,95;6,86;6,73;6,32;6,35;6,11;6,45;6,62;6,8;6,49;6,49;6,03
28;"Soternes";7;72;46;7,33;6,94;6,71;6,89;6,24;5,86;6,02;6,28;6,92;6,23;6,64;6,24;5,77
29;"Tres Forques";7;73;46;7,71;7,61;7,56;6,79;6,68;6,66;6,92;7,64;7,54;8,08;8,72;8,35;8,11
30;"la Fontsanta";7;74;46;10,83;10,34;11,1;10,49;10,12;9,9;9,76;10,67;10,53;9,9;10,21;10,09;9,86
31;"la Llum";7;75;46;6,82;7,04;6,55;6,63;6,48;6,31;6,61;6,42;6,05;5,83;5,6;5,27;4,82
32;"Patraix";8;81;46;6,39;6;5,91;5,76;5,65;5,74;5,84;5,76;5,83;5,61;5,92;5,72;5,16
33;"Sant Isidre";8;82;46;5,77;5,62;5,29;5,07;4,88;5,04;4,72;4,82;5,01;5,05;5,14;5,02;4,86
34;"Vara de Quart";8;83;46;5,87;5,41;5,34;5,19;5,29;5,4;5,6;5,73;5,75;5,55;5,42;5,28;5,07
35;"Safranar";8;84;46;5,85;6,12;5,96;5,77;5,38;5,38;5,35;5,5;5,5;5,01;4,72;4,64;4,95
36;"Favara";8;85;46;5,74;5,56;6,1;5,52;5,67;5,12;5,42;5,97;5,85;5,64;6,24;6,45;6,22
37;"la Raiosa";9;91;46;6,59;6,47;6,54;6,08;5,76;5,94;5,95;6,19;6,49;6,33;6,66;6,36;5,92
38;"l'Hort de Senabre";9;92;46;6,82;6,42;6,66;6,63;6,41;6,49;6,67;6,35;6,51;6,52;6,46;6,33;6,11
39;"la Creu Coberta";9;93;46;7,04;6,46;6,15;6,06;5,99;6,5;6,17;5,61;5,93;6,56;6,35;6,19;5,53
41;"Camí Real";9;95;46;5,38;5,17;5,14;4,55;4,6;3,7;3,99;3,86;4,22;4,68;5,02;4,52;4,53
42;"Mont-Olivet";10;101;46;8,33;7,58;7,5;7,27;7,55;7,61;7,61;7,33;7,48;7,59;7,42;7,16;6,9
43;"en Corts";10;102;46;8,46;7,96;8,5;8,46;7,63;7,73;7,64;7,43;7,18;7,67;7,09;6,57;6,57
44;"Malilla";10;103;46;6,62;6,15;5,8;5,8;5,67;5,43;5,5;5,39;5,48;5,51;5,34;5,23;4,89
45;"Fonteta de Sant Lluís";10;104;46;8,33;7,42;7,63;7,22;6,37;6,28;6,94;7,64;7,14;7,53;8,11;7,15;7,15
46;"na Rovella";10;105;46;13,03;12;11,63;11,9;11,94;11,25;11,56;11,53;10,82;11,17;11,46;10,37;10,15
47;"la Punta";10;106;46;9,06;8,49;8,21;7,11;8,32;8,37;7,97;7,69;8,16;8,05;7,54;7,59;6,76
48;"Ciutat de les Arts i les Ciències";10;107;46;6,05;5,76;5,54;5,57;5,59;5,44;5,57;5,73;5,62;5,94;6,3;6,09;5,81
49;"el Grau";11;111;46;7,33;7;7,17;7,31;7,09;7,27;7,14;6,89;6,46;6,64;6,66;6,72;6,23
50;"el Cabanyal-el Canyamelar";11;112;46;6,57;6,71;7,1;7,35;6,92;7,03;7,12;6,95;6,95;6,46;6,01;5,77;5,49
51;"la Malva-rosa";11;113;46;6,85;6,59;6,36;6,46;6,11;6,1;5,58;5,8;5,93;5,75;5,73;5,33;5,23
52;"Beteró";11;114;46;7,1;6,71;6,65;6,67;6,66;6,87;6,73;6,36;6,12;5,87;5,68;5,37;5,51
53;"Natzaret";11;115;46;10,62;10,3;9,72;9,37;9,3;8,64;8,35;8,28;8,47;8,66;8,7;8,62;8,41
54;"Aiora";12;121;46;7,15;7,13;7,41;6,92;6,49;5,99;6,5;6,36;6,58;6,46;6,27;6,04;5,61
55;"Albors";12;122;46;7,36;7,14;7,13;6,98;7,04;6,76;6,61;6,72;6,69;7,14;7,01;6,45;6,16
56;"la Creu del Grau";12;123;46;7,16;6,88;6,56;6,99;6,24;6,34;6,4;6,46;6,52;6,08;5,9;5,84;5,9
57;"Camí Fondo";12;124;46;7,79;7,19;7,61;7,07;6,98;7,43;6,61;7,14;7,93;7,7;7,18;7,17;6,64
58;"Penya-roja";12;125;46;7,01;6,91;7,04;7,66;7,42;7,72;8,01;7,98;8,1;8,46;8,37;8,25;8,31
59;"l'Illa Perduda";13;131;46;5,93;5,36;5,3;5,18;5,1;4,91;5,1;4,92;5,12;4,91;5,23;4,86;4,62
60;"Ciutat Jardí";13;132;46;5,43;5,22;5,05;4,74;4,58;4,49;4,28;4,55;4,67;4,78;4,71;4,3;4
61;"l'Amistat";13;133;46;7,53;7,25;7,51;7,05;6,91;6,63;6,71;6,43;6,14;6,37;6,4;6,15;5,66
62;"la Bega Baixa";13;134;46;7,48;7,71;7,71;7,76;7,91;7,43;7,85;7,3;7,32;6,95;6,42;5,9;5,77
63;"la Carrasca";13;135;46;6,94;6,33;6,12;6,12;6,21;6,67;6,79;6,6;6,19;6,3;5,94;5,81;5,3
64;"Benimaclet";14;141;46;7,01;6,71;6,6;6,27;6,17;6;5,91;6,1;5,94;5,76;5,92;5,59;5,18
65;"Camí de Vera";14;142;46;5,56;4,82;4,8;4,97;4,73;4,65;4,7;4,98;4,86;4,51;4,2;4,67;4,63
66;"Orriols";15;151;46;10,93;10,59;10,66;10,38;9,15;9,28;9,61;9,34;9,26;10,12;10,47;10,4;9,55
67;"Torrefiel";15;152;46;8,94;8,33;8,6;8,32;8,13;8,32;8,35;8,15;8,35;8,34;8,61;8,55;8,04
68;"Sant Llorenç";15;153;46;6,53;6,41;6,38;6,88;6,77;6,89;7,2;7,32;7,52;7,23;7,27;7,05;6,6
69;"Benicalap";16;161;46;6,92;6,56;6,43;6,53;6,13;6,46;6,59;6,56;6,62;6,56;6,94;6,66;6,44
70;"Ciutat Fallera";16;162;46;9,79;9,43;9,13;8,66;8,55;7,92;7,6;8,26;8,78;8,82;9,18;8,53;8,14
71;"Benifaraig";17;171;46;5,56;6,13;5,83;5,52;5,13;5,17;5,43;5,88;5,11;5,3;5,9;6,47;6,37
72;"Poble Nou";17;172;46;10,4;10,16;9,01;8;7,08;7,78;8,57;8,93;9,35;9,5;9,86;11,81;10,54
73;"Carpesa";17;173;46;7,38;7,42;7,28;6,96;6,34;6,12;6,17;5,7;6,11;6,28;6,75;7,17;6,88
74;"Cases de Bàrcena";17;174;46;6,02;5,39;3,59;4,88;5,03;6,45;5,92;6,37;5,73;5,66;5,49;6,02;6,55
75;"Mauella";17;175;46;6,45;7,41;6,67;6,9;0;0;0;0;0;0;0;3,45;6,67
76;"Massarrojos";17;176;46;9,47;9,64;9,31;10,1;10,14;10,05;10,81;9,65;9,91;10,67;10,22;10,43;10,5
