"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;47;19,88;20,27;19,55;20,37;19,94;20,3;19,82;18,81;19,61;20,31;20,06;19,77;18,52
2;"la Xerea";1;12;47;21,87;21,69;21,18;21,37;22,21;22,82;22,73;22,9;23,65;24,02;23,62;23,8;23,57
3;"el Carme";1;13;47;19,1;18,9;17,65;17,91;17,87;18,04;18,84;18,81;18,45;18,38;18,47;17,93;18,46
4;"el Pilar";1;14;47;17,65;17,04;16,65;16,05;15,91;15,76;16;15,73;15,68;15,59;15,89;15,35;15,19
5;"el Mercat";1;15;47;17,8;17,35;16,6;16,98;17,19;17,73;17,75;17,27;17,21;17,33;17,31;17,57;17,08
6;"Sant Francesc";1;16;47;24,74;25,29;25,3;25,56;26,36;25,98;26,34;25,76;26,25;26,43;26,02;26,24;25,62
7;"Russafa";2;21;47;22,32;22,44;22,17;22,43;22,54;22,71;22,42;22,38;22,25;21,9;21,82;21,63;21,54
8;"el Pla del Remei";2;22;47;24,67;25,72;26,21;26,42;27,48;27,26;27,02;26,71;27,4;27,6;27,72;28,38;28,29
9;"Gran Via";2;23;47;24,02;24,66;25,45;25,88;26,45;26,6;26,48;26,46;26,31;26,25;26,7;26,7;26,92
10;"el Botànic";3;31;47;22,73;22,28;21,76;22,67;22,71;22,61;22,05;21,95;22,01;22,2;21,75;21,33;21,32
11;"la Roqueta";3;32;47;23,53;23,65;22,83;22,51;22,5;22,47;22,35;22,07;21,73;22,23;21,72;21,18;21,53
12;"la Petxina";3;33;47;23,96;24,14;23,97;24,02;24,07;24,11;24,17;24,04;23,98;23,82;23,86;24,12;24,21
13;"Arrancapins";3;34;47;23,64;23,78;23,59;24,1;24,63;25,04;25,37;25,59;25,55;25,61;25,86;26,02;25,87
14;"Campanar";4;41;47;17,15;17,79;18,33;19,35;20,93;22,02;22,64;23,47;24,52;25,03;26,02;26,85;28,17
15;"les Tendetes";4;42;47;20,27;21,31;21,74;22,16;22,7;23,09;23,1;23,33;24,04;24,88;25,27;25,55;25,58
16;"el Calvari";4;43;47;27,96;28,38;28,3;28,38;27,88;27,54;26,81;26,35;25,61;24,8;23,91;23,66;23,36
17;"Sant Pau";4;44;47;8,31;8,74;9,43;9,81;10,54;11,3;11,85;12,49;13,21;14,17;15,05;16,01;16,01
18;"Marxalenes";5;51;47;24,28;24,39;25,04;25,59;26,22;26,55;26,55;26,99;26,9;26,67;26,61;26,49;26,91
19;"Morvedre";5;52;47;23,34;23,27;23,31;23,29;23,16;23,55;23,41;23,47;23,06;23,19;23,09;22,95;22,75
20;"Trinitat";5;53;47;24,87;25,69;25,78;25,91;26,04;25,85;25,63;25,44;25,22;25,36;24,96;25,21;25,36
21;"Tormos";5;54;47;20,41;20,39;20,5;20,74;21,48;21,67;21,59;20,81;20,11;19,71;19,24;19,25;19,77
22;"Sant Antoni";5;55;47;19,29;20,17;20,32;20,56;21,37;21,43;21,19;21,84;21,78;22,59;23,35;24,14;24,34
23;"Exposició";6;61;47;20,95;21,27;22,03;22,81;23,96;24,57;24,73;25,08;24,67;25,27;25,72;25,66;26,49
24;"Mestalla";6;62;47;18,72;19,34;19,94;20,25;21,16;21,37;21,68;22,25;22,07;22,45;22,51;22,71;23,02
25;"Jaume Roig";6;63;47;22,01;22,28;22,73;23,2;24,26;25,67;26,31;26,24;26,67;26,66;26,57;26,48;26,84
26;"Ciutat Universitària";6;64;47;18,16;18,69;18,65;20,3;21,46;22,91;24,16;24,43;24,01;24,7;25,25;24,91;25,88
27;"Nou Moles";7;71;47;23,9;24,54;24,82;25,25;25,46;25,43;25,45;25,65;25,2;24,91;24,83;24,79;24,62
