"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;42;47,65;49,55;49,59;49,7;49,09;47,88;48,18;46,02;46,67;46,92;48,15;47,18;46,26
2;"la Xerea";1;12;42;40,28;41,33;40,1;38,98;39,62;40,38;40,31;40,79;41,28;41,12;42,27;42,79;43,04
3;"el Carme";1;13;42;46,78;46,63;46,75;47,43;47,68;48,19;48,63;48,74;49,19;49,27;47,78;49,24;51,06
4;"el Pilar";1;14;42;46,99;48,98;49,5;48,38;48,5;47,55;47,85;48,35;47,22;47,16;47,17;48,06;48,85
5;"el Mercat";1;15;42;48,39;50;49,63;51,33;51,85;51,09;50,54;50,31;50,11;50,17;50,87;51,96;53
6;"Sant Francesc";1;16;42;39,73;40,46;40,37;41,77;41,31;40,82;41,43;41,38;41,46;41,68;41,81;42,62;43,57
7;"Russafa";2;21;42;40,53;41,2;41,51;41,45;41,32;41,48;41,4;41,36;41,71;41,45;41,63;42,33;43,48
8;"el Pla del Remei";2;22;42;31,43;31,44;31,94;31,43;31,55;31,77;31,75;32,72;32,92;33,31;33,18;34,11;34,89
9;"Gran Via";2;23;42;34,88;34,97;35,39;35,54;35,44;35,79;35,46;35,14;35,5;35,16;35,27;36,08;36,55
10;"el Botànic";3;31;42;42,09;42,52;43,18;43,06;43,66;43,67;43,63;43,94;43,17;43,42;43,78;44,02;43,89
11;"la Roqueta";3;32;42;43,31;43,83;42,13;42,01;42,81;43,08;42,81;43,9;43,74;44,61;45,45;45,75;45,8
12;"la Petxina";3;33;42;34,3;34,77;34,62;34,27;34,98;35,23;35,82;35,38;35,56;35,73;35,39;36,15;37
13;"Arrancapins";3;34;42;34,01;34,34;34,6;35,29;35,59;35,88;36,17;35,88;35,9;36,24;36,39;37,22;38,18
14;"Campanar";4;41;42;26,59;27,01;27,26;27,04;27,7;27,74;28,55;28,86;29,11;28,6;29,02;30,03;30,97
15;"les Tendetes";4;42;42;32,43;33,55;33,41;33,48;34,06;33,6;33,96;34,31;34,77;34,19;34,2;35,79;36,73
16;"el Calvari";4;43;42;33,94;34,98;36,26;36,72;36,38;36,33;36,32;36,75;37,15;37,37;37,55;38,12;37,28
17;"Sant Pau";4;44;42;28,35;28,66;28,3;28,49;28;27,48;27,35;26,68;26,17;26,17;25,72;26,37;26,86
18;"Marxalenes";5;51;42;31,2;31,01;31,27;31,86;32,07;31,84;32,48;32,31;31,88;32,12;32,77;33,33;34,32
19;"Morvedre";5;52;42;34,94;35,03;35,16;34,92;35,31;35,17;34,44;34,62;35,1;35,17;35,68;36,34;37,43
20;"Trinitat";5;53;42;37,09;38,15;38,25;38,64;39,1;39,26;39,29;39,56;39,93;40,08;39,63;40,79;40,74
21;"Tormos";5;54;42;30,37;31,23;32,04;32,16;32,6;32,35;32,86;32,72;32,79;32,67;32,16;32,94;33,33
22;"Sant Antoni";5;55;42;29,89;31,04;31,37;31,64;31,61;31,26;31,53;31,32;31,62;31,54;32,23;32,4;33,73
23;"Exposició";6;61;42;28,95;29,64;30,82;30,3;29,56;30,45;30,23;31,91;32,31;33,17;33,38;33,9;34,1
24;"Mestalla";6;62;42;32,65;32,69;32,92;32,64;32,93;33,68;34,03;34,48;34,99;34,51;34,36;34,98;35,8
25;"Jaume Roig";6;63;42;27,29;27,29;27,36;27,6;28,3;28,92;29,77;28,98;29,92;30,02;30,37;30,54;31,29
26;"Ciutat Universitària";6;64;42;31,36;31,41;31,83;33,4;32,29;32,52;33,56;33,49;34,31;34,08;35,34;35,79;36,79
27;"Nou Moles";7;71;42;32,77;32,99;33,48;34,26;34,05;34,43;34,33;34,84;34,72;35,21;34,98;35,65;36,2
28;"Soternes";7;72;42;31,67;32,32;32,29;33,35;33,01;32,83;32,63;33,38;34,01;34,45;35,7;36,11;36,9
29;"Tres Forques";7;73;42;35,98;35,85;36,38;36,77;35,93;36,37;37,04;35,97;36,57;36,18;36,16;35,78;35,77
30;"la Fontsanta";7;74;42;30,29;31,18;30,43;30,96;31,6;31,46;31,73;31,64;29,95;29,79;31,28;31,36;31,22
31;"la Llum";7;75;42;27,9;27,7;26,98;27,29;28,22;28,32;27,62;28,16;27,14;27,42;28,07;28,56;28,2
32;"Patraix";8;81;42;31,51;32,2;32,2;32,25;32,57;32,22;32,36;32,48;32,57;32,98;33,22;33,93;35,02
33;"Sant Isidre";8;82;42;22,24;23,45;23,34;23,63;23,7;23,9;24,04;24,04;24,5;24,21;24,62;25,64;26,64
34;"Vara de Quart";8;83;42;23,87;24,79;25,05;25,22;25,58;25,28;25,59;26,06;26,46;27,06;27,76;28,58;28,97
35;"Safranar";8;84;42;22,85;23,13;23,31;24,83;25,41;25,44;25,38;25,11;25,65;25,97;26,24;26,35;27,48
36;"Favara";8;85;42;31,37;33,42;32,3;31,68;32,6;31,69;32,18;31,73;31,36;32,16;31,67;32,79;33,77
