"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;22;15,84;14,31;13,9;14,56;14,77;15,62;16,94;16,35;18,34;17,79;19,07;21,68;22,53
2;"la Xerea";1;12;22;12,52;11,63;11,49;11,54;11,41;11,69;12,01;11,79;12,34;12,59;13,14;14,65;15,24
3;"el Carme";1;13;22;13,94;13,31;13,3;13,97;13,61;13,94;15,57;15,65;16,41;16,6;18,46;21,14;22,5
4;"el Pilar";1;14;22;18,64;16,53;16,62;17,31;17,33;17,4;18,84;18,33;19,79;19,36;20,91;23,12;24,24
5;"el Mercat";1;15;22;16,43;16,03;16,18;15,57;15,1;15,24;16,15;15,84;17,19;18,18;19,62;22,18;23,97
6;"Sant Francesc";1;16;22;10,33;8,7;8,83;7,94;7,49;8,6;9,79;11,04;12,54;13,21;14,23;15,11;16,66
7;"Russafa";2;21;22;17,63;16,25;15,72;14,75;13,72;12,97;13,12;12,67;13,27;13,06;13,64;14,73;15,2
8;"el Pla del Remei";2;22;22;5,23;4,47;4,44;4,04;3,99;4,15;4,45;4,65;5,48;5,64;6,46;7,26;7,81
9;"Gran Via";2;23;22;7,37;6,64;6,49;6,61;6,33;6,18;6,56;6,61;7,25;7,34;8,14;8,88;9,21
10;"el Botànic";3;31;22;15,1;14,72;14,97;14,88;13,63;13,34;13,71;13,44;13,9;12,93;14,02;15,42;16,63
11;"la Roqueta";3;32;22;20,49;19,79;20;19,97;19,43;19,41;19,32;18,69;19,33;19,8;21,36;22,97;23,87
12;"la Petxina";3;33;22;11,21;10,43;10,46;10,41;9,93;9,81;9,81;9,17;9,29;9,08;9,79;10,19;10,59
13;"Arrancapins";3;34;22;11,34;11,09;11,07;10,66;10,02;9,44;9,61;9,54;9,95;9,85;10,32;10,54;10,91
14;"Campanar";4;41;22;10,79;10,21;9,75;9,38;8,84;8,7;8,74;8,29;8,86;8,88;9,5;10,05;10,47
15;"les Tendetes";4;42;22;20,8;19,39;18,36;18,32;16,99;16,34;16,6;15,97;17,94;18,31;19,15;20,49;21,44
16;"el Calvari";4;43;22;24,28;23,01;22,69;21,9;20,46;19,68;20,34;20,78;21,89;23,54;26,1;27,08;28,49
17;"Sant Pau";4;44;22;9,43;9,26;9,32;9,03;8,81;8,75;9,12;8,9;9,52;9,71;10,46;10,8;11,68
18;"Marxalenes";5;51;22;19,17;17,2;17,02;15,79;14,19;14,02;14,7;14,62;16,04;16,26;17,45;18,34;18,34
19;"Morvedre";5;52;22;17,56;16,32;15,82;15,85;14,34;13,27;13,45;13,12;14,11;14,02;14,69;15,36;15,46
20;"Trinitat";5;53;22;16,43;14,69;14,6;14;13,9;13,41;14,19;14,22;14,97;15,09;15,71;17,15;17,82
21;"Tormos";5;54;22;19,17;16,64;15,93;15,16;14,54;14,22;13,93;13,69;15,71;16,24;17,83;18,42;18,59
22;"Sant Antoni";5;55;22;11,93;10,9;11,01;9,97;9,78;9,82;10,07;9,57;10,73;10,21;10,56;10,99;11,37
23;"Exposició";6;61;22;5,99;5,02;5,42;5,32;5,17;5,77;6,4;6,49;7,21;6,48;7,11;8,17;8
24;"Mestalla";6;62;22;12,85;11,62;11,46;11,57;10,62;10,65;11,02;10,6;11,51;11,46;11,78;12,4;12,51
25;"Jaume Roig";6;63;22;6,35;6,24;6,26;6,19;6,42;6,23;6,34;6,32;6,63;6,38;6,7;6,97;6,64
26;"Ciutat Universitària";6;64;22;7,49;8,11;8,36;8,26;6,74;7,67;8,13;9,17;9,33;8,87;9,19;10,77;10,75
27;"Nou Moles";7;71;22;18,94;18,18;17,36;16,52;15,45;14,43;14,54;14,01;15,37;15,91;16,72;17,77;18,03
28;"Soternes";7;72;22;18,39;17,2;15,87;15,22;14,09;13,42;13,9;13,67;13,89;14,37;15,84;16,38;16,05
29;"Tres Forques";7;73;22;22,32;22,08;21,29;20,01;19,92;19,7;20,81;20,84;22,42;23,52;25,76;27,3;28,56
30;"la Fontsanta";7;74;22;22,93;22,52;23,36;22,4;21,1;20,7;20,39;20,13;21,33;20,96;22,6;24,59;25,72
31;"la Llum";7;75;22;11,13;9,94;9,37;8,86;8,62;8,37;8,78;8,71;9,11;9,51;10,76;11,68;11,25
32;"Patraix";8;81;22;13,12;11,96;11,93;11,63;11,17;10,72;10,91;10,43;11,56;11,56;12,49;12,87;13,12
33;"Sant Isidre";8;82;22;7,58;7,01;6,43;6;5,5;5,58;5,59;5,33;6,11;6,33;6,98;7,2;7,57
34;"Vara de Quart";8;83;22;8,1;7,94;7,81;7,22;7;6,73;7,2;7,31;7,68;7,83;8,73;9,68;9,69
35;"Safranar";8;84;22;6,08;6,03;5,75;5,88;5,42;5,26;5,62;5,63;5,96;6,42;6,73;6,61;6,85
36;"Favara";8;85;22;16,1;17,1;17,33;16,84;15,47;13,69;13,51;13,47;14,35;14,32;14,67;15,88;15,09
37;"la Raiosa";9;91;22;19,5;18,36;18,63;17,65;16,49;15,7;16,28;16,57;17,62;18,33;19,77;20,3;20,56
38;"l'Hort de Senabre";9;92;22;13,31;13,08;13,01;12,73;12,12;11,64;11,99;11,35;12,19;12,42;13,36;14,28;14,29
39;"la Creu Coberta";9;93;22;14,24;13,43;13,1;12,43;11,85;12,06;11,76;11,33;11,94;12,62;13,48;13,99;14,45
41;"Camí Real";9;95;22;13,51;12,35;11,9;10,58;9,55;9,18;8,88;8,56;9,23;10,39;11,26;12;12,16
42;"Mont-Olivet";10;101;22;19,69;17,9;17,62;17,62;16,42;15,75;16,06;15,71;16,32;16,69;17,49;17,81;18,26
43;"en Corts";10;102;22;20,51;19,71;19,49;19,05;18,2;17,4;18,09;17,13;17,63;17,65;18,76;19,35;19,9
44;"Malilla";10;103;22;11,3;10,17;9,56;9,04;8,35;7,94;8,06;7,83;8,3;8,39;8,67;9,14;9,18
45;"Fonteta de Sant Lluís";10;104;22;15,66;14,58;13,41;12,48;10,65;10,1;10,87;11,03;11,72;11,22;13,36;13,69;14,61
46;"na Rovella";10;105;22;14,66;13,35;13,12;12,05;11,32;10,66;11,3;11,01;12,39;13,17;15,2;15,43;16,55
47;"la Punta";10;106;22;10,15;9,57;11,39;11,32;14,1;16,54;17,93;16,55;17,21;14,48;14,05;14,84;15,35
48;"Ciutat de les Arts i les Ciències";10;107;22;14,53;12,55;11,55;10,82;10,68;11,18;11,52;12,36;13,34;13,65;15,51;16,59;16,08
49;"el Grau";11;111;22;17,55;17,37;17,14;16,55;15,53;15,29;15,73;14,96;16,28;16,12;16,98;17,77;18,7
50;"el Cabanyal-el Canyamelar";11;112;22;14,11;14,05;14,91;15,26;14,77;14,8;15,13;14,3;15,28;14,05;14,61;16,19;16,84
51;"la Malva-rosa";11;113;22;12,28;11,44;11,86;11,56;11,23;11,15;11,53;10,84;11,44;11,36;12,48;13,66;14,43
52;"Beteró";11;114;22;9,85;9,25;8,88;8,96;8,78;8,07;8,79;8,67;9,88;9,74;10,2;11,42;11,18
53;"Natzaret";11;115;22;22,85;21,5;20,27;18,64;17,01;16,12;15,86;15,3;16,58;15,89;17,56;18,84;19,27
54;"Aiora";12;121;22;17,35;16,67;16,01;15,23;14,11;13,75;14,02;13,67;14,55;14,49;15,13;16,14;16,32
55;"Albors";12;122;22;15,28;14,78;14,15;13,86;12,8;12,57;12,67;12,54;13,31;13,14;14,01;14,47;15,54
56;"la Creu del Grau";12;123;22;19,13;18,29;16,98;16,76;15,93;15,41;15,95;15,09;16,1;15,91;16,83;17,49;17,58
57;"Camí Fondo";12;124;22;19,92;18,14;18,14;17,31;16,96;17,07;18;17,51;18,13;18,27;18,98;18,53;17,79
58;"Penya-roja";12;125;22;14,34;12,8;11,59;11,47;10,41;10,46;11,58;11,28;12,04;11,93;13,33;14,15;14,28
59;"l'Illa Perduda";13;131;22;8,92;8,04;8,18;7,84;7,42;7,37;7,48;7,4;8,62;9,02;9,62;10,09;11,1
60;"Ciutat Jardí";13;132;22;13;12,28;12,08;11,37;10,53;10,6;10,83;11,17;11,86;11,48;11,84;12,89;13,18
61;"l'Amistat";13;133;22;20,41;19,01;19,3;18,22;17;16,64;16,78;16,02;16,51;16,43;17,48;18,82;19,46
62;"la Bega Baixa";13;134;22;8,58;7,77;7,57;6,99;6,77;6,67;7,23;6,84;7,21;6,28;6,95;7,41;8,52
63;"la Carrasca";13;135;22;11,15;10,49;9,58;9,55;8,57;9,76;10,7;11,72;11,54;11,97;11,56;11,88;10,68
