"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;11;66;79;80;89;88;88;95;90;105;111;97;95;104
2;"la Xerea";1;12;11;111;120;116;132;124;133;142;130;138;149;155;146;148
3;"el Carme";1;13;11;136;135;137;135;136;142;137;151;160;176;191;213;224
4;"el Pilar";1;14;11;99;93;92;94;89;101;109;102;113;125;141;131;143
5;"el Mercat";1;15;11;83;75;69;80;86;95;114;107;105;102;104;107;109
6;"Sant Francesc";1;16;11;134;145;148;148;151;160;177;194;191;216;214;204;191
7;"Russafa";2;21;11;728;711;705;734;731;742;748;757;809;848;869;882;867
8;"el Pla del Remei";2;22;11;235;250;251;265;273;271;264;279;274;274;303;297;283
9;"Gran Via";2;23;11;415;420;401;420;456;457;480;513;531;543;547;552;547
10;"el Botànic";3;31;11;177;173;196;194;190;206;203;220;232;238;238;237;248
11;"la Roqueta";3;32;11;112;108;114;125;127;122;122;125;132;132;145;149;145
12;"la Petxina";3;33;11;510;505;496;512;541;569;566;577;559;544;567;591;588
13;"Arrancapins";3;34;11;738;722;715;718;703;720;768;787;831;812;811;821;789
14;"Campanar";4;41;11;403;388;373;348;323;339;336;346;382;377;375;369;356
15;"les Tendetes";4;42;11;174;160;160;134;135;138;128;127;140;146;155;155;176
16;"el Calvari";4;43;11;130;119;121;139;121;122;126;132;141;132;145;156;144
17;"Sant Pau";4;44;11;456;476;519;543;644;680;717;812;870;964;1052;1069;1104
18;"Marxalenes";5;51;11;377;352;364;336;306;303;315;332;335;346;360;370;378
19;"Morvedre";5;52;11;330;329;300;304;307;303;312;333;336;360;360;341;324
20;"Trinitat";5;53;11;216;220;227;205;218;196;193;205;205;218;236;256;240
21;"Tormos";5;54;11;330;315;330;329;323;330;322;313;339;357;362;367;333
22;"Sant Antoni";5;55;11;364;367;347;341;352;317;340;338;359;367;388;392;375
23;"Exposició";6;61;11;283;259;247;238;231;239;238;228;226;224;232;234;272
24;"Mestalla";6;62;11;536;557;541;522;523;511;544;553;530;527;537;567;588
25;"Jaume Roig";6;63;11;236;239;256;276;285;283;276;282;282;293;317;313;300
26;"Ciutat Universitària";6;64;11;88;85;87;94;92;102;103;106;106;104;105;110;118
27;"Nou Moles";7;71;11;928;928;902;912;896;896;856;853;891;904;932;965;940
28;"Soternes";7;72;11;151;138;148;136;137;154;167;178;195;195;203;193;183
29;"Tres Forques";7;73;11;264;251;276;270;257;274;278;304;290;325;355;358;394
30;"la Fontsanta";7;74;11;106;111;110;111;129;143;153;163;162;170;169;165;158
31;"la Llum";7;75;11;212;210;201;204;200;204;198;217;215;208;224;194;177
32;"Patraix";8;81;11;868;889;917;916;924;929;950;947;966;960;966;951;908
33;"Sant Isidre";8;82;11;462;448;472;478;488;482;466;443;428;437;439;426;423
34;"Vara de Quart";8;83;11;378;388;379;376;376;378;354;323;298;294;308;313;292
35;"Safranar";8;84;11;333;331;333;361;374;414;442;429;425;446;440;474;480
36;"Favara";8;85;11;122;127;129;124;129;134;140;146;150;153;148;153;140
37;"la Raiosa";9;91;11;487;467;446;472;455;480;503;495;547;540;557;568;582
38;"l'Hort de Senabre";9;92;11;651;637;594;595;585;579;605;602;632;687;671;653;647
39;"la Creu Coberta";9;93;11;273;246;236;229;195;194;188;187;195;193;188;189;189
41;"Camí Real";9;95;11;106;98;102;115;120;120;131;129;145;165;179;203;217
