"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;40;70,55;71,11;71,73;72,67;73,29;73,6;74,56;76,61;77,49
2;"la Xerea";1;12;40;71,61;72,82;73,72;74,69;75,45;75,67;76,99;77,66;78,92
3;"el Carme";1;13;40;60,68;61,29;62,04;62,68;63,98;64,92;65,74;66,89;67,78
4;"el Pilar";1;14;40;60,89;61,41;62,01;62,72;63,44;64,52;65,76;67,65;68,51
5;"el Mercat";1;15;40;67,42;68,28;68,85;70,63;71,98;72,19;72,91;74,41;75,41
6;"Sant Francesc";1;16;40;75,92;76,39;76,46;76,93;77,76;78,05;78,44;79,3;80,28
7;"Russafa";2;21;40;61,43;62,81;63,8;65,12;66,81;68,4;69,41;70,8;72,35
8;"el Pla del Remei";2;22;40;80,57;81,32;81,36;81,43;81,78;82,19;82,38;83,19;84,19
9;"Gran Via";2;23;40;77,31;78,14;78,36;79,31;80,68;80,85;80,84;81,62;83,09
10;"el Botànic";3;31;40;61,52;62,73;63,14;64,63;65,98;67,73;68,98;70,27;72,3
11;"la Roqueta";3;32;40;57,99;59,12;59,92;61,42;62,61;63,56;65,87;66,82;68,36
12;"la Petxina";3;33;40;62,78;63,94;64,35;65,64;66,9;68,27;68,76;69,79;71,46
13;"Arrancapins";3;34;40;65;65,64;65,56;66,74;67,56;68,61;69,39;70,73;72,48
14;"Campanar";4;41;40;54,62;55,61;55,8;56,39;57,39;58,56;58,58;60,13;60,97
15;"les Tendetes";4;42;40;46,57;46,93;47,7;49,45;50,99;52,06;52,96;54,44;55,78
16;"el Calvari";4;43;40;26,99;27,96;28,33;29,46;30,04;32,33;34,68;35,67;37,63
17;"Sant Pau";4;44;40;67,87;67,82;67,98;68,43;69,09;69,75;69,49;70,61;72,06
18;"Marxalenes";5;51;40;38,43;38,58;38,81;39,81;41,11;42,71;43,23;44,75;46,11
19;"Morvedre";5;52;40;45,95;46,77;48,03;49,43;50,96;52,11;53,01;54,54;56,23
20;"Trinitat";5;53;40;53,27;54,18;54,88;56,25;57,76;58,52;59,43;59,99;61,71
21;"Tormos";5;54;40;37,26;37,35;38,63;39,34;40,37;41,77;42,64;44;45,27
22;"Sant Antoni";5;55;40;51,9;51,8;52,94;53,49;54,87;55,24;55,89;57,3;58,47
23;"Exposició";6;61;40;79,39;79,96;79,22;80,51;81,27;81,39;81,37;82,42;83,88
24;"Mestalla";6;62;40;67,11;67,13;67,29;68,45;69,75;70,67;71,1;71,95;73,65
25;"Jaume Roig";6;63;40;82,13;82,19;82,48;82,79;83,11;83,3;83,06;83,9;84,5
26;"Ciutat Universitària";6;64;40;80,99;80,77;80,29;80,92;80,88;82,2;81,56;82,26;83,25
27;"Nou Moles";7;71;40;40,25;41,05;41,21;42,2;43,39;44,71;45,81;47,3;48,95
28;"Soternes";7;72;40;36,55;36,88;37,32;38,76;39,64;41,08;42,94;44,27;45,5
29;"Tres Forques";7;73;40;26,26;26,39;26,19;27,37;28,18;29,31;30,94;32,03;32,9
30;"la Fontsanta";7;74;40;19,07;19,74;19,68;19,94;20,35;22,79;22,89;24,25;24,58
31;"la Llum";7;75;40;40,01;40,72;40,49;41,32;41,81;42,25;42,72;43,88;45,16
32;"Patraix";8;81;40;49,42;50,13;50,16;51,5;52,39;53,31;53,98;55,47;57,13
33;"Sant Isidre";8;82;40;37,86;38,51;38,81;39,54;40,13;40,63;40,77;42,86;45,28
34;"Vara de Quart";8;83;40;43,97;44,88;44,83;45,7;46,11;46,67;46,98;48,25;49,58
35;"Safranar";8;84;40;48,56;48,41;48,39;49,79;50,25;51,17;51,71;53,45;55,21
36;"Favara";8;85;40;37,95;39,21;39,67;40,59;41,36;42,4;43,24;45,02;46,6
37;"la Raiosa";9;91;40;44,89;45,86;46,06;47,15;47,78;49,04;49,62;50,79;52,18
38;"l'Hort de Senabre";9;92;40;34,02;34,84;34,94;35,71;36,34;37,32;38,16;39,65;40,57
39;"la Creu Coberta";9;93;40;39,35;39,93;39,76;40,78;41,33;42,54;43,46;44,04;44,69
41;"Camí Real";9;95;40;37,7;38,23;37,95;38,92;38,98;40,48;40,53;41,39;42,14
42;"Mont-Olivet";10;101;40;44,15;45,18;45,51;46,36;47,44;48,62;49,71;50,94;52,25
43;"en Corts";10;102;40;38,4;38,93;39,07;39,91;41,28;42,61;44,12;45,88;47,65
44;"Malilla";10;103;40;41,18;41,67;42,07;42,7;43,29;44,3;44,85;46,11;48,32
45;"Fonteta de Sant Lluís";10;104;40;24,18;24,32;24,4;24,99;25,56;27,14;27,46;29,01;31,04
46;"na Rovella";10;105;40;19,59;19,73;20,39;21,36;22,46;23,35;24,7;25,93;27,45
47;"la Punta";10;106;40;25,81;27,12;28,71;29,47;30,82;32,69;34,93;37,48;38,62
48;"Ciutat de les Arts i les Ciències";10;107;40;71,37;71,47;71,14;71,76;72,54;72,67;72,43;73,56;75,29
49;"el Grau";11;111;40;37,62;38,46;39,26;39,78;40,69;42,04;43,11;45,1;47,3
50;"el Cabanyal-el Canyamelar";11;112;40;31,59;31,59;32,35;33,62;34,97;36,59;38,53;40,46;42,91
51;"la Malva-rosa";11;113;40;28,05;28,45;29,31;30,25;31,41;32,54;33,67;35;36,23
52;"Beteró";11;114;40;42,21;42,54;42,37;43,37;44,75;45,59;45,68;47,39;49
53;"Natzaret";11;115;40;15,64;15,92;16,18;17,38;18,36;19,36;20,79;22;24,04
54;"Aiora";12;121;40;36,81;37,55;37,9;38,98;40,28;41,87;42,65;44,47;46,17
55;"Albors";12;122;40;46,31;46,98;47,41;48,41;49,8;50,65;51,96;53,92;55,79
56;"la Creu del Grau";12;123;40;35,65;36,19;36,62;38,11;39,31;40,58;41,69;43,2;44,53
57;"Camí Fondo";12;124;40;45,18;45,62;46,47;46,73;47,99;49,97;50,86;52,23;54,32
58;"Penya-roja";12;125;40;77,38;77,83;77,45;77,69;78,15;78,74;78,64;79,12;80,48
59;"l'Illa Perduda";13;131;40;39,36;39,99;40,34;41,47;42,34;42,77;43,63;44,85;46,57
60;"Ciutat Jardí";13;132;40;58,36;58,8;59,46;60,34;61,08;62;62,17;63,18;64,09
61;"l'Amistat";13;133;40;45,04;45,76;46,04;47,35;49,34;50,99;51,6;53,08;54,95
62;"la Bega Baixa";13;134;40;70,59;71,1;71,03;71,89;72,32;72,96;72,99;74,06;75,02
63;"la Carrasca";13;135;40;73,01;72,81;73,59;73,92;75,26;75,48;75,37;76,32;76,74
64;"Benimaclet";14;141;40;51,7;51,87;52,51;53,96;55,43;56,46;57,2;58,46;60,05
65;"Camí de Vera";14;142;40;51,07;51,61;51,37;52,55;53,63;54,28;55,21;56,41;57,69
66;"Orriols";15;151;40;25,43;25,99;26,84;27,95;28,94;30,51;32,35;33,32;33,98
67;"Torrefiel";15;152;40;30,1;30,51;31,07;31,97;32,72;33,43;34,45;35,76;36,88
68;"Sant Llorenç";15;153;40;68,09;67,88;67,73;68,99;69,54;69,59;69,47;70,38;72,06
69;"Benicalap";16;161;40;35,67;36,12;36,67;37,55;38,56;39,46;40,37;41,76;43,76
70;"Ciutat Fallera";16;162;40;23,85;23,8;24,06;25,1;26,16;26,69;27,99;28,6;29,88
71;"Benifaraig";17;171;40;37,48;38,16;37,62;38,14;38,25;38,12;39,1;41,62;42,67
72;"Poble Nou";17;172;40;31,22;30,86;32,21;32,79;34,3;35,61;35,86;36,52;37,87
73;"Carpesa";17;173;40;32,95;33,11;32,61;33,65;33,2;33,53;34,67;36,59;38,39
74;"Cases de Bàrcena";17;174;40;23,89;23,42;24,01;24,6;25;25,9;28,01;30,74;32,81
75;"Mauella";17;175;40;43,48;45,65;43,18;44,19;44,19;47,5;47,83;49,02;48
76;"Massarrojos";17;176;40;62,59;63,46;63,26;63,46;65,52;64,72;65,84;68,05;69,02
77;"Borbotó";17;177;40;29,48;29,47;30,92;33;32,48;33,56;33,28;34,6;37,31
78;"Benimàmet";18;181;40;28,15;28,98;29,35;30,37;31,32;32,28;33,61;34,81;35,74
79;"Beniferri";18;182;40;54,85;54,75;55,63;57,89;58,99;59,11;59,72;60,76;61,24
80;"el Forn d'Alcedo";19;191;40;22,4;23,24;23,56;24,41;25,56;26,98;29,59;30,53;31,51
81;"el Castellar-l'Oliverar";19;192;40;26,99;27,44;27,95;28,78;29,81;30,29;31,13;32,73;33,94
82;"Pinedo";19;193;40;30,17;31,4;31,27;32,31;33,18;34,07;34,7;35,76;36,3
83;"el Saler";19;194;40;58,36;58,5;58,79;59,8;59,6;61,48;63,33;64,85;66,52
84;"el Palmar";19;195;40;20,75;21,26;22,61;22,96;24,96;25,8;26,36;27,51;28,77
85;"el Perellonet";19;196;40;51,23;51,52;51,78;53,18;54,04;53,53;53,87;55,87;56,72
86;"la Torre";19;197;40;22,51;23,33;23,54;23,74;24,73;25,56;27,31;28,03;28,86
87;"Faitanar";19;198;40;46,32;45,45;44,84;45,1;46,44;48,97;50,29;51,31;51,87
