"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021"
1;"la Seu";1;11;64;38,2;45,66;45,91;46,12;51,69;58,7;61,8;67,88;56,14
2;"la Xerea";1;12;64;31,61;49,71;35,86;42,99;47,09;52,8;54,37;68,03;57,63
3;"el Carme";1;13;64;41,32;47,58;51,71;43,81;49,44;64,05;65,16;63,51;68,7
4;"el Pilar";1;14;64;50,55;47,54;48,62;48,1;50,7;59,31;65,79;66,32;65,38
5;"el Mercat";1;15;64;41,06;40,34;39,16;53,28;53,01;68,12;69,81;75,95;64,76
6;"Sant Francesc";1;16;64;32,65;48,69;41,95;48,6;52,1;54,66;60,8;47,56;52,63
7;"Russafa";2;21;64;38,36;39,88;41,98;43,4;45,76;51,63;53,04;54,64;51,49
8;"el Pla del Remei";2;22;64;19,11;22,04;22,05;26,67;42,41;35,25;40,12;41,04;41,67
9;"Gran Via";2;23;64;30,64;30,26;36,95;33,88;43,12;44,47;46,46;43,36;43,14
10;"el Botànic";3;31;64;40,66;40,66;39,84;42,69;44,06;43,91;54,84;49,74;57,14
11;"la Roqueta";3;32;64;58,95;54,11;58,04;58,2;55,59;59,44;72,19;50,57;50
12;"la Petxina";3;33;64;37,03;39,06;31,55;38,47;44,56;42,49;49,3;48,28;39,62
13;"Arrancapins";3;34;64;35,49;37,13;33,06;39,98;43,41;47,64;49,83;45,78;40,28
14;"Campanar";4;41;64;35,83;36,49;34,91;31,74;37,09;43,91;46,91;53,11;41,18
15;"les Tendetes";4;42;64;48,33;41,74;52,09;45,76;58,56;59,77;61,39;58,6;60
16;"el Calvari";4;43;64;54,7;55,35;58,33;61,41;59,09;65,54;66,28;66,43;59,26
17;"Sant Pau";4;44;64;28,02;32,51;28,95;34,4;32,52;42,51;45,14;43,36;42,41
18;"Marxalenes";5;51;64;38,79;47,63;44,44;52,55;48,93;58,91;60,76;55,63;48,28
19;"Morvedre";5;52;64;43,33;43,25;47,24;50,22;48,05;54,81;58,11;59,28;59,41
20;"Trinitat";5;53;64;47,43;37,78;48,83;45,52;46,76;51,61;54,21;63,56;41,24
21;"Tormos";5;54;64;44,37;43,4;42,01;44,5;53,32;60,53;65,24;65,73;67,78
22;"Sant Antoni";5;55;64;41,16;39,19;41,79;36,6;49,18;39,05;43,94;47,03;37,35
23;"Exposició";6;61;64;32,61;36,92;38,2;35,34;34,83;41,49;45,48;43,7;35,56
24;"Mestalla";6;62;64;36,84;40,03;39,47;36,67;44,81;49,94;49,88;46,33;41,32
25;"Jaume Roig";6;63;64;35,75;28,24;29,86;38,31;30;34,55;42,8;32,99;18
26;"Ciutat Universitària";6;64;64;20,78;37,65;48,67;51,82;45,39;52,26;50,99;56,76;36
27;"Nou Moles";7;71;64;48,54;42,75;43,89;47,1;53,02;56,59;60,73;64,05;55,29
28;"Soternes";7;72;64;36,76;40,73;47,44;43,66;43,77;47,08;53,87;50,96;48,39
29;"Tres Forques";7;73;64;57,14;59,25;60,54;60,35;60,75;68,77;72,07;77,97;77,6
30;"la Fontsanta";7;74;64;63,27;55,25;59,83;55,38;55,47;58,27;68,14;70,25;71,43
31;"la Llum";7;75;64;40,11;35,29;38,57;35,66;34,29;47,96;48,84;55,88;55,77
32;"Patraix";8;81;64;43,38;41,53;39,29;41,91;49,38;50,34;56,3;59,21;58,11
33;"Sant Isidre";8;82;64;23,02;26,12;21,6;23,61;33,54;36,7;43,71;43,8;21,01
34;"Vara de Quart";8;83;64;30,65;29,95;29,94;32,83;38,58;39,94;45,56;50,79;21,31
35;"Safranar";8;84;64;29,18;33,33;25,45;28,63;35,19;38,11;38,97;39,56;34,15
36;"Favara";8;85;64;53,12;40,26;41,29;46,11;55,17;50,57;63,73;66,67;60,87
37;"la Raiosa";9;91;64;54,6;53,96;51,49;62,85;62,5;66,8;68;72,35;62,42
38;"l'Hort de Senabre";9;92;64;47,69;46,47;53,85;49,92;50,5;61,55;61,49;63,99;53,39
39;"la Creu Coberta";9;93;64;41,28;47,71;44,59;51,29;46,69;64,29;60,17;73,74;76,6
41;"Camí Real";9;95;64;32,54;38,1;29,58;37,7;33,77;52,17;57,75;56,34;44,44
