"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;6;66,96;66,44;66,71;66,08;66,54;66,85;67,45;68,1;67,81;67,08;67,95;68,09;68,89
2;"la Xerea";1;12;6;64,61;64,45;64,75;63,79;63,42;63,44;63,03;63,01;62,51;61,8;62,73;63,35;63,55
3;"el Carme";1;13;6;68,2;68,09;68,48;68,36;67,69;67,68;67,85;67,5;68,07;68,19;68,23;69,41;69,49
4;"el Pilar";1;14;6;69,25;69,65;70,56;70,5;70,23;69,43;69,19;69,44;69,15;68,99;69,12;70,4;70,54
5;"el Mercat";1;15;6;69,68;69,92;70,42;70,37;69,68;69,24;68,95;69,24;69,5;70,07;69,84;69,98;70,44
6;"Sant Francesc";1;16;6;63,24;62,37;62,25;61,83;60,85;61,26;61,22;61,23;61,36;61,15;61,91;61,95;62,88
7;"Russafa";2;21;6;65,65;65,33;65,4;64,99;64,77;64,51;64,87;64,83;64,97;64,97;65,05;65,28;65,58
8;"el Pla del Remei";2;22;6;61,42;60,69;60,29;59,75;59,3;59,39;59,73;59,71;59,53;59,27;58,98;59,05;59,05
9;"Gran Via";2;23;6;60,99;60,51;60,3;60,1;59,38;59,49;59,48;59,34;59,59;59,59;59,53;60,05;60,44
10;"el Botànic";3;31;6;66,17;65,77;65,91;65,72;65,59;65,44;65,88;65,62;65,46;65,23;65,61;66,45;66,72
11;"la Roqueta";3;32;6;65,89;65,75;65,73;65,65;65,57;66,11;65,83;66,1;66,33;66,01;66,34;66,99;67,15
12;"la Petxina";3;33;6;62,83;62,45;62,6;62,21;62,23;62,23;62,32;62,14;62,5;63,03;63,13;63;62,72
13;"Arrancapins";3;34;6;63,93;63,53;63,29;62,78;62,43;62,26;62,21;62,23;62,02;61,76;62,01;61,84;61,91
14;"Campanar";4;41;6;70,77;69,83;68,75;67,77;66,65;65,28;64,51;63,38;62,2;61,38;60,54;59,77;59,03
15;"les Tendetes";4;42;6;69,46;68,39;67,93;67,32;66,65;65,93;65,28;64,46;64,35;63,24;62,91;62,57;62,35
16;"el Calvari";4;43;6;63,71;63,08;62,57;61,82;61,41;62,2;62,99;63,62;64,11;64,8;65,56;66,06;66,1
17;"Sant Pau";4;44;6;70,89;69,68;68,77;67,67;66,25;65,34;64,69;64,24;63,8;63,17;62,88;63,19;63,38
18;"Marxalenes";5;51;6;66,19;65,55;64,53;64,15;63,44;62,64;62,22;61,92;62,01;62,21;62,07;61,78;61,37
19;"Morvedre";5;52;6;63,47;63,41;63,41;63,12;62,74;62,44;62,5;62,3;62,69;62,62;63,08;63,54;63,85
20;"Trinitat";5;53;6;64,58;63,62;62,97;62,66;62,01;62,07;62,37;62,1;62,52;61,94;61,99;62,06;62,35
21;"Tormos";5;54;6;66,95;66,32;65,89;65,71;65,25;65,2;65,68;66,25;66,79;67,2;67,42;67,53;67,55
22;"Sant Antoni";5;55;6;67,76;67,09;66,73;66,11;65,66;65,83;65,7;65,22;65,2;64,64;64,5;64,21;64,13
23;"Exposició";6;61;6;63,39;62,73;61,9;61,12;60,64;60,17;59,81;59,7;59,2;58,66;58,27;58,56;58,11
24;"Mestalla";6;62;6;66,73;65,93;65;64,65;64,21;64,6;64,33;63,78;63,76;63,34;63,38;63,15;63,15
25;"Jaume Roig";6;63;6;62,6;61,82;60,95;60,4;59,93;59,53;59,04;58,78;58,77;58,6;58,6;58,12;57,76
26;"Ciutat Universitària";6;64;6;65,54;64,48;63,02;61,87;60,96;60,58;60,5;59,85;59,68;59,15;58,75;59,43;59,73
27;"Nou Moles";7;71;6;64,79;64,22;64,07;63,83;63,8;63,59;63,63;63,88;64,43;64,54;64,77;65,15;65,42
28;"Soternes";7;72;6;65,76;64,93;63,8;63,41;62,74;62,57;62,63;62,42;62,38;62,87;63,75;64,29;64,98
29;"Tres Forques";7;73;6;62,64;62,07;61,9;61,9;61,74;61,79;62,5;62,47;63,17;63,66;64,39;65,09;65,16
