"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;5;12,51;12,72;12,43;13,14;12,99;12,98;13;12,73;12,85;12,74;12,01;11,97;11,61
2;"la Xerea";1;12;5;12,39;12,85;12,55;12,93;12,86;12,86;13,33;12,92;13,29;13,72;13,04;12,63;12,23
3;"el Carme";1;13;5;10,93;11,44;11,68;11,72;12,08;12,07;11,82;12,03;11,76;12,06;12,11;12,05;11,79
4;"el Pilar";1;14;5;11,22;10,91;10,17;10,6;11,07;11,99;12,27;12,21;12,91;12,98;13,17;12,56;12,38
5;"el Mercat";1;15;5;10,94;10,94;10,82;10,84;11,18;11,75;12,38;12,32;12,19;12,23;12,46;12,33;11,86
6;"Sant Francesc";1;16;5;11,46;11,79;12,17;11,96;12,12;12,15;12,27;12,56;12,62;12,94;12,44;12,08;11,66
7;"Russafa";2;21;5;13,36;13,52;13,76;13,96;13,91;13,95;13,77;13,89;13,85;14,01;13,78;13,69;13,41
8;"el Pla del Remei";2;22;5;13,83;14,18;14,51;15,11;14,97;14,56;14,56;14,89;14,88;15,03;15,44;15,09;14,61
9;"Gran Via";2;23;5;15,77;15,97;16,07;15,93;16,06;15,64;15,7;15,78;15,76;15,61;15,43;14,91;14,69
10;"el Botànic";3;31;5;12,4;12,63;13,14;12,98;13,12;13,34;13,33;13,66;13,61;13,85;13,69;13,11;13,06
11;"la Roqueta";3;32;5;12,29;12,12;12,47;12,31;12,53;12,12;12,22;12,03;12,1;12,18;11,85;11,49;11,51
12;"la Petxina";3;33;5;14,65;14,78;14,75;14,91;14,81;14,69;14,7;14,75;14,41;14,12;14;13,94;13,95
13;"Arrancapins";3;34;5;13,37;13,54;13,68;13,82;13,71;13,54;13,46;13,62;13,72;13,55;13,24;13,21;13,04
14;"Campanar";4;41;5;12,36;12,29;12,64;12,55;12,36;12,45;12,53;12,62;12,69;12,77;12,87;12,72;12,49
15;"les Tendetes";4;42;5;11,34;11,08;10,76;10,63;10,61;10,62;10,57;11,14;11,25;11,46;11,29;11,31;11,3
16;"el Calvari";4;43;5;11,2;11,36;11,83;12,2;12,23;11,74;11,7;11,35;11,41;11,51;11,29;11,34;11,58
17;"Sant Pau";4;44;5;20,35;20,96;21,44;21,94;22,72;22,96;23,04;23,1;22,99;22,82;22,5;21,59;21,22
18;"Marxalenes";5;51;5;12,41;12,17;12,6;12,54;12,14;12,08;12,16;12,08;11,86;11,97;12,3;12,5;12,4
19;"Morvedre";5;52;5;13,24;13,42;12,93;13;12,91;12,76;12,91;13,04;12,94;13,07;12,5;12,33;11,93
20;"Trinitat";5;53;5;11,44;11,71;11,92;11,79;11,98;11,93;11,83;12,38;12,35;12,51;12,87;12,64;12,66
21;"Tormos";5;54;5;15,53;15,77;15,89;15,92;15,9;15,89;15,01;14,9;14,54;14,43;14,25;13,91;13,42
22;"Sant Antoni";5;55;5;14,95;14,97;14,99;15,02;14,75;14,32;14,3;14,08;14,21;13,99;13,86;13,48;13,14
23;"Exposició";6;61;5;15,78;15,77;15,6;15,87;15,27;15,23;15,05;14,89;15,27;15,27;15,47;15,49;15,93
24;"Mestalla";6;62;5;15,61;15,8;16,22;16,16;15,89;15,18;15,02;15,2;15,1;15,19;15,08;14,9;14,82
25;"Jaume Roig";6;63;5;15,92;16,31;16,59;16,76;16,67;16,34;16,28;16,41;16,28;16,39;16,47;16,52;16,51
26;"Ciutat Universitària";6;64;5;15,89;16,23;16,72;16,62;16,47;15,34;14,48;15,17;15,35;15,78;15,79;16,53;15,6
27;"Nou Moles";7;71;5;13,4;13,53;13,23;13,23;12,9;12,92;12,85;12,59;12,56;12,64;12,65;12,5;12,18
28;"Soternes";7;72;5;14,16;13,95;14,33;14,27;14,52;14,42;14,6;14,89;14,52;14,18;13,6;13,05;12,55
