"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;19;106,61;101,74;104,39;115,52;117,92;119,23;105,08;116,07;100,82;75,19;70,31;74,4;72,88
2;"la Xerea";1;12;19;93,83;100,64;89,44;103,31;106,71;100;91,88;89,44;79,43;74,46;74,85;80,26;91,91
3;"el Carme";1;13;19;147,4;157,07;147,09;130,54;106,93;96,5;84,93;83,63;82,89;84,88;87,11;89,64;83,86
4;"el Pilar";1;14;19;132,37;134,06;133,08;110,19;123,12;126,32;130,46;120,56;125,67;117,11;97,55;100,52;87,19
5;"el Mercat";1;15;19;118,97;131,19;135,14;109,92;124,77;149,04;135,59;122,66;103,55;97,92;85,89;81,25;95,62
6;"Sant Francesc";1;16;19;108,5;99,02;98,11;93,6;91,22;93,56;96,04;98,01;107,54;91,12;91,59;92,61;97,38
7;"Russafa";2;21;19;128,13;120,71;118,31;112,12;93,69;90,66;88,46;93,55;89,93;95,38;97,21;96,29;94
8;"el Pla del Remei";2;22;19;104,98;105,56;118,31;105,19;96,55;92,31;89,38;88,13;84,64;76,26;89,57;86,47;88,96
9;"Gran Via";2;23;19;90,36;95,18;94,46;99,34;90,15;87,61;82,97;85,93;85,64;87,22;86,68;93,21;96,51
10;"el Botànic";3;31;19;117,65;111,44;108,77;100,7;100,36;94,43;95,09;96,17;79,17;80,95;75;70;80,74
11;"la Roqueta";3;32;19;125,88;120,71;119,54;103,39;92,47;89,56;85,19;97,67;110,98;106,06;96,95;97,45;89,09
12;"la Petxina";3;33;19;106,98;101,22;96,78;95,15;92,29;83,4;87,35;91,04;89,73;97,69;98,12;88,72;94,2
13;"Arrancapins";3;34;19;98,35;98,15;103,72;98,07;94,72;89,82;87,41;92,33;92,2;99,45;97,61;96,7;89,64
14;"Campanar";4;41;19;114,62;113;109,47;117,98;114,54;113,67;104,78;101,71;86,45;80,31;85,52;84,22;84,36
15;"les Tendetes";4;42;19;114,21;118,71;103,98;104,52;107,14;111,31;96,17;92,42;93,81;86,89;87,96;91,35;87,63
16;"el Calvari";4;43;19;121,47;133,33;122,63;115,68;93,66;93,33;94,3;100;97,65;101,16;93,82;78,76;82,47
17;"Sant Pau";4;44;19;129,84;126,53;115,99;102,5;94,47;89,73;85,89;78,98;77,95;74,71;75,04;67,59;69,81
18;"Marxalenes";5;51;19;112,41;105,19;111,38;106,1;100,49;88,12;84,47;83,37;76,8;82,73;96,73;94,89;94,16
19;"Morvedre";5;52;19;107,16;109,89;94,85;92,54;82,17;95,71;96,51;101,48;98,31;103,8;95,9;97,2;85,28
20;"Trinitat";5;53;19;124,72;130,26;126,94;116,9;100,96;91,18;89,09;99,07;102,19;104,56;98,47;100,33;89,02
21;"Tormos";5;54;19;116,39;106,03;105,02;99,55;88,63;84,82;80,78;83,21;86,17;94,81;88,1;79,36;83,29
