"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;24;94,04;102,5;105,7;94,91;91,82;88,14;89,66;86,59;94,52;82,31;87,87;82,09;79,23
2;"la Xerea";1;12;24;128,3;137,77;127,55;136,32;135,83;123,27;115,74;101,76;99,17;93,7;86,07;88,31;93,27
3;"el Carme";1;13;24;119,49;118,64;110,73;114,15;106,37;114,76;109,01;109;107,34;111,87;114,46;117,66;122,42
4;"el Pilar";1;14;24;96,46;84,88;83,08;89,8;90,12;87,89;85,93;91,14;89,84;87,24;86,78;86,59;87,46
5;"el Mercat";1;15;24;122,53;116,93;102,51;93,5;97,7;93,41;95,9;93,43;85,54;86,99;98,6;107,42;102,01
6;"Sant Francesc";1;16;24;88,81;81,03;90,32;79,31;78,9;88,8;88,89;84,36;82,81;84,37;86,81;86,43;85,35
7;"Russafa";2;21;24;116,28;109,57;108,29;109,75;110,34;117,89;112,75;109,78;104,2;102,28;98,23;99,04;96,14
8;"el Pla del Remei";2;22;24;75,49;67,78;70,62;65,06;60,95;63,58;68,51;75,27;81,6;79,55;84;86,23;90,28
9;"Gran Via";2;23;24;79,47;83,64;90,05;88,54;90,39;95,07;90,27;88,81;92,43;89,98;95,56;93,97;98,73
10;"el Botànic";3;31;24;139,62;140,49;137,74;136,43;132,72;132;131,96;128,46;112,61;108,27;113,82;118,63;109,14
11;"la Roqueta";3;32;24;111,54;109,52;111,43;115,23;115,44;105,53;118,27;119,41;113,65;103,94;95,32;95,51;101,3
12;"la Petxina";3;33;24;94,6;97,88;93,89;91,37;87,3;90,08;90,94;90,47;93,64;88,93;89,6;91,96;87,86
13;"Arrancapins";3;34;24;93,98;89,98;89,18;85,22;85,08;85,26;93,74;92,35;95,13;92,36;89,55;88,73;93,45
14;"Campanar";4;41;24;91,07;92,08;89,62;87,31;84,49;86,85;86,63;82,89;83,24;83,27;81,65;84,42;86,24
15;"les Tendetes";4;42;24;103,97;96,67;94,31;87,96;92,41;92,53;97,25;95,53;87,67;87,52;86,19;87,5;86,84
16;"el Calvari";4;43;24;125,66;126,78;126,52;118,6;122,82;129,68;120,54;115,07;114,31;106,31;104,56;107,87;100,28
17;"Sant Pau";4;44;24;101,12;103,94;100,15;97,77;94,16;94,4;93,21;90,25;90,78;87,79;89,59;88,24;89,61
18;"Marxalenes";5;51;24;110,99;104,98;106,97;101,78;94,66;94,71;94,22;93,36;92,56;91,57;88,45;86,62;86,12
19;"Morvedre";5;52;24;101,61;102,93;101,21;98,69;104,29;102,37;99;93,95;93,09;91,07;89,38;89,37;87,01
20;"Trinitat";5;53;24;95,51;98,33;101,04;88,72;94,44;96,99;92,56;86,98;90,69;92,17;90,43;89,99;89,93
21;"Tormos";5;54;24;128,31;122,17;125,32;120,27;118,94;120,15;123,85;119,25;117,22;109,42;107,88;114,54;108,43
22;"Sant Antoni";5;55;24;109,77;110,33;111,99;98,19;107,19;114,41;106,77;112,33;108,09;112,98;109,88;108,56;100,18
23;"Exposició";6;61;24;86,64;71,43;87,96;81,03;84,78;89,16;87,28;89,13;91,02;90,39;100,84;98,56;89,12
24;"Mestalla";6;62;24;100,73;103,92;107,32;107,47;104,32;102,23;102,41;95,07;93,06;92,43;92,37;92,61;87,19
25;"Jaume Roig";6;63;24;71,37;75,53;77,78;74,47;70,61;81,36;78,07;86,3;81,43;72,8;74,19;79,92;95,37
26;"Ciutat Universitària";6;64;24;74,36;61,59;69,63;71,76;79,8;80,91;70,73;84,09;79,29;85,27;90,08;90,51;99,32
27;"Nou Moles";7;71;24;113,94;111,22;109,61;107,26;105,86;107,38;109,31;112,72;106,72;97,66;100,05;97,05;96,6
28;"Soternes";7;72;24;120,65;130,5;122,82;116,67;110,64;114,75;104,42;104,46;98,84;104,34;110,16;102,02;100,52
29;"Tres Forques";7;73;24;121,69;118,16;127,11;131,46;128,74;139,42;143,67;139,19;136,3;129,33;128,19;130,45;126,06
30;"la Fontsanta";7;74;24;126,4;141,59;157,78;171,24;168,95;156,29;160,36;156,52;158,02;138,96;138,87;124,87;127,36
31;"la Llum";7;75;24;80,06;84,48;85,94;85,25;81,67;82,76;90,13;95,56;86,23;87,16;91,32;92,53;85,81
32;"Patraix";8;81;24;100,96;97,77;103,11;101,46;104,15;106,85;106,7;100,55;96,23;90,17;94,39;96,32;95,46
33;"Sant Isidre";8;82;24;117,48;105,31;102,87;95,72;92,17;99,64;99,28;97,38;94,55;91,21;98,01;99,16;103,69
34;"Vara de Quart";8;83;24;99,77;99,52;95,66;93,77;81,41;81,51;85,15;83,61;83,07;85,65;89,96;94,75;87,57
35;"Safranar";8;84;24;109,73;104,21;112,18;105,88;108,55;105,6;102,37;85,92;95,36;96,33;102,27;108,03;102,48
36;"Favara";8;85;24;144,54;162,45;149,4;157,2;134,47;141,79;128,77;122,37;128,7;128,51;132,48;125,48;111,2
37;"la Raiosa";9;91;24;129,94;124,88;120,94;117,04;120,51;126,79;129,12;126,62;124,67;119,47;119,51;116,3;116,6
38;"l'Hort de Senabre";9;92;24;131,75;125,82;133,99;130,98;134,8;143,15;130,67;134,75;128,4;119,81;115,57;115,38;112,43
39;"la Creu Coberta";9;93;24;126,43;127,96;139,65;143,81;135,92;131,25;130,87;130,23;126,85;110,57;113,47;110,45;98,85
41;"Camí Real";9;95;24;154,46;147,59;133,68;113,59;112,05;114,74;112,99;105,84;107,14;86,45;100,92;100;90,2
42;"Mont-Olivet";10;101;24;109,27;105,99;101,57;100,76;101,46;100,59;101,73;98,51;99,44;96,13;92,43;96,55;96,03
43;"en Corts";10;102;24;120,96;120,67;118,51;118,98;122,83;117,25;115,75;119,66;113,57;106,08;104,78;100,77;98,1
44;"Malilla";10;103;24;105,7;103,32;103,64;98,21;99,56;100,35;101,37;105,48;107,95;105,82;100,53;99,51;96,45
45;"Fonteta de Sant Lluís";10;104;24;135,58;130,73;121,74;132,48;119,71;108,03;114,79;120,69;126,97;138,13;132,76;130,34;119,8
46;"na Rovella";10;105;24;120,07;118,98;126,83;112,58;120,72;127,96;121,43;118,89;109,89;107,04;104,48;103,97;101,62
47;"la Punta";10;106;24;90,99;114,43;103,12;126,96;114,29;128,65;121,7;121,54;113,62;103,78;101,06;96,63;98,6
48;"Ciutat de les Arts i les Ciències";10;107;24;96,03;87,18;96,21;86,55;91,74;98,34;98,18;90,25;94,73;92,4;89,2;90,24;93,73
49;"el Grau";11;111;24;133,06;124,5;122,66;120,87;117,4;116,05;118,89;109,13;110,64;102;104,11;104,52;105,79
50;"el Cabanyal-el Canyamelar";11;112;24;111,6;117,43;120,47;118,38;113,78;117,45;115,58;116,19;111,77;106,02;105,08;103,11;98,59
51;"la Malva-rosa";11;113;24;120,81;119,15;118,36;115,94;112,71;113,78;110,75;105,48;100,4;97,58;100,5;98,54;100,32
52;"Beteró";11;114;24;111,89;105,95;108;105,67;100,85;101,85;103,12;102,32;103,58;101,03;94,03;95,28;93,2
53;"Natzaret";11;115;24;168,26;162,91;161,46;151,06;149,29;147,34;139,85;126,05;118,91;112,98;109,36;105,15;106,15
54;"Aiora";12;121;24;127,94;128,09;130,2;127,83;123,48;119,31;119,41;116,95;114,96;109,19;106,34;104,63;103,04
55;"Albors";12;122;24;107,32;100,91;102,44;101,66;105,96;110,29;112,16;106,27;101,38;93,46;89,52;87,95;87,53
56;"la Creu del Grau";12;123;24;125,12;126,88;126,88;126,22;124,95;121,71;116,09;105,91;105,12;102,07;100,73;97,25;94,85
57;"Camí Fondo";12;124;24;118,03;105,67;111,93;118,72;109,37;123,1;125,14;122,5;117,75;116,54;114,18;109,63;106,67
58;"Penya-roja";12;125;24;112,34;104,95;102,09;106,37;100,69;103,02;100;96,72;93,93;94,61;93,28;93,28;95,62
59;"l'Illa Perduda";13;131;24;100;102,23;105,88;100;104,36;103,46;100,92;96,65;96,38;93,58;88,94;85,04;80,96
60;"Ciutat Jardí";13;132;24;103,96;99,11;103,21;100;100,79;101,9;98,47;92,78;96,28;100,3;97,61;100,13;103,17
61;"l'Amistat";13;133;24;128,24;121,01;125,12;132,01;126,79;128,84;124,54;116,79;108,85;107,1;101,78;102,88;99,85
62;"la Bega Baixa";13;134;24;95,45;95,3;94,74;97,09;102,08;95,88;98,56;102,6;78,6;75,88;83,25;91,43;100
63;"la Carrasca";13;135;24;89,47;87,24;95,24;94,12;102,76;107,36;116,67;109,69;106,06;96,3;97,51;102,48;116,56
64;"Benimaclet";14;141;24;105,87;104,18;102,68;95,56;92,13;95,52;98,91;98,92;94,38;89,81;89,41;86,78;88,17
65;"Camí de Vera";14;142;24;106,81;108,18;98,73;101,89;103,85;94,48;96,99;89,71;97,04;84,48;91,91;97,83;95,81
66;"Orriols";15;151;24;143,23;144,71;140,78;144,89;146,13;146,82;148,76;142,29;131,37;122,17;122,18;126,16;130,4
67;"Torrefiel";15;152;24;122,1;115,9;120,65;116,86;116,72;119,14;118,78;117,67;117,61;115,92;112,21;109,21;107,26
68;"Sant Llorenç";15;153;24;95,68;95,75;96,18;97,68;99,64;101,92;102,18;98,41;96,39;92,15;97,97;100,32;100
69;"Benicalap";16;161;24;117,58;114,77;113,63;110,92;106,66;110,27;107,62;109,13;105,04;101,12;98,96;101,15;101,11
70;"Ciutat Fallera";16;162;24;116,35;109,28;110,42;108,37;108,53;111,92;115,17;114,75;112,59;101,51;95,95;99,08;103,63
71;"Benifaraig";17;171;24;87,5;125;155,56;166,67;116,67;108,33;69,23;90,91;83,33;88,89;94,44;95,45;116,67
72;"Poble Nou";17;172;24;106,67;157,45;140;141,03;100;90;100;112,5;107,84;122;128,3;124,53;117,24
73;"Carpesa";17;173;24;172,41;175,86;154,17;128,57;116,13;128;110;110,34;112,9;78,38;75,61;80,95;83,33
74;"Cases de Bàrcena";17;174;24;125;136,84;85,71;85,71;117,39;119,23;170,59;170,59;108,7;160;120;112,9;131,03
75;"Mauella";17;175;24;300;300;300;400;150;100;50;33,33;33,33;0;0;0;0
