"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;4;88,35;88,73;91,1;90,51;89,96;90,23;90,61;91,27;92,36;89,5;91,28;91,76;90,66
2;"la Xerea";1;12;4;87,94;90,53;88,4;89,71;89,7;89,91;90,24;90,53;88,97;87,43;88,14;87,81;90,01
3;"el Carme";1;13;4;91,98;92,67;91,51;91,6;90,66;92,24;92,66;92,52;93,85;94,27;95;96,01;97,5
4;"el Pilar";1;14;4;93,4;90,99;91,06;93,29;92,55;90,33;90,85;90,06;90,9;90,21;89,4;88,45;88,83
5;"el Mercat";1;15;4;95,83;96,91;93,89;95,79;97,97;97,89;100,06;98,99;99;98;98,68;99,4;98,42
6;"Sant Francesc";1;16;4;83,87;83,14;84,5;83,16;83,83;84,78;83,28;81,99;82,77;83,73;83,47;84,01;84,55
7;"Russafa";2;21;4;88,43;87,03;86,88;87,15;87,21;87,44;86,5;86,41;86,52;86,67;86,75;87,09;86,9
8;"el Pla del Remei";2;22;4;80,13;78,99;80,51;81,01;81,05;81,78;82,62;83,62;84,69;84,21;84,31;84,05;84,33
9;"Gran Via";2;23;4;82,18;82,52;83,26;82,85;83,77;84,4;84,33;83,99;84,52;83,93;84,6;84,56;84,8
10;"el Botànic";3;31;4;91,49;92,75;92,76;93,62;93,53;93,53;94,03;92,82;91,78;91,22;92,19;91,92;91,95
11;"la Roqueta";3;32;4;85,98;85,37;86,28;87,8;87,1;85,44;89,32;89,24;89,57;88,76;88,93;88,69;90,01
12;"la Petxina";3;33;4;82,18;82,75;82,39;82,87;82,1;82,15;82,15;82,27;82,91;83,28;83,77;83,79;83,46
13;"Arrancapins";3;34;4;82,93;82,57;82,61;81,91;82,41;82,01;82,26;82,23;82,61;82,84;82,81;82,75;83,29
14;"Campanar";4;41;4;89,71;89,42;88,39;87,74;87,34;87,68;86,29;85,88;85,37;86,14;85,52;85,94;85,62
15;"les Tendetes";4;42;4;87,75;85,59;86,4;86,22;87,03;86,56;88,08;87,3;86,1;86,81;86,6;86,58;87,11
16;"el Calvari";4;43;4;93,2;92,26;93,53;92,82;92,45;93,78;92,62;90,33;90,57;90,67;89,18;88,2;86,08
17;"Sant Pau";4;44;4;96,75;96,94;96,02;96,12;95;95,68;95,37;94,62;95,18;94,98;95,05;94,31;94,26
18;"Marxalenes";5;51;4;86,05;84,72;85,65;85,22;84,23;83,39;82,96;83,35;83,6;83,51;82,91;83,47;83,25
19;"Morvedre";5;52;4;85,81;85,48;85,31;85,5;86,21;86,14;85,7;84,93;85,28;85,72;84,25;83,73;84,79
20;"Trinitat";5;53;4;84,19;84,23;84,06;82,9;83,6;83,45;83,61;82,91;83,32;83,56;83,08;83,68;84,26
21;"Tormos";5;54;4;98,06;94,84;94,46;93,08;91,93;92,48;93,92;93,59;94,11;92,33;92,63;93,94;92,38
22;"Sant Antoni";5;55;4;91,12;90,59;90,09;88,68;89,5;90,45;90,43;90,18;89,51;89,74;89,36;89;88,37
23;"Exposició";6;61;4;86,46;84,17;84,2;84,74;85,72;86,06;84,62;84,42;84,43;83,08;83,26;83,11;82,83
24;"Mestalla";6;62;4;87,65;87,4;87,42;87,78;86,71;86,23;86,84;86,06;86,86;87,58;87,23;86,99;86,41
25;"Jaume Roig";6;63;4;84,86;85,53;84,87;83,81;84,24;84,07;83,23;85,05;84,6;83,15;83,73;84,08;84
26;"Ciutat Universitària";6;64;4;82,89;81,99;83,7;82,27;83,66;82,88;82,34;83,39;82,19;80,13;82,74;83,04;85,16
27;"Nou Moles";7;71;4;89,87;88,67;87,95;87,47;87,36;87,62;87,7;87,81;88,45;87,28;87,7;86,65;87,35
28;"Soternes";7;72;4;93,05;93,23;92,21;91,46;90,59;90,89;89,04;89,23;88,07;89,27;91,18;91,06;89,74
29;"Tres Forques";7;73;4;92,87;91,85;93,3;93,22;92,09;93,91;94,64;94,19;95,14;94,04;94,2;94,18;93,83
30;"la Fontsanta";7;74;4;95,56;98,2;102,53;103,43;102,58;100,28;102,89;101,6;102,28;99,26;99,22;98,17;97,99
31;"la Llum";7;75;4;93,91;94,15;93,01;92,27;92,21;92,04;93,11;92,68;91,58;91,23;91,3;90,72;89,98
