"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021"
1;"la Seu";1;11;67;53;50;86;146;181;62;130;58;12
2;"la Xerea";1;12;67;48;37;54;91;81;123;139;45;38
3;"el Carme";1;13;67;18;145;90;199;140;231;248;90;26
4;"el Pilar";1;14;67;86;89;138;84;180;195;159;29;51
5;"el Mercat";1;15;67;84;77;134;106;136;137;177;38;68
6;"Sant Francesc";1;16;67;39;126;147;146;234;209;197;19;54
7;"Russafa";2;21;67;156;278;399;408;384;555;551;134;39
8;"el Pla del Remei";2;22;67;41;64;113;166;84;101;159;-29;-6
9;"Gran Via";2;23;67;55;78;177;196;193;179;167;18;30
10;"el Botànic";3;31;67;70;79;116;171;159;136;168;36;-18
11;"la Roqueta";3;32;67;93;97;167;120;132;163;186;63;18
12;"la Petxina";3;33;67;91;181;147;161;168;215;215;-28;14
13;"Arrancapins";3;34;67;105;204;181;409;355;424;431;90;37
14;"Campanar";4;41;67;58;57;183;148;116;84;123;-4;15
15;"les Tendetes";4;42;67;54;76;68;144;140;153;154;34;38
16;"el Calvari";4;43;67;54;35;33;92;101;156;197;23;26
17;"Sant Pau";4;44;67;222;240;197;282;164;230;311;-22;20
18;"Marxalenes";5;51;67;-14;103;94;198;218;202;313;64;-34
19;"Morvedre";5;52;67;28;140;293;103;184;209;277;-9;23
20;"Trinitat";5;53;67;59;105;159;172;201;78;163;33;13
21;"Tormos";5;54;67;14;45;43;153;178;197;207;-75;13
22;"Sant Antoni";5;55;67;41;64;76;93;215;87;133;-14;-17
23;"Exposició";6;61;67;74;128;103;101;86;38;102;21;-8
24;"Mestalla";6;62;67;172;102;190;267;291;247;359;-11;-22
25;"Jaume Roig";6;63;67;33;-4;61;98;78;63;56;-26;13
26;"Ciutat Universitària";6;64;67;13;17;38;74;75;77;78;26;2
27;"Nou Moles";7;71;67;202;231;281;361;525;346;492;2;-50
28;"Soternes";7;72;67;23;45;104;44;5;42;118;-16;-7
29;"Tres Forques";7;73;67;136;106;85;300;197;280;377;77;25
30;"la Fontsanta";7;74;67;18;55;-15;81;81;74;108;16;8
31;"la Llum";7;75;67;-5;6;19;61;-20;37;113;-9;-8
32;"Patraix";8;81;67;114;115;187;365;385;271;414;-20;-19
33;"Sant Isidre";8;82;67;-64;0;15;55;66;27;2;-62;50
34;"Vara de Quart";8;83;67;53;63;45;141;12;43;35;-6;-17
35;"Safranar";8;84;67;18;13;45;44;30;89;62;-58;-10
36;"Favara";8;85;67;49;24;56;49;69;19;80;18;-24
37;"la Raiosa";9;91;67;130;176;303;370;339;455;488;33;-31
38;"l'Hort de Senabre";9;92;67;84;127;116;171;308;126;253;40;-18
39;"la Creu Coberta";9;93;67;43;-8;48;80;77;58;53;-45;-7
41;"Camí Real";9;95;67;9;-14;26;-6;45;50;36;-42;-7
42;"Mont-Olivet";10;101;67;83;192;273;356;305;374;400;9;8
43;"en Corts";10;102;67;95;88;199;164;227;340;280;-13;6
44;"Malilla";10;103;67;39;50;91;176;104;159;113;-13;-30
45;"Fonteta de Sant Lluís";10;104;67;-6;-2;11;71;37;20;70;-10;-16
46;"na Rovella";10;105;67;61;39;37;66;86;84;111;-36;-16
