"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;70;-28;-12;78;59;120;-84;-5;12;-2;-23
2;"la Xerea";1;12;70;-26;-4;20;7;7;20;60;-10;20;-19
3;"el Carme";1;13;70;-56;42;-68;-7;-10;-24;165;6;9;-36
4;"el Pilar";1;14;70;38;107;80;-41;135;-94;46;-55;49;5
5;"el Mercat";1;15;70;-13;51;87;-26;55;-23;51;-11;49;47
6;"Sant Francesc";1;16;70;-27;90;81;71;158;27;52;-23;43;-41
7;"Russafa";2;21;70;-317;-139;65;-47;-17;-93;48;-53;-53;-89
8;"el Pla del Remei";2;22;70;39;-1;49;141;19;-23;120;-59;-13;-3
9;"Gran Via";2;23;70;-101;-57;108;126;186;-38;51;-42;36;-18
10;"el Botànic";3;31;70;-129;4;45;61;46;-57;-2;-15;-13;1
11;"la Roqueta";3;32;70;-4;31;43;-37;45;-7;38;39;-6;17
12;"la Petxina";3;33;70;-118;45;7;-8;52;-33;39;-82;-17;64
13;"Arrancapins";3;34;70;-369;-153;-1;196;169;-63;186;-102;-57;53
14;"Campanar";4;41;70;-68;-105;69;-50;10;-9;-20;-14;-10;1
15;"les Tendetes";4;42;70;-52;-15;-13;10;56;-5;27;-41;20;-16
16;"el Calvari";4;43;70;-108;-74;13;-70;48;78;130;-28;46;-61
17;"Sant Pau";4;44;70;384;387;428;339;286;104;272;-67;5;51
18;"Marxalenes";5;51;70;-218;-39;24;41;102;-18;218;-16;-61;5
19;"Morvedre";5;52;70;-173;-18;120;-129;62;-83;-19;-60;-29;-58
20;"Trinitat";5;53;70;-66;0;44;44;62;-132;47;-17;15;-2
21;"Tormos";5;54;70;-81;-53;-95;143;183;-43;107;-131;-15;-23
22;"Sant Antoni";5;55;70;-122;-20;20;10;117;-20;55;-51;-48;23
23;"Exposició";6;61;70;-48;79;14;27;91;-54;-8;-28;-28;-18
24;"Mestalla";6;62;70;-168;-209;-18;97;199;-102;124;-66;-40;-32
25;"Jaume Roig";6;63;70;-92;-113;-1;61;27;-15;-19;-35;-5;5
26;"Ciutat Universitària";6;64;70;-77;-43;-12;68;41;3;16;71;-13;4
27;"Nou Moles";7;71;70;-130;-28;109;-68;323;-158;259;-155;-142;54
28;"Soternes";7;72;70;-25;-36;110;40;-69;-31;41;-27;-9;-18
29;"Tres Forques";7;73;70;-89;-23;-25;127;72;139;295;3;-57;-64
30;"la Fontsanta";7;74;70;-86;11;-27;2;30;-29;50;-13;-35;8
31;"la Llum";7;75;70;-29;10;-28;12;-1;6;66;-40;-42;-22
32;"Patraix";8;81;70;-182;-111;72;-20;222;-178;114;-268;-110;-82
33;"Sant Isidre";8;82;70;-77;45;46;-16;55;25;-6;-101;88;-33
34;"Vara de Quart";8;83;70;-1;43;30;45;-9;-4;-5;-49;-36;-36
35;"Safranar";8;84;70;88;74;33;38;42;-1;110;75;11;87
36;"Favara";8;85;70;-36;-12;41;23;55;-28;72;-7;-55;-5
37;"la Raiosa";9;91;70;-77;15;226;44;86;-3;209;-139;-142;-16
38;"l'Hort de Senabre";9;92;70;-58;-55;42;-90;198;-161;42;-79;-65;-69
39;"la Creu Coberta";9;93;70;-17;-15;-25;27;38;3;-46;-63;-22;7
41;"Camí Real";9;95;70;-17;-37;51;12;65;71;22;-47;-31;2
42;"Mont-Olivet";10;101;70;-148;21;182;-5;60;-158;45;-191;-34;-3
43;"en Corts";10;102;70;-81;-24;37;-111;55;63;-7;-83;13;-98
44;"Malilla";10;103;70;-70;-90;104;61;62;-137;8;-51;-38;183
45;"Fonteta de Sant Lluís";10;104;70;-88;-7;-12;91;41;8;82;-47;7;21
46;"na Rovella";10;105;70;-15;-130;7;-68;-10;-57;-6;-140;-65;-114
47;"la Punta";10;106;70;146;109;67;-6;35;-42;85;39;-9;62
48;"Ciutat de les Arts i les Ciències";10;107;70;189;312;226;171;136;132;406;85;15;52
49;"el Grau";11;111;70;-19;22;-11;-163;160;-76;-45;-6;-22;7
50;"el Cabanyal-el Canyamelar";11;112;70;-265;-27;-43;-325;-24;-633;-121;-205;-20;-113
51;"la Malva-rosa";11;113;70;-123;-63;-66;-281;46;-232;-11;-106;-28;-15
52;"Beteró";11;114;70;9;-3;35;-80;11;-47;-40;1;-28;-16
53;"Natzaret";11;115;70;-168;-95;-24;-70;122;-82;125;-2;-23;-7
54;"Aiora";12;121;70;-328;-62;68;7;104;-208;-16;-129;-118;-129
55;"Albors";12;122;70;-98;-18;54;-17;104;33;5;-132;-38;5
56;"la Creu del Grau";12;123;70;-126;17;63;-132;178;-245;119;-67;-47;-10
57;"Camí Fondo";12;124;70;-30;-11;8;103;31;-12;31;-66;20;-3
58;"Penya-roja";12;125;70;205;378;405;252;234;-51;316;132;49;-4
59;"l'Illa Perduda";13;131;70;-14;-52;-17;-44;104;-121;9;-116;-28;-35
60;"Ciutat Jardí";13;132;70;-239;-17;-67;17;52;-184;81;-67;14;-102
61;"l'Amistat";13;133;70;-117;-23;11;-76;-25;-56;34;-33;-17;-41
62;"la Bega Baixa";13;134;70;-69;-31;24;-10;-12;-103;-60;-68;-18;-16
63;"la Carrasca";13;135;70;-16;32;60;-17;33;3;-108;9;-17;-18
64;"Benimaclet";14;141;70;-80;-55;252;-64;-8;-312;-29;-141;-64;-47
65;"Camí de Vera";14;142;70;5;15;-17;14;43;-32;10;-45;-3;-4
66;"Orriols";15;151;70;-465;-137;159;-74;287;126;399;-63;-60;76
67;"Torrefiel";15;152;70;-267;110;225;81;304;-73;182;-113;-160;-46
68;"Sant Llorenç";15;153;70;193;243;176;18;165;8;94;-12;-58;123
69;"Benicalap";16;161;70;-103;398;506;295;622;398;637;-155;33;-74
70;"Ciutat Fallera";16;162;70;-62;-103;35;-88;114;-47;90;-22;-34;-21
71;"Benifaraig";17;171;70;-22;5;3;9;0;1;-24;-13;-2;-1
72;"Poble Nou";17;172;70;-17;-11;16;-2;25;20;6;-8;11;10
73;"Carpesa";17;173;70;-16;-2;4;-12;-15;-17;-1;-11;19;-4
74;"Cases de Bàrcena";17;174;70;-1;4;-20;11;-10;0;10;11;2;4
75;"Mauella";17;175;70;-4;0;-5;0;1;-3;5;1;-1;0
76;"Massarrojos";17;176;70;62;41;35;6;24;10;21;8;45;16
77;"Borbotó";17;177;70;-11;-16;20;1;-8;3;8;20;-9;-9
78;"Benimàmet";18;181;70;-126;-76;-4;11;61;247;206;-103;-21;-35
79;"Beniferri";18;182;70;-8;26;31;18;42;43;-8;-9;-5;-13
80;"el Forn d'Alcedo";19;191;70;-31;-12;-19;-3;19;16;25;-5;-15;21
81;"el Castellar-l'Oliverar";19;192;70;-133;-12;14;-54;-10;-21;13;-27;18;-15
82;"Pinedo";19;193;70;-61;10;26;-71;21;5;15;-14;-4;7
83;"el Saler";19;194;70;-29;-16;-6;35;60;41;43;35;10;11
