"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;94;14,41;14,76;14,77;14,8;14,71
2;"la Xerea";1;12;94;26,21;26,36;25,12;25,07;24,99
3;"el Carme";1;13;94;7,42;7,75;7,63;7,62;7,78
4;"el Pilar";1;14;94;17,42;17,6;17,48;17,43;17,35
5;"el Mercat";1;15;94;10,27;10,27;10,25;10,45;10,33
6;"Sant Francesc";1;16;94;35,3;36,5;36,5;36,46;36,46
7;"Russafa";2;21;94;13,08;14,3;14,29;14,28;14,02
8;"el Pla del Remei";2;22;94;39,4;39,63;39,59;39,76;39,77
9;"Gran Via";2;23;94;18,99;18,95;18,96;19,09;19,11
10;"el Botànic";3;31;94;13,99;12,93;12,94;14,03;13
11;"la Roqueta";3;32;94;19,69;19,97;19,97;19,61;19,65
12;"la Petxina";3;33;94;14,08;14,13;14,11;14,11;14,3
13;"Arrancapins";3;34;94;20,09;20,41;20,44;19,99;20,15
14;"Campanar";4;41;94;37,98;39,3;39,28;42,52;42,52
15;"les Tendetes";4;42;94;14,88;13,33;13,33;11,66;12,09
16;"el Calvari";4;43;94;5,9;5,89;5,89;5,89;5,89
17;"Sant Pau";4;44;94;36,51;38,27;38,27;38,21;37,56
18;"Marxalenes";5;51;94;10,02;10,17;10,29;10,33;10,45
19;"Morvedre";5;52;94;11;11,15;11,17;11,17;11,16
20;"Trinitat";5;53;94;13,46;13,46;13,46;13,45;13,44
21;"Tormos";5;54;94;11,45;11,56;11,53;11,53;11,53
22;"Sant Antoni";5;55;94;15,99;16,02;16,02;16,01;15,92
23;"Exposició";6;61;94;28,31;28,45;29,32;29,44;29,4
24;"Mestalla";6;62;94;25,21;25,23;25,18;25,19;25,12
25;"Jaume Roig";6;63;94;23,76;23,76;23,76;23,76;23,76
26;"Ciutat Universitària";6;64;94;23,53;23,12;23,12;23,12;23,09
27;"Nou Moles";7;71;94;13,84;13,99;14;14;14,01
28;"Soternes";7;72;94;8,38;8,38;8,3;8,3;8,29
29;"Tres Forques";7;73;94;7,48;7,48;7,48;7,48;7,48
30;"la Fontsanta";7;74;94;13,07;13,07;13,07;13,07;13,16
31;"la Llum";7;75;94;14,37;14,47;14,47;14,47;14,47
32;"Patraix";8;81;94;14,38;14,38;14,38;14,53;14,6
33;"Sant Isidre";8;82;94;15,24;15,04;15,08;14,98;14,91
34;"Vara de Quart";8;83;94;17,06;15,8;15,88;15,88;15,86
35;"Safranar";8;84;94;14,93;14,9;15;15,08;15
36;"Favara";8;85;94;13,12;13,12;13,12;13,1;12,99
37;"la Raiosa";9;91;94;13,44;13,53;13,59;13,58;13,9
38;"l'Hort de Senabre";9;92;94;10,57;10,48;10,48;10,48;10,41
39;"la Creu Coberta";9;93;94;18,48;18,54;18,54;18,56;18,56
