"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021"
1;"la Seu";1;11;95;13,38;13,37;13,1;13,17
2;"la Xerea";1;12;95;30,83;30,14;30,64;30,57
3;"el Carme";1;13;95;13,38;14,03;13,68;13,43
4;"el Pilar";1;14;95;31;30,58;30,41;29,27
5;"el Mercat";1;15;95;20,09;20,35;20,36;20,63
6;"Sant Francesc";1;16;95;40;41,57;41,7;41,56
7;"Russafa";2;21;95;19,43;20,95;20,97;21,1
8;"el Pla del Remei";2;22;95;36,98;37,36;38,14;38,28
9;"Gran Via";2;23;95;22,47;22,53;22,61;22,9
10;"el Botànic";3;31;95;21,86;19,77;19,88;21,55
11;"la Roqueta";3;32;95;31,38;31,56;31,24;30,84
12;"la Petxina";3;33;95;17,65;17,76;17,68;17,47
13;"Arrancapins";3;34;95;24,74;25,16;25,45;24,89
14;"Campanar";4;41;95;35,1;36,01;36,55;40,07
15;"les Tendetes";4;42;95;17,73;15,77;15,81;13,81
16;"el Calvari";4;43;95;8,78;8,73;8,49;8,47
17;"Sant Pau";4;44;95;40,1;40,46;39,59;39,15
18;"Marxalenes";5;51;95;12,1;12,14;12,27;12,37
19;"Morvedre";5;52;95;14,92;14,87;15,29;15,16
20;"Trinitat";5;53;95;19,24;19,35;19,81;19,93
21;"Tormos";5;54;95;13,47;13,42;13,28;13,08
22;"Sant Antoni";5;55;95;17,39;17,27;17,27;17,1
23;"Exposició";6;61;95;27,33;27,89;29,06;29,64
24;"Mestalla";6;62;95;27,09;27,49;27,72;27,36
25;"Jaume Roig";6;63;95;20,87;21,1;21,41;21,54
26;"Ciutat Universitària";6;64;95;25,71;25,74;26,43;26,91
27;"Nou Moles";7;71;95;17,3;17,43;17,6;17,56
28;"Soternes";7;72;95;7,93;8,4;7,92;8,72
29;"Tres Forques";7;73;95;10,11;10,09;9,99;9,96
30;"la Fontsanta";7;74;95;15,49;15,21;15,2;14,81
31;"la Llum";7;75;95;14,47;14,69;14,44;14,33
32;"Patraix";8;81;95;16,35;16,28;16,16;16,28
33;"Sant Isidre";8;82;95;14,16;13,84;13,78;13,91
34;"Vara de Quart";8;83;95;12,72;11,84;11,65;11,71
35;"Safranar";8;84;95;14,19;14,3;14,55;14,93
36;"Favara";8;85;95;14,93;14,71;14,47;14,18
37;"la Raiosa";9;91;95;17,39;17,45;16,95;16,89
38;"l'Hort de Senabre";9;92;95;11,02;10,81;10,83;10,77
39;"la Creu Coberta";9;93;95;18,57;18,65;18,67;18,68
41;"Camí Real";9;95;95;20,33;20,05;19,84;19,55
42;"Mont-Olivet";10;101;95;11,55;11,71;11,74;11,75
43;"en Corts";10;102;95;11,66;11,65;11,62;11,87
44;"Malilla";10;103;95;14,84;14,73;14,69;17,27
45;"Fonteta de Sant Lluís";10;104;95;6,39;7,8;7,68;7,6
46;"na Rovella";10;105;95;4,03;4,37;4,4;4,36
47;"la Punta";10;106;95;30,19;23,68;23,92;23,24
48;"Ciutat de les Arts i les Ciències";10;107;95;60,55;54;53,26;51,6
49;"el Grau";11;111;95;14,31;13,8;13,84;14,07
50;"el Cabanyal-el Canyamelar";11;112;95;7,21;7,34;7,35;7,18
51;"la Malva-rosa";11;113;95;7,11;7,35;7,37;7,34
52;"Beteró";11;114;95;11,29;10,71;10,86;11,32
53;"Natzaret";11;115;95;2,7;2,71;2,63;2,61
54;"Aiora";12;121;95;12,6;12,5;12,45;12,38
55;"Albors";12;122;95;23,01;22,75;22,61;22,7
56;"la Creu del Grau";12;123;95;16,13;15,98;15,96;15,81
57;"Camí Fondo";12;124;95;10,22;10,94;10,6;10,44
58;"Penya-roja";12;125;95;73,16;71,4;71,02;69,12
59;"l'Illa Perduda";13;131;95;12,52;10,53;10,56;10,68
60;"Ciutat Jardí";13;132;95;14,22;14,01;14,13;14,28
61;"l'Amistat";13;133;95;11,4;11,05;11,16;11,06
62;"la Bega Baixa";13;134;95;22,27;22,6;22,65;22,54
63;"la Carrasca";13;135;95;57,91;72,09;71,89;70,82
64;"Benimaclet";14;141;95;15,73;15,82;16,14;15,62
65;"Camí de Vera";14;142;95;18,4;18,43;18,15;18,2
66;"Orriols";15;151;95;7,32;7,15;7,14;7,12
67;"Torrefiel";15;152;95;10,3;10,19;10,03;9,94
68;"Sant Llorenç";15;153;95;43,61;39,11;38;37,55
69;"Benicalap";16;161;95;16,62;16,2;16,13;15,98
70;"Ciutat Fallera";16;162;95;5,68;5,6;5,49;5,48
