"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;69;51,49;66,33;49,97;63,39;51,36;52,05;68,13;23,46;15,74;10,96
2;"la Xerea";1;12;69;40,22;45,58;45,24;51,26;49,14;42,58;45,97;24,23;12,88;16,94
3;"el Carme";1;13;69;53,21;52,56;59,5;58,65;54,26;53,96;48,56;25,81;13,05;15,07
4;"el Pilar";1;14;69;65,76;60,95;73,46;64,45;59,31;64,43;63,1;32,92;15,54;20,43
5;"el Mercat";1;15;69;62,4;58,7;57,26;64,36;64,94;55,45;58,92;29,47;16,13;14,83
6;"Sant Francesc";1;16;69;44,6;39,06;47,97;52,84;46,36;46,51;49,75;23,87;9,05;15,62
7;"Russafa";2;21;69;60,58;59,42;55,26;49,22;55,39;49,73;49,11;24,99;11,96;14,41
8;"el Pla del Remei";2;22;69;33,66;31,54;39,49;38,22;43,06;36,38;33,72;16,48;7,06;10,25
9;"Gran Via";2;23;69;38,83;40,09;38,47;41,59;38,11;41,34;33,36;21,12;8,54;10,32
10;"el Botànic";3;31;69;58,65;55,79;57,45;53,5;57,29;49,21;47,74;24,77;9,66;14,54
11;"la Roqueta";3;32;69;77,56;79,44;85,13;90,03;64,05;57,5;64;23;16,03;14,52
12;"la Petxina";3;33;69;54,39;50,08;51,26;50,88;46,44;44,17;43,76;19,22;10,41;11,61
13;"Arrancapins";3;34;69;61,34;52,01;51,41;48,94;48,04;51,03;46,91;21,92;10,06;11,25
14;"Campanar";4;41;69;43,04;38,79;40,85;37,4;35,51;37,76;37,12;17,21;8,83;8,87
15;"les Tendetes";4;42;69;64,92;61,38;50,19;53,47;59,42;55,34;50,51;34,5;10,06;10,95
16;"el Calvari";4;43;69;78,71;85,27;76,25;69,15;60,24;55,33;51,78;27,91;11,66;11,54
17;"Sant Pau";4;44;69;37,96;36,23;35,68;35,05;38,79;34,58;37,52;21,08;9,42;10,21
18;"Marxalenes";5;51;69;60,15;56,76;55,86;50,59;45,28;45,68;45,26;23,2;10,2;10,54
19;"Morvedre";5;52;69;61,37;54,53;55,75;48,15;47,86;48,81;51,71;17,84;9,11;9,95
20;"Trinitat";5;53;69;60,05;53,44;47,3;52,17;56,55;48,03;48,91;25,08;11,59;17,11
21;"Tormos";5;54;69;65,23;57,31;60,58;50,58;56,07;51,34;52,88;29,59;11,66;12,1
22;"Sant Antoni";5;55;69;56,98;49,54;52,56;48,89;51,78;47,77;42,41;20,7;11,79;11,13
23;"Exposició";6;61;69;46,47;43,21;44,69;49,04;40,34;38,48;46,39;18,28;11,29;12,46
24;"Mestalla";6;62;69;53,09;53,22;54,48;50,33;46,7;49,88;49,1;19,95;10,2;11,58
25;"Jaume Roig";6;63;69;49,49;44,14;41,71;39,19;45,11;41,53;39,63;17,39;11,51;9,28
26;"Ciutat Universitària";6;64;69;50,32;55;44,81;28,67;46,81;52,01;51,08;14,17;8,59;10,57
27;"Nou Moles";7;71;69;64,35;59,48;59,48;53,84;52,04;53,5;47,11;21,53;10,58;11,79
28;"Soternes";7;72;69;44,36;36,94;40,75;29,77;36,69;34,64;32,38;14,81;8,99;7,22
29;"Tres Forques";7;73;69;83,03;72,91;60,41;62,39;59,44;54,21;50,67;25,17;13,24;14,48
30;"la Fontsanta";7;74;69;74,66;62,5;64,37;49,22;52,39;60,67;46,94;24,97;12,9;11,82
31;"la Llum";7;75;69;35,24;27,45;30,65;31,1;29,7;32,46;29,28;16,87;7,29;8,39
32;"Patraix";8;81;69;54,19;48,62;46,81;49,5;47,4;44,08;43,94;20,09;10,49;13,25
33;"Sant Isidre";8;82;69;31,71;21,94;30,34;34,05;32,38;24,61;24,9;11,92;8,02;7,06
34;"Vara de Quart";8;83;69;40,28;30,86;30,56;33,92;34,36;29,58;30,27;17,74;6,86;8,5
35;"Safranar";8;84;69;33,58;27,23;30,92;31,67;25,54;36,49;30,54;14,76;6,27;11,2
36;"Favara";8;85;69;65,04;64,42;49,31;51,91;48,62;47,65;38,93;25,79;10,98;13,8
37;"la Raiosa";9;91;69;71,3;62,55;62,32;64,96;66,29;58,06;56,28;27,37;16,14;13,4
38;"l'Hort de Senabre";9;92;69;50,22;51,59;50,17;49,9;44,68;39,21;40,22;18,62;9,79;12,22
39;"la Creu Coberta";9;93;69;43,3;37,76;44,45;37,8;44,98;34,11;40,42;23,19;10,08;6,35
41;"Camí Real";9;95;69;49,19;41,72;37,58;36,22;47,08;34,15;38,38;17,36;10,91;8,87
42;"Mont-Olivet";10;101;69;71,69;65,33;68,54;60,42;59,45;58,84;52,55;24,08;10,2;11,3
43;"en Corts";10;102;69;67,02;68,24;66,1;60,45;60,29;52,82;49,81;23,5;10,61;12,89
44;"Malilla";10;103;69;39,64;37,82;36,64;34,96;38,81;36,21;30,81;14,94;8,69;7,49
45;"Fonteta de Sant Lluís";10;104;69;61,21;42,14;34,83;39,24;40,38;35,3;44,13;21,9;5,68;5,92
46;"na Rovella";10;105;69;52,02;55,84;47,27;47,45;49,35;45,38;41,74;22;9,15;8,89
47;"la Punta";10;106;69;38,71;52,76;45,95;50,84;36,92;38,12;37,78;22,76;11,97;10,47
48;"Ciutat de les Arts i les Ciències";10;107;69;47,56;44,68;45,75;49,51;48,45;50,68;41,5;21,23;11,17;11,58
49;"el Grau";11;111;69;57,72;51,68;57,44;57,86;45,48;46,58;53,27;21,6;8,38;10,95
50;"el Cabanyal-el Canyamelar";11;112;69;66,07;55,3;54,29;50,61;52,54;48,74;49,62;23,01;9,73;15
51;"la Malva-rosa";11;113;69;43,7;40,8;45,16;37,04;35,51;38,46;36,83;18,67;8,06;9,2
52;"Beteró";11;114;69;40,23;43,08;37,09;41,54;37,01;37,96;37,42;17,32;9,04;7,24
53;"Natzaret";11;115;69;64,23;61,56;56,89;51,56;52,22;41,28;51,7;17,64;12,07;13,63
54;"Aiora";12;121;69;64,07;54,51;53,69;48,67;49,57;48,12;42,65;20,1;9,88;11,85
55;"Albors";12;122;69;61,02;53,88;49,05;52,77;52,08;46,46;43,75;22,85;13,75;14
56;"la Creu del Grau";12;123;69;60,79;58,04;54,38;53,92;51,45;47,65;50,85;19,76;12,54;12,1
57;"Camí Fondo";12;124;69;70,2;62,13;59,68;50,15;64,75;57,69;55,2;21,96;10,91;8,17
58;"Penya-roja";12;125;69;42,41;39,33;43,2;43,51;44,61;41,64;54,56;22,91;10,37;10,67
59;"l'Illa Perduda";13;131;69;30,26;32,58;31,25;35,94;43,24;40,1;31,39;16,2;7,92;7,91
60;"Ciutat Jardí";13;132;69;42,27;40,71;47,89;42,5;44,08;42,42;39,25;17,88;7,52;10,7
61;"l'Amistat";13;133;69;70,62;67,08;54,07;62,39;58,8;48,87;53,03;19,67;10,96;11,12
62;"la Bega Baixa";13;134;69;33,29;26,27;29,29;35,62;33,26;42,5;38,79;20,85;7,93;8,52
63;"la Carrasca";13;135;69;32,82;32,48;33,21;31,02;38,05;44,36;44,15;12,21;6,1;10,59
64;"Benimaclet";14;141;69;52,95;53,22;52,56;47,37;52,46;43,19;42,82;20,53;8,79;11,68
65;"Camí de Vera";14;142;69;30,75;34,02;26,44;27,57;35,56;36,28;28,61;12,04;7,08;8,14
66;"Orriols";15;151;69;82,37;77,73;74,34;69,43;64,49;54,03;61,37;30,27;12,42;15,93
67;"Torrefiel";15;152;69;69,65;60,44;59,48;55,12;52,7;46,81;48,34;21,56;10,78;11,72
68;"Sant Llorenç";15;153;69;32,22;21,75;29,52;33;35,32;31,63;31,3;15,51;6,84;12,31
69;"Benicalap";16;161;69;54,15;50,27;47,93;48,28;47,15;42,99;43,45;20,91;10,15;12,28
70;"Ciutat Fallera";16;162;69;58,54;61,11;50,98;54,69;40,94;44,69;38,38;20,87;9,15;11,9
71;"Benifaraig";17;171;69;10,89;18,98;12,95;13,88;24,68;20,73;21,97;3,03;1,01;1,01
72;"Poble Nou";17;172;69;56,55;35,27;25,82;32,65;40,35;30,35;36,57;8,84;6,64;4,41
73;"Carpesa";17;173;69;14,56;15,5;17,93;24,53;20,69;30,16;16,88;7,61;5,08;5,04
74;"Cases de Bàrcena";17;174;69;24,9;41,44;22,6;11,44;28,57;40,58;20,03;0;2,8;2,75
75;"Mauella";17;175;69;0;19,23;0;21,28;21,05;0;0;0;0;0
76;"Massarrojos";17;176;69;12,63;22,06;21,67;30,1;25,24;22,08;18,99;6,24;4,12;10,81
77;"Borbotó";17;177;69;19,35;14,09;18,3;16,66;32,08;33,61;32,01;10,95;5,41;10,9
78;"Benimàmet";18;181;69;39,36;43,36;36,22;38,02;36,24;32,68;32,44;16,38;7,64;9,35
79;"Beniferri";18;182;69;21,93;27,44;29,47;33,35;24,63;46,67;30,94;18,5;16,85;9,39
80;"el Forn d'Alcedo";19;191;69;22,97;19,35;31,85;25,6;18,08;29,16;26,31;25,34;7,14;7,03
81;"el Castellar-l'Oliverar";19;192;69;35,68;29,53;29,68;24,37;29,46;28,93;25,42;11,59;5,28;5,15
82;"Pinedo";19;193;69;44,89;31,8;33,91;39,3;32,63;28,94;27,66;11,69;5,87;8,09
83;"el Saler";19;194;69;66,59;47,15;46,29;52,31;53,02;50,46;63;16,78;8,26;9,5
84;"el Palmar";19;195;69;5,3;33,27;22,38;15,71;19,6;22,27;22,34;5,21;7,8;11,8
85;"el Perellonet";19;196;69;46,08;64,81;38,15;56,4;42,98;67,32;38,07;28,53;5,45;24,19
86;"la Torre";19;197;69;49,98;43,63;35,56;40;40,7;31,97;30,42;13,93;6,97;8
87;"Faitanar";19;198;69;33,04;45,18;38,06;54,9;39,27;39,6;26,16;11,38;3,92;8,81
