"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021"
1;"la Seu";1;11;63;61,92;60,71;76,34;83,05;97,45;75,29;88,73;45,26;18,69
2;"la Xerea";1;12;63;44,86;44,8;51,19;55,13;57,37;64,13;78,49;30,79;14,9
3;"el Carme";1;13;63;44,55;57,67;54,38;68,19;55,51;72,21;82,65;43,52;17,45
4;"el Pilar";1;14;63;62,14;67,85;70,84;62,72;76,72;87,34;90,02;40,88;22,45
5;"el Mercat";1;15;63;60,36;69,17;81,48;68,88;70;83,45;86,01;43,52;28,71
6;"Sant Francesc";1;16;63;37,52;50,87;55,84;59,3;73,34;70,74;75,42;29;20,22
7;"Russafa";2;21;63;40,32;42,54;47,76;47,55;48,93;54,14;56,73;28,52;11,25
8;"el Pla del Remei";2;22;63;33,07;35,94;47,1;43,27;36,64;39,66;45,91;18,87;10,16
9;"Gran Via";2;23;63;29,73;30,05;33,45;41,68;37,43;40,25;42,69;18,94;8,54
10;"el Botànic";3;31;63;55,16;46,75;57,14;63,2;64,51;59,29;65,56;28,55;10,57
11;"la Roqueta";3;32;63;65,02;66,47;75,87;70,17;70,59;80,86;83,69;38,49;16,69
12;"la Petxina";3;33;63;33,53;39,56;39,82;40,97;37,27;44,23;47,54;19,29;10,61
13;"Arrancapins";3;34;63;32,15;38,12;38,5;45,17;43,86;49,74;51,24;23,56;9,57
14;"Campanar";4;41;63;36,32;36,22;45,58;43,07;39,73;39,66;41,96;20,85;8,83
15;"les Tendetes";4;42;63;45,69;46,42;50,58;56,74;69,16;66,18;70,83;29,76;15,18
16;"el Calvari";4;43;63;58,22;56,09;57,5;65,17;73,89;79,37;87,32;28,12;16,28
17;"Sant Pau";4;44;63;46,68;50,29;46;52,66;44,9;50,4;55,24;21,85;9,36
18;"Marxalenes";5;51;63;30,97;38,13;39,4;48,41;53,02;56,96;61;27,8;8
19;"Morvedre";5;52;63;37,52;42,48;52,65;44,37;50;52,61;61,02;21,66;9,89
20;"Trinitat";5;53;63;42,2;46,14;49,22;52,55;56,55;55,4;62,18;28,64;12,35
21;"Tormos";5;54;63;35,3;37,5;46,18;47,5;54,44;52,73;56,68;20,57;10,5
