"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;68;44,53;55,1;54,48;55,93;41,48;42,88;45,2;17,51;13,12;9,99
2;"la Xerea";1;12;68;38,16;48,43;46,54;51,52;43,22;43,35;43,43;18,17;12,88;13,9
3;"el Carme";1;13;68;57,08;45,89;45,21;51,14;44,54;50,03;54,94;21,38;13,96;13,13
4;"el Pilar";1;14;68;80,89;73,18;69,1;59,46;62,32;53,3;57,93;26,9;19;14,11
5;"el Mercat";1;15;68;50,44;62,77;48,43;51,66;49,76;46,21;45,24;25,89;11,76;13,77
6;"Sant Francesc";1;16;68;41,92;40,2;44,41;49,7;44,55;36,71;42,49;20,86;10,29;13,34
7;"Russafa";2;21;68;55,04;51,77;50,28;46,79;47,26;47,84;42,25;21,05;10,41;11,88
8;"el Pla del Remei";2;22;68;35,27;30,66;35,4;42,41;40,07;30,1;38,68;14,65;7,76;8,83
9;"Gran Via";2;23;68;33,51;35,68;39,85;48,1;44,03;35,97;34,03;19,19;10,55;9,82
10;"el Botànic";3;31;68;50,46;55,18;53,93;48,19;46,61;48,31;39,28;23,26;10,42;14,69
11;"la Roqueta";3;32;68;77,34;75,57;68,19;72,88;56,38;50,09;56,84;26,54;11,86;12,76
12;"la Petxina";3;33;68;53,06;51,88;49,93;49,95;46,9;44,43;41,43;20,68;10,21;13,42
13;"Arrancapins";3;34;68;53,21;45,33;48,89;51,54;45,46;43,66;45,89;19,71;8,33;10,94
14;"Campanar";4;41;68;38,87;33,47;35,43;33,27;33,1;42,25;30,82;17,3;8,49;10
15;"les Tendetes";4;42;68;60,54;56,01;48,65;49,62;52,92;47,17;40,83;25,21;9,68;13,21
16;"el Calvari";4;43;68;67,35;78,44;86,46;63,07;70,32;66,73;64,58;27,71;19,1;11,34
17;"Sant Pau";4;44;68;45,07;41,86;43,45;39,84;41,85;33,86;37,58;18,35;9,71;10,1
18;"Marxalenes";5;51;68;61,18;55,43;60,52;50,97;45,94;47,28;50,2;21,82;9,93;13,59
19;"Morvedre";5;52;68;63,59;52,98;49,56;47,47;47,57;43,65;42,7;22,74;8,13;9,17
20;"Trinitat";5;53;68;57,75;51,91;46,79;54,59;49,08;44,72;51,71;24,06;13,37;15,83
21;"Tormos";5;54;68;65,34;57,9;53,68;60,68;65,05;46,72;54,26;27,27;11,2;10,69
22;"Sant Antoni";5;55;68;48,81;47,69;51,83;51,77;49,83;46,96;44,75;20,09;9,84;11,13
23;"Exposició";6;61;68;33,15;38,52;35,55;45,75;43,89;36,55;40,59;15,01;8,76;11,42
