"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;58;15,65;12,63;10,06;11,53;8,89;10,15;8,97;8,26;2,95;4,51
2;"la Xerea";1;12;58;13,15;11,91;14,22;15,2;13,12;13,85;12,7;10,09;3,79;3,54
3;"el Carme";1;13;58;11,76;11,16;13,52;12,98;12,23;16,36;11,05;11,76;3,34;2,69
4;"el Pilar";1;14;58;13,78;10,45;12,64;12,8;14,4;14,98;13,14;11,83;3,02;1,9
5;"el Mercat";1;15;58;8,75;10,17;8,83;9,88;9,84;9,52;10,05;8,54;2,46;2,65
6;"Sant Francesc";1;16;58;10,34;12;14,8;11,27;12,31;11,05;7,44;7,6;4,08;3,86
7;"Russafa";2;21;58;9,55;10,03;10,93;9,17;10,23;10,51;8,04;7,23;3,69;2,65
8;"el Pla del Remei";2;22;58;8,38;10,56;12,29;10,53;11,69;9,84;10,91;7,04;3,25;1,57
9;"Gran Via";2;23;58;10,05;10,56;11,76;11,64;11,66;10,34;10;7,21;3,77;2,94
10;"el Botànic";3;31;58;11,52;10,58;11,15;10,46;9,77;9,78;11,33;9,06;2,57;2,27
11;"la Roqueta";3;32;58;13,92;10,02;9,26;9,93;10,37;10,78;11,64;9,07;2,2;1,32
12;"la Petxina";3;33;58;9,76;11,59;11,3;9,64;10,7;11,36;8,63;8,45;3,2;3,09
13;"Arrancapins";3;34;58;10,84;10,12;10,52;10,4;9,74;9,01;9,56;8,88;3,28;2,85
14;"Campanar";4;41;58;6,21;9,1;8,26;9,11;8,27;6,9;8,72;5,19;3,03;2,09
15;"les Tendetes";4;42;58;9,33;10,17;10,77;10;10,32;6,47;6,08;7,39;2,47;1,89
16;"el Calvari";4;43;58;13,59;14,49;12,08;13,83;13,43;11,4;10,15;9,04;3,22;3,38
17;"Sant Pau";4;44;58;4,36;3,07;3,57;4,3;4,22;4,16;4,59;3,67;1,78;1,04
18;"Marxalenes";5;51;58;9,76;8,75;11,9;8,26;10,57;9,49;10,71;7,64;2,85;3,33
19;"Morvedre";5;52;58;12,41;12,54;12,49;16,08;13,33;13,45;12,24;11,17;3,92;3,74
20;"Trinitat";5;53;58;11,35;12,43;12,4;13,23;11,76;11,18;11,62;8,02;3,06;2,3
21;"Tormos";5;54;58;6,78;10,73;9,28;9,02;9,09;9,37;7,26;6,59;3,38;2
22;"Sant Antoni";5;55;58;7,96;8,03;8,45;8,54;10,95;5,4;8,85;7,54;2,87;2,68
23;"Exposició";6;61;58;7,72;7,86;9,15;10,02;8,01;6,51;9,37;8,18;2,97;2,52
24;"Mestalla";6;62;58;5,34;8,37;7,19;7,52;8,53;8,37;7,82;6,72;3,13;1,71
25;"Jaume Roig";6;63;58;8,38;8,83;8,28;9,33;8,65;11,27;9,13;6,68;2,64;2,83
26;"Ciutat Universitària";6;64;58;9,69;7,64;8,11;8,79;8,99;11,52;7,03;7,27;2,15;3,64
27;"Nou Moles";7;71;58;9,23;9,53;9,6;10,1;12,17;10,45;9,13;7,84;2,97;3
