"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;55;8,7;8,77;6,59;8,81;7,24;6,55;6,31;5,29;0,66;1,61
2;"la Xerea";1;12;55;8,51;5,18;8,79;7,47;9,26;5,9;6,6;4,29;1,52;1,01
3;"el Carme";1;13;55;9,59;6,82;6,99;6,73;6,9;7,08;6,69;5,34;1,52;0,75
4;"el Pilar";1;14;55;10,85;10,23;9,37;9,33;10,53;7,71;9,26;4,95;0,86;1,9
5;"el Mercat";1;15;55;8,75;9,59;8,55;9,6;7,59;7,84;9,77;4,41;1,37;2,38
6;"Sant Francesc";1;16;55;8,81;7,05;8,43;7,57;7,61;6,77;7,97;4,42;1,77;1,05
7;"Russafa";2;21;55;8,15;8,36;7,62;7,87;7,92;7,82;7,28;5,5;1,97;1,47
8;"el Pla del Remei";2;22;55;9,55;5,28;8,48;7,64;7,41;8,56;8,08;5,21;2,4;1,57
9;"Gran Via";2;23;55;8,42;8,14;7,52;6,76;8,53;7,65;5,97;5,45;2,09;1,43
10;"el Botànic";3;31;55;6,36;7,66;7,33;8,18;6,77;6,17;6,5;4,83;1,81;1,67
11;"la Roqueta";3;32;55;7,53;7,28;7,68;9,93;6,77;6,06;5,59;5,75;1,54;0,66
12;"la Petxina";3;33;55;8,1;7,26;8,11;6,78;7,31;8,04;6,77;6,25;1,73;2,35
13;"Arrancapins";3;34;55;8,4;7,48;7,51;7,75;7,47;6,92;6,28;4,95;1,91;1,87
14;"Campanar";4;41;55;8,59;6,69;7,4;7,57;6,81;6,38;8,55;5,45;1,47;2,09
15;"les Tendetes";4;42;55;8;6,71;5,58;8,85;6,11;7,04;6,84;4,55;1,33;0,38
16;"el Calvari";4;43;55;9,33;7,87;7,29;6,08;7,35;7,46;5,69;4,42;1,81;1,79
17;"Sant Pau";4;44;55;13,55;12,56;14,08;10,77;10,63;9,35;8,41;5,74;1,36;2,25
18;"Marxalenes";5;51;55;6,57;5,51;7,61;6,07;6,13;5,92;6,24;6,08;1,38;1,29
19;"Morvedre";5;52;55;7,12;7,49;7,84;7,27;6,71;8,28;6,17;5,68;1,18;1,77
20;"Trinitat";5;53;55;8,03;9,1;6,78;10,18;7,97;7,5;7,53;6,62;1,78;2,04
21;"Tormos";5;54;55;7,83;8,49;6,43;8,19;7,23;6,36;5,76;5,55;1,4;1,29
22;"Sant Antoni";5;55;55;8,07;6,9;7,11;7,72;7,67;6,52;7,12;5,4;0,92;2,27
23;"Exposició";6;61;55;7,72;7,7;8,1;8,22;9,34;9,17;7,29;5,8;2,52;2,23
24;"Mestalla";6;62;55;8,05;7,54;8,71;8,55;7,78;8,03;9,38;5,84;1,63;1,99
25;"Jaume Roig";6;63;55;7,92;7,9;8,12;6,69;8,03;8,18;7,59;6,99;2,33;2,36
26;"Ciutat Universitària";6;64;55;9,32;8,4;5,79;5,73;7,86;8,17;8,51;8,36;1,07;1,46
27;"Nou Moles";7;71;55;6,96;6,75;6,59;6,01;5,99;6,74;7,18;5,33;1,07;1,77
28;"Soternes";7;72;55;8,71;7,14;6,69;8,59;6,21;8,31;4,86;4,87;1,02;1,44
29;"Tres Forques";7;73;55;8,06;7,67;6,78;8;8,02;7,04;7,97;4,71;1,17;1,72
30;"la Fontsanta";7;74;55;6,43;9,05;10,21;9,96;9,06;9,64;10,18;8,14;1,4;3,38
31;"la Llum";7;75;55;7,88;8,1;8,11;5,15;6,14;6,93;5,89;4,9;1,38;2
32;"Patraix";8;81;55;7,03;6,92;5,46;7,77;6,85;6,16;5,88;5,12;1,23;1,15
33;"Sant Isidre";8;82;55;8,21;10,05;8,29;6,36;7,06;7,23;5,32;3,84;1,22;1,47
34;"Vara de Quart";8;83;55;6;5,51;7,42;7,01;6,43;6,63;4,81;4,24;0,97;1,28
35;"Safranar";8;84;55;7,59;8,19;7,48;9,43;8,51;6,86;8,01;5,24;1,49;1,36
36;"Favara";8;85;55;8,09;9;6,16;8,05;6,59;7,39;6,81;4,84;1,34;2,21
37;"la Raiosa";9;91;55;8,04;7,79;8,58;7,93;6,4;7,48;7,24;4,55;1,16;1,44
38;"l'Hort de Senabre";9;92;55;6,4;7,83;8,95;6,74;5,43;6,48;5,68;4,39;0,82;1,84
39;"la Creu Coberta";9;93;55;6,97;7;4,74;8,35;6,19;6,82;6,52;4,44;1,98;1,34
41;"Camí Real";9;95;55;10;11,18;9,8;12,43;9,36;9,19;5,19;4,4;1,3;1,83
42;"Mont-Olivet";10;101;55;7,29;7,74;8,11;7,57;7,05;8,04;6,11;5,48;1,56;2,08
43;"en Corts";10;102;55;7,97;10,08;7,52;7,46;5,49;6,46;6,28;4,55;1,82;0,75
44;"Malilla";10;103;55;7,54;6,93;7,16;6,55;6,26;5,32;6,97;4,18;1,36;1,26
45;"Fonteta de Sant Lluís";10;104;55;10,09;6,37;7,11;8,41;5,13;8,15;4,35;4,65;2,67;1,97
46;"na Rovella";10;105;55;10,23;6,86;7,67;7,7;6,72;7,78;6,79;4,27;1,05;1,59
