"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;59;13,93;9,63;10,23;14,23;11;8,93;10,5;5,53;4,8;4,07
2;"la Xerea";1;12;59;13,63;9,85;13,09;13,02;14,14;10,95;9,78;10,25;3,78;3,74
3;"el Carme";1;13;59;12,98;8,44;11;12,36;10,08;17,53;7,68;12,19;2,79;2,72
4;"el Pilar";1;14;59;13,61;10,71;10,09;16,45;9,5;13,96;10,92;15,54;3,22;0,9
5;"el Mercat";1;15;59;7,11;8,81;5,15;6,79;7,91;7,9;10,14;9,41;2,74;1,6
6;"Sant Francesc";1;16;59;9,26;11,25;13,54;9,39;10,42;10,2;5,05;5,43;5,83;4,21
7;"Russafa";2;21;59;7,64;10,31;10,17;7,4;9,49;9,87;8,06;7,32;3,34;2,72
8;"el Pla del Remei";2;22;59;9,52;8,5;12,64;10,17;11,86;10,28;11,77;7,39;4,02;0,93
9;"Gran Via";2;23;59;7,37;8,91;10,77;9,93;12,2;9,74;7,9;6,4;4,39;2,56
10;"el Botànic";3;31;59;9,72;9,83;9,79;9,73;10,34;10,08;10,42;8,19;2,52;2,85
11;"la Roqueta";3;32;59;12,71;10,32;6,78;11;9,08;9,05;10,46;8,93;0,93;1,86
12;"la Petxina";3;33;59;8,52;12,11;11,06;9,88;10,13;9,22;9,92;8,9;2,78;3,25
13;"Arrancapins";3;34;59;10,79;10,33;10,97;9,93;10,53;8,14;10,65;8,59;3,43;2,74
14;"Campanar";4;41;59;5,47;9,93;9,61;10,96;9,34;5,79;9,16;5,43;3,75;1,88
15;"les Tendetes";4;42;59;9,84;10,73;8,66;11,53;11,52;7,79;7,36;7,35;2,45;2,03
16;"el Calvari";4;43;59;14,34;12,45;14,25;15,35;15,91;10,46;10,29;11,11;3,43;3,44
17;"Sant Pau";4;44;59;4,94;2,81;4,04;4,73;3,64;4,21;4,78;4,14;2,32;0,71
18;"Marxalenes";5;51;59;11,46;7,51;13,83;8,99;10,99;10,12;11,48;8,92;3,03;3,87
19;"Morvedre";5;52;59;10,62;11,55;12,78;15,15;11,42;12,26;11,09;12,24;4,08;4,08
20;"Trinitat";5;53;59;10,94;12,11;12,36;11,2;11,43;12,85;11,8;7,84;1,68;3,35
21;"Tormos";5;54;59;5,35;10,57;8,88;9,33;11,32;10,79;7,43;5,75;4,33;0,98
22;"Sant Antoni";5;55;59;7,8;8,26;8,68;9,98;12,32;6,03;10,76;8,65;3,48;2,42
23;"Exposició";6;61;59;6,25;7,19;11,07;11,1;7,45;6,49;9,5;7,53;2,62;2,62
24;"Mestalla";6;62;59;5,81;9,61;7,3;7,29;8,83;7,6;7,58;7,14;3,07;1,92
25;"Jaume Roig";6;63;59;8,67;9,15;10,29;9,19;10,77;12,86;8,17;8,51;3,06;3,1
26;"Ciutat Universitària";6;64;59;9,04;6,73;8,54;5,9;10,75;13,27;7,42;6,41;2,37;3,96
27;"Nou Moles";7;71;59;9,81;9,59;9,66;10,72;11,88;9,74;9,74;8,25;3,44;3,14
28;"Soternes";7;72;59;13,6;10,73;11,99;8,06;10,24;8,62;12,37;8,94;3;4,8
29;"Tres Forques";7;73;59;14,64;13,54;14,44;13,18;13,01;11,73;12,39;9,72;3,08;3,1
30;"la Fontsanta";7;74;59;8,82;9,55;3,94;9,57;11,78;12,43;8,52;8,47;5,09;1,71
31;"la Llum";7;75;59;4,92;8,24;6,17;8,23;8,26;7,05;9,47;10,7;4,14;2,11
32;"Patraix";8;81;59;9,12;8,64;10,13;10,5;10,74;10,41;8,6;9,75;4,59;2,23
33;"Sant Isidre";8;82;59;5,15;5,8;6,61;6,61;8,67;6;5,17;4,79;4,19;1,21
34;"Vara de Quart";8;83;59;6,99;8,05;9,07;9,26;8,64;8,01;8,41;6,77;2,67;2,74
35;"Safranar";8;84;59;6,51;5,98;6,63;5,27;6,16;6,8;4,73;5,57;1,11;1,96
36;"Favara";8;85;59;6,73;6,24;9,01;5,59;7,19;8,27;7,14;5,98;2,72;2,85
37;"la Raiosa";9;91;59;7,56;8,8;9,95;7,82;8,69;6,67;8,52;7,74;3,23;3,54
38;"l'Hort de Senabre";9;92;59;7,8;9,6;9,25;8,46;8,34;8,48;8,66;8,3;1,93;3,17
39;"la Creu Coberta";9;93;59;6,63;8,01;7,72;8,44;8,73;9,37;9,44;4,77;3,78;2,44
41;"Camí Real";9;95;59;6,89;7,49;2,67;6,89;7,88;6,78;4,13;7,75;4,69;1,58
42;"Mont-Olivet";10;101;59;9,53;8,9;10,36;10,11;9,47;9,09;10,46;7,63;3,89;2,56
43;"en Corts";10;102;59;6,75;8,14;10,16;8,82;9,56;10,42;9,04;6,49;2,23;2,07
44;"Malilla";10;103;59;8,4;6,47;7,52;7,2;7;8,72;7,52;6,47;2,94;2,74
45;"Fonteta de Sant Lluís";10;104;59;8,43;12,94;9,34;10,56;8,29;4,1;10,01;5,95;1,99;1,98
46;"na Rovella";10;105;59;10,17;11,3;13,78;8,22;14,76;8,35;11,55;10,1;4,03;4,9
47;"la Punta";10;106;59;12,74;8,06;17,13;9,25;11,53;10,07;11,54;5,98;4,42;5,12
48;"Ciutat de les Arts i les Ciències";10;107;59;3,07;3,58;3,74;5,17;4,46;4,37;6,19;2,46;1,9;0,53
49;"el Grau";11;111;59;6,18;11,32;9,19;10,85;6,54;8,72;9,05;6,61;2,85;2,17
50;"el Cabanyal-el Canyamelar";11;112;59;10,7;8,75;11,16;8,9;12,8;11,59;11,21;9,87;4,67;3,4
51;"la Malva-rosa";11;113;59;9,13;7,1;10,16;9,24;9,36;10,86;14;7,82;3,83;3,38
52;"Beteró";11;114;59;7,98;9,8;8,49;6,96;6,73;7;7,06;5,51;1,57;2,67
53;"Natzaret";11;115;59;11,39;7,49;11,54;11,69;10,06;14,79;8,07;7;3,67;3,69
54;"Aiora";12;121;59;9,84;9,96;8,16;9,32;9,13;7,51;8,23;7,68;3,1;2,38
55;"Albors";12;122;59;8,6;9,66;13,31;7,64;8,86;5,39;11,29;5,91;2,21;4,21
56;"la Creu del Grau";12;123;59;7,76;9,47;7,28;8,02;8,75;7,82;9,71;6,75;3,24;2,42
57;"Camí Fondo";12;124;59;7,46;10,8;7,47;6,91;7,72;9,48;11,71;12,67;3,19;3,71
58;"Penya-roja";12;125;59;2,88;2,11;2,9;3,16;3,28;2,13;3,57;3,8;2,51;1,4
59;"l'Illa Perduda";13;131;59;11,41;9,77;11,22;9,35;10,78;12,75;11,41;9,76;2,46;3
60;"Ciutat Jardí";13;132;59;8,49;10,51;10,2;7,09;12,79;10,22;8,32;6,7;2,72;3,11
61;"l'Amistat";13;133;59;10,12;9,71;7,98;8,31;7,82;13,16;11,14;8,49;3,52;1,8
62;"la Bega Baixa";13;134;59;6,98;10,75;12,67;8,21;11,61;7,99;10,48;7,86;2,77;3,55
63;"la Carrasca";13;135;59;10,44;1,84;3,63;7,19;6,6;4,21;7,34;4,96;3,72;1,29
64;"Benimaclet";14;141;59;8,49;9,83;8,95;8,73;8,29;7,91;6,49;7,72;3,54;2,66
65;"Camí de Vera";14;142;59;5,42;5,4;6,95;6,96;6,55;8,88;8,12;6,2;2,73;1,19
66;"Orriols";15;151;59;8,73;10,44;9,94;10,44;12,31;8,66;8,8;6,52;2,05;2,91
67;"Torrefiel";15;152;59;6,75;7,19;9,15;8,64;8,58;8,7;8,45;8,21;3,29;2,31
68;"Sant Llorenç";15;153;59;2,43;1,79;1,95;3,08;2,87;4,36;3,4;2,45;1,51;0,75
69;"Benicalap";16;161;59;7,65;8,34;7,79;7,26;7,43;7,76;6,72;4,97;2,68;2,02
70;"Ciutat Fallera";16;162;59;4,46;9,77;6,28;11,57;9,5;11,24;9,15;4,55;3,49;1,74
71;"Benifaraig";17;171;59;12,41;6,32;10,57;2,08;10,26;12,36;10,46;6,37;2,12;0
72;"Poble Nou";17;172;59;11,7;4,76;11,79;14,08;7,03;9,16;6,75;4,52;2,28;2,28
73;"Carpesa";17;173;59;8,36;6,79;5,09;13,7;12,27;10,73;9,03;8,96;3,56;5,3
74;"Cases de Bàrcena";17;174;59;10,93;0;21,62;11,08;11,2;11,2;11,14;11,2;0;0
75;"Mauella";17;175;59;33,9;0;0;37,74;0;39,22;0;0;0;0
76;"Massarrojos";17;176;59;9,58;0,94;2,76;6,39;2,71;3,57;7,06;2,59;0,85;0,83
77;"Borbotó";17;177;59;19,77;11,36;19,69;13,87;19,55;8,43;8,36;8,19;5,38;2,7
78;"Benimàmet";18;181;59;8,96;7,62;7,8;7,17;8,59;7,71;10,09;7,7;1,7;3,09
79;"Beniferri";18;182;59;7,71;7,63;7,43;5,45;7,09;3,47;5,18;0;3,45;3,45
80;"el Forn d'Alcedo";19;191;59;7,91;4,85;11,41;3,33;14,98;9,8;17,66;8;3,22;1,59
81;"el Castellar-l'Oliverar";19;192;59;10,5;9,76;9,46;12,78;8,97;9,85;9,57;8,71;3;3,32
82;"Pinedo";19;193;59;10,21;10,39;7,94;12,08;9,78;3,22;8,84;11,33;3,26;4,83
83;"el Saler";19;194;59;4,35;9,98;4,45;4,36;8,57;8,43;6,18;3,03;1,99;2,06
84;"el Palmar";19;195;59;2,72;2,75;19,1;2,7;18,97;24,79;22,16;8,24;13,77;2,76
85;"el Perellonet";19;196;59;11;7,07;7,03;6,94;11,25;4,25;7,03;6,82;1,33;0
86;"la Torre";19;197;59;12,53;10,24;7,3;10,76;10,29;10,27;6,78;5,45;4,61;2,92
87;"Faitanar";19;198;59;7,12;4,5;2,08;3,72;8,46;3,1;5,71;6,67;2,61;0
