"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;56;35,64;36,15;27,24;36,39;29,93;27,17;26,5;22,25;2,74;6,51
2;"la Xerea";1;12;56;39,33;23,95;40,48;34,3;42,63;27,27;30,48;19,74;6,97;4,7
3;"el Carme";1;13;56;38,3;27,64;28,67;27,8;28,88;29,87;28,3;22,47;6,34;3,18
4;"el Pilar";1;14;56;40,34;37,99;34,66;34,97;40,28;29,8;35,43;18,61;3,23;7,18
5;"el Mercat";1;15;56;34,88;39,29;35,19;39,44;30,98;31,67;39,41;17,81;5,49;9,48
6;"Sant Francesc";1;16;56;41,02;33,09;39,32;35,1;34,85;30,82;35,9;19,76;7,96;4,7
7;"Russafa";2;21;56;34,45;36,17;33,18;34,21;34,58;34,09;31,78;24,09;8,64;6,43
8;"el Pla del Remei";2;22;56;45,14;25,27;41,06;37,15;36,56;42,89;40,45;26,05;12,01;7,95
9;"Gran Via";2;23;56;40,14;39,58;36,92;32,95;41,38;36,87;28,73;26,37;10,14;6,92
10;"el Botànic";3;31;56;27,3;33,1;31,89;35,94;29,68;27,12;28,67;21,1;7,84;7,21
11;"la Roqueta";3;32;56;32,04;30,61;32,58;43,01;29,14;26,06;24,14;24,67;6,55;2,83
12;"la Petxina";3;33;56;36,04;32,43;36,69;30,93;33,25;36,24;30,68;28,76;8,02;10,85
13;"Arrancapins";3;34;56;37,58;34,04;34,35;35,57;34,43;32,2;29,41;23,27;9;8,9
14;"Campanar";4;41;56;38,64;30,74;34,48;35,71;32,62;30,94;42,13;27,05;7,29;10,55
15;"les Tendetes";4;42;56;34,68;29,59;24,81;39,79;27,46;31,66;31,09;20,77;6,06;1,74
16;"el Calvari";4;43;56;42,89;36,79;34,3;28,61;34,52;34,57;25,76;19,7;8,05;7,89
17;"Sant Pau";4;44;56;52,83;49,64;56,31;43,29;43,32;38,94;35,55;24,53;5,84;9,69
18;"Marxalenes";5;51;56;28,17;24,09;33,64;27,16;27,53;26,41;27,63;26,86;6,11;5,83
19;"Morvedre";5;52;56;31,09;33,4;35,53;33,05;30,76;38,37;28,43;25,94;5,36;8,12
20;"Trinitat";5;53;56;35,23;40,05;29,63;44,08;34,28;32,72;33,33;29,14;7,82;8,92
21;"Tormos";5;54;56;32;35,21;27,16;35,05;31,19;27,61;24,99;24,27;6,17;5,73
22;"Sant Antoni";5;55;56;34,31;29,99;31,44;34,76;34,72;29,55;32,57;24,72;4,21;10,42
23;"Exposició";6;61;56;34,88;35,68;37,63;37,9;43,12;43;34,51;27,39;11,89;10,47
24;"Mestalla";6;62;56;34,54;32,77;38,43;38,17;34,67;35,59;41,64;25,85;7,21;8,71
