"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2009";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;75;352,86;347,12;347,93;341,27;339,9;338,12;338,85;335,39;341,84;370,04;397,94;337,44;338,8;335,91
2;"la Xerea";1;12;75;403,29;397,83;496,23;486,73;476,74;467,93;452,68;444,96;448,13;421,7;423,23;404,44;407,68;415,82
3;"el Carme";1;13;75;358,93;349,68;345,16;333,64;336,97;334,94;329,26;338,38;339,76;342,54;348,73;342,25;344,46;348,5
4;"el Pilar";1;14;75;357,76;346,23;349,77;335,82;329,7;321,33;313,83;307,91;316,7;311,08;320,93;322,11;336,36;327,44
5;"el Mercat";1;15;75;352,26;346,37;355,15;339,92;346,31;342,99;350,65;340,65;346,74;342,08;348,79;349,33;348,92;349,05
6;"Sant Francesc";1;16;75;442,23;446,3;505,22;485,5;492,94;482,52;483,75;475;465,2;449,82;448,26;438,74;446,43;444,09
7;"Russafa";2;21;75;373,16;369,68;392,3;380,24;377,4;373,32;368,9;363,07;364,15;366,28;371,33;368,76;371,15;372,74
8;"el Pla del Remei";2;22;75;495,96;497,74;556,31;538,86;522,98;512,76;504,92;502,26;495,36;496,87;497,57;480,75;480,8;487,39
9;"Gran Via";2;23;75;432,51;433,72;458,52;449,99;447,45;440,66;433,63;424,9;416,06;412,51;412,61;410,63;407,1;410,96
10;"el Botànic";3;31;75;361,32;358,41;377,58;371,05;364,85;366,65;357,14;352,73;352,13;347,83;358,16;357,46;358,15;357,52
11;"la Roqueta";3;32;75;367,15;360,87;416,91;409,59;408,25;395,89;387,43;379,02;385,68;375,76;380,31;377,81;371,4;375,36
12;"la Petxina";3;33;75;412,22;403,27;419,63;411,1;406,57;398,03;391,95;386,98;387,49;387,82;391,29;387,68;394,93;397,74
13;"Arrancapins";3;34;75;420,23;413,07;434,14;426,97;423,17;423,62;418,83;414,03;410,7;408,59;409,28;402,87;406,3;408,25
14;"Campanar";4;41;75;484,32;477,6;563,98;547,68;544,52;540,7;529,02;519,81;525,9;491,73;492,71;486,65;486,97;480,83
15;"les Tendetes";4;42;75;413,47;408,12;440,78;432,75;432,54;425,1;422,32;422,11;423,05;419,72;425,28;423,75;423,26;419,51
16;"el Calvari";4;43;75;354,18;347,96;384,28;377,61;371,19;370,04;366,56;366,57;367,64;363,07;359,17;361,08;363,09;355,35
17;"Sant Pau";4;44;75;450,78;441,31;321,47;315,58;327,47;324,94;323,65;329,37;335,68;368,38;377,86;380,61;389,17;380,18
18;"Marxalenes";5;51;75;395,49;392,06;411,15;403,15;405,72;405,58;399,16;396,77;397,18;401,63;408,51;400,28;401,38;404,73
19;"Morvedre";5;52;75;370,31;363,4;378;369,37;366,28;364,11;361,17;353,68;359,01;356,82;368,03;360,46;364,05;366,41
20;"Trinitat";5;53;75;394,86;392,89;415,21;416,92;409,89;401;393,75;388,93;386,87;380,51;384,65;374,11;372,93;378,14
21;"Tormos";5;54;75;381,8;382,72;409,58;396,1;403,14;400;395,5;395,14;387,09;378,79;386,88;386,51;398,76;404,07
22;"Sant Antoni";5;55;75;413,99;413,95;431,88;420,38;416,36;412,63;409,02;406,22;406,77;406,7;411,89;411,26;419,33;421,33
23;"Exposició";6;61;75;492,16;491,05;528,17;522,05;518,99;513,37;495,87;491,01;486,27;479,73;476,37;470,84;460,57;454,24
24;"Mestalla";6;62;75;418,25;424,78;448,32;439,8;431,24;429,56;431,31;422,04;419,52;416,21;419,71;414,82;416,75;421,85
25;"Jaume Roig";6;63;75;504;503,89;538,4;528,88;522,88;518,35;517,66;506,25;496,44;488,36;483,85;478,99;477,92;475,7
26;"Ciutat Universitària";6;64;75;467,35;464,95;490,17;480,47;475,23;482,01;483,62;479,09;466,04;460,42;452,28;439,85;418,6;431,49
