"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;89;462,36;476,13;491,85;492,44;493,35
2;"la Xerea";1;12;89;484,71;501,19;523,29;523,21;523,23
3;"el Carme";1;13;89;350,14;360,75;372,18;372,17;372,93
4;"el Pilar";1;14;89;361,26;374,23;386,61;386,91;387,74
5;"el Mercat";1;15;89;457,19;473,85;487,92;488,18;490,12
6;"Sant Francesc";1;16;89;621,34;639,78;659,34;659,38;659,64
7;"Russafa";2;21;89;404,27;416,52;429,07;429,53;429,8
8;"el Pla del Remei";2;22;89;747,66;770,42;793,72;794,73;794,85
9;"Gran Via";2;23;89;536,73;552,81;569,98;570,29;570,23
10;"el Botànic";3;31;89;394,95;406,81;418,89;418,71;419,19
11;"la Roqueta";3;32;89;447,35;460,74;475,04;475,07;475,35
12;"la Petxina";3;33;89;442,93;456,39;470,14;470,16;470,89
13;"Arrancapins";3;34;89;484,68;499,51;514,79;514,84;514,76
14;"Campanar";4;41;89;439,89;453,15;466,93;466,95;466,98
15;"les Tendetes";4;42;89;355,78;366,45;377,59;377,6;377,51
16;"el Calvari";4;43;89;283,96;292,48;301,29;301,27;301,52
17;"Sant Pau";4;44;89;549,93;566,44;583,36;583,69;580,95
18;"Marxalenes";5;51;89;324,13;333,88;343,94;344,67;344,95
19;"Morvedre";5;52;89;319,7;330,53;341,12;341,19;341,32
20;"Trinitat";5;53;89;371,15;382,28;393,75;394,16;394,26
21;"Tormos";5;54;89;318,14;327,75;337,57;337,66;337,65
22;"Sant Antoni";5;55;89;352,27;362,62;373,52;373,55;374,48
23;"Exposició";6;61;89;645,08;664,43;685,24;687,3;687,31
24;"Mestalla";6;62;89;550,71;567,24;584,16;584,29;584,78
25;"Jaume Roig";6;63;89;595,39;613,25;633,58;633,58;633,37
26;"Ciutat Universitària";6;64;89;517,14;532,59;548,33;548,33;548,41
27;"Nou Moles";7;71;89;340,52;350,74;361,52;361,37;361,96
28;"Soternes";7;72;89;301,18;310,22;319,52;319,52;319,48
29;"Tres Forques";7;73;89;283,12;291,61;300,36;300,36;300,36
30;"la Fontsanta";7;74;89;255,88;263,55;271,46;271,46;271,46
31;"la Llum";7;75;89;371,01;382,14;393,6;393,6;393,6
32;"Patraix";8;81;89;386,89;398,5;410,47;410,78;411,07
33;"Sant Isidre";8;82;89;379,34;391,02;402,74;405,16;406,78
34;"Vara de Quart";8;83;89;373,53;384,74;396,41;396,41;396,51
35;"Safranar";8;84;89;403,95;415,23;428,61;429,68;430,63
36;"Favara";8;85;89;364,99;375,94;387,32;387,19;387,13
37;"la Raiosa";9;91;89;365,98;376,94;388,46;388,45;388,68
38;"l'Hort de Senabre";9;92;89;333,7;343,71;354,06;354,06;354,06
39;"la Creu Coberta";9;93;89;307,67;316,9;326,14;326,42;326,3
41;"Camí Real";9;95;89;339,19;349,34;359,82;359,82;359,72
42;"Mont-Olivet";10;101;89;338,47;348,55;358,98;359,09;359,12
43;"en Corts";10;102;89;336,91;347;358,12;358,29;358,64
44;"Malilla";10;103;89;372,04;382,89;394,41;393,89;392,67
45;"Fonteta de Sant Lluís";10;104;89;276,76;285,05;293,61;293,9;297,35
46;"na Rovella";10;105;89;327,34;337,16;347,28;347,28;347,28
47;"la Punta";10;106;89;335,58;345,42;369,19;369,36;386,46
48;"Ciutat de les Arts i les Ciències";10;107;89;504,39;521,96;537,39;537,39;540,5
49;"el Grau";11;111;89;345,68;356,37;367,08;368,59;372,58
50;"el Cabanyal-el Canyamelar";11;112;89;258,92;267;275,51;275,78;276,49
51;"la Malva-rosa";11;113;89;290,36;299,07;308,09;308,11;309,16
52;"Beteró";11;114;89;358,01;368,89;379,92;379,92;379,92
53;"Natzaret";11;115;89;254,72;262,34;270,33;270,5;270,63
54;"Aiora";12;121;89;338,59;348,75;359,19;359,59;359,63
55;"Albors";12;122;89;360,43;371,78;383,28;383,28;383,3
56;"la Creu del Grau";12;123;89;345,45;355,94;366,61;366,73;367
57;"Camí Fondo";12;124;89;369,88;380,97;392,53;393,24;393,41
58;"Penya-roja";12;125;89;667,68;687,74;708,35;711,46;710,84
59;"l'Illa Perduda";13;131;89;337,71;347,84;358,25;358,25;358,25
60;"Ciutat Jardí";13;132;89;419,05;431,63;444,58;444,62;444,62
61;"l'Amistat";13;133;89;364,6;375,55;386,78;386,82;386,82
62;"la Bega Baixa";13;134;89;459,08;472,86;487,07;487,07;487,04
63;"la Carrasca";13;135;89;451,27;464,81;478,95;478,87;478,94
64;"Benimaclet";14;141;89;377,46;388,87;400,6;400,86;400,95
