"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;3;-0,24;-1,63;0,92;1,23;-1,21;-0,53;2,81;1,92;4;-2,71;-0,27;1,46;1,74
2;"la Xerea";1;12;3;-0,57;-0,59;0,99;0,26;-0,64;-0,23;0,57;0,15;0,1;0,49;1,48;-0,18;-0,08
3;"el Carme";1;13;3;-0,06;0,61;3,84;0,02;-1,05;0,59;-1;-0,31;-0,22;-0,42;2,59;1,28;1,71
4;"el Pilar";1;14;3;2,34;1,32;1,9;2,56;0,84;2,32;1,78;-0,86;2,86;-2,01;0,84;-0,66;2,53
5;"el Mercat";1;15;3;1,36;0,32;1,57;-1,43;-0,73;1,4;2,6;-0,7;1,53;-0,73;1,29;1,47;3,25
6;"Sant Francesc";1;16;3;-1,61;-2,3;1,44;-1,89;-0,69;1,65;1,68;1,19;2,85;0,43;0,87;-0,62;1,05
7;"Russafa";2;21;3;-0,18;-2,26;0,38;-1,04;-1,45;-0,63;0,28;-0,24;-0,13;-0,39;0,18;0,17;-0,38
8;"el Pla del Remei";2;22;3;-1,17;-1,29;0,74;-0,28;0,47;-0,1;0,7;2,1;0,24;-0,34;1,71;-0,48;-0,89
9;"Gran Via";2;23;3;-0,49;-1,19;-0,6;-0,63;-0,92;-0,63;0,97;1,05;1,5;-0,37;0,38;0,17;-0,23
10;"el Botànic";3;31;3;1,02;-0,43;0,55;-0,91;-2,25;0;0,64;0,99;0,59;-0,75;-0,02;0,06;-0,33
11;"la Roqueta";3;32;3;0,22;-2,56;-0,13;-1,22;-0,16;0,59;1,02;-0,85;0,95;-0,13;0,9;1,43;-0,18
12;"la Petxina";3;33;3;0,35;-1,57;-0,23;-0,18;-0,93;0,34;0,01;-0,08;0,29;-0,23;0,28;-0,61;-0,61
13;"Arrancapins";3;34;3;-0,15;-1,02;-0,13;-1,01;-1,76;-0,76;-0,04;0,78;0,72;-0,24;0,8;-0,55;-0,31
14;"Campanar";4;41;3;-0,39;-1,89;-0,53;-0,03;-0,83;-0,96;0,58;-0,52;0,03;-0,09;-0,17;-0,22;-0,36
15;"les Tendetes";4;42;3;-0,28;-3,5;-1,64;-2,09;-1,23;-0,25;-0,27;0,23;1,11;-0,19;0,49;-0,15;0,53
16;"el Calvari";4;43;3;-1,58;-3,25;-0,66;-1,77;-2,5;-1,46;0,17;-1,31;0,97;1,61;2,49;-0,22;1,05
17;"Sant Pau";4;44;3;3,29;4,83;3,37;1,99;2,51;2,59;2,69;2,04;1,74;0,71;1,63;-0,1;2,68
18;"Marxalenes";5;51;3;-1,15;-2,64;-0,15;-2;-2,21;-0,39;0,22;0,3;0,92;-0,19;2,03;0,32;-0,58
19;"Morvedre";5;52;3;0,28;-0,95;-1,05;-0,14;-1,84;-0,23;1,1;-1,27;0,48;-0,81;-0,23;0,12;-0,62
20;"Trinitat";5;53;3;-1,33;-1,68;-1,6;-0,74;-1,04;-0,01;0,51;0,43;0,74;-1,6;0,63;-0,03;-0,27
21;"Tormos";5;54;3;-2,23;-3,03;0,42;-1,92;-1,05;-0,71;-1,14;1,62;2,1;-0,45;1,21;-1,81;-0,73
22;"Sant Antoni";5;55;3;-0,33;-1,74;0,53;-0,89;-1,43;-0,3;0,21;0,04;1,13;-0,22;0,55;-1,05;-0,52
23;"Exposició";6;61;3;-0,91;-1,06;-1,03;0,18;-0,81;1,2;0,26;0,39;1,24;-0,81;-0,12;0,16;0,12
24;"Mestalla";6;62;3;-1,66;-1,33;0,35;0,3;-1,24;-1,52;-0,1;0,65;1,34;-0,67;0,8;-0,37;-0,74
25;"Jaume Roig";6;63;3;-0,89;-0,36;-0,27;-0,41;-1,63;-1,73;0,03;0,91;0,39;-0,25;-0,31;-0,29;-1,1
26;"Ciutat Universitària";6;64;3;-0,04;0,84;-0,33;-0,51;-3,08;-1,74;-0,5;2,63;1,55;0,07;0,63;3,14;-1,82
27;"Nou Moles";7;71;3;-1,37;-1,96;-0,88;-1,1;-0,65;-0,15;0,39;-0,35;1,19;-0,61;0,96;-0,08;-1,22
28;"Soternes";7;72;3;-2,01;-2,26;-1,37;-0,58;-0,73;-0,77;2,13;0,78;-1,43;-0,63;0,85;-1,37;-1
29;"Tres Forques";7;73;3;-1,01;-1,47;-1,73;-2,51;-1,28;-0,25;-0,45;1,48;0,76;1,44;3,23;0,72;-0,49
30;"la Fontsanta";7;74;3;-2,12;-1,76;1,35;-1,76;-2,49;0,28;-0,82;0,17;0,74;-0,93;1,45;0,14;-0,36
31;"la Llum";7;75;3;-1,12;-1;-1,15;0,33;-0,78;0,18;-0,43;0,12;-0,04;0,12;1,33;-0,94;-1,4
32;"Patraix";8;81;3;-0,56;-1,67;-0,24;-1,19;-0,81;-0,54;0,28;-0,11;0,88;-0,73;0,45;-0,85;-0,77
33;"Sant Isidre";8;82;3;-0,73;-0,85;-0,32;0,14;-0,92;0,43;0,4;-0,15;0,49;0,29;-0,14;-1,02;3,51
34;"Vara de Quart";8;83;3;-1,05;-1,27;-1;-0,58;-0,15;0,36;0,32;0,35;-0,12;-0,04;-0,07;-0,56;-2,14
35;"Safranar";8;84;3;0,65;-0,19;-0,71;1,67;0,83;0,78;0,4;0,41;0,45;-0,05;1,19;1,35;1,49
36;"Favara";8;85;3;-1,22;1,03;1,96;0,56;-1,19;-0,34;1,16;0,7;1,41;-0,79;1,98;0,7;-2,97
37;"la Raiosa";9;91;3;-1,94;-2,18;-0,06;-1,16;-0,64;0,17;1,44;0,31;0,58;-0,09;1,39;-1,38;-1,23
38;"l'Hort de Senabre";9;92;3;-0,74;-1,28;-0,48;-0,44;-0,43;-0,37;0,22;-0,57;1,13;-0,9;0,22;-0,26;-1,15
39;"la Creu Coberta";9;93;3;0,06;-1,02;-0,59;-1,56;-0,39;-0,31;-0,51;0,21;0,64;0,03;-0,73;-1,05;-1,02
41;"Camí Real";9;95;3;1,04;-1,5;1,09;-1,98;-0,75;-1;1,26;0,27;1,81;1,83;0,78;-0,54;-0,49
42;"Mont-Olivet";10;101;3;-1,1;-2,47;-0,31;-0,77;-1,04;0,08;0,94;-0,07;0,25;-0,8;0,2;-1,4;-0,06
