"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;37;18,07;17,2;16,8;17,22;18,1;19,28;20,36;20,15;22,51;21,77;23,19;26,01;26,89
2;"la Xerea";1;12;37;14,23;13,87;13,91;14,26;14,33;14,67;15,47;15,44;15,51;15,84;16,49;18,03;18,96
3;"el Carme";1;13;37;16,91;16,65;16,57;16,97;16,61;17,58;19,5;19,64;20,49;20,92;22,87;25,58;27,21
4;"el Pilar";1;14;37;20,42;18,59;19,32;20,01;20,21;20,37;21,59;21,62;22,76;22,69;24,81;27,05;28,45
5;"el Mercat";1;15;37;18,65;18,56;18,73;18,25;18,41;18,76;19,58;19,6;21,15;22,26;23,61;26,2;28,73
6;"Sant Francesc";1;16;37;12,17;10,82;11,45;10,45;10,08;11,51;13,1;14,27;15,77;16,41;17,68;18,59;20,2
7;"Russafa";2;21;37;19,88;18,81;18,77;18,05;17,31;17,24;17,65;17,33;18;17,82;18,47;19,6;20,22
8;"el Pla del Remei";2;22;37;6,4;5,9;6,1;5,8;5,95;6,33;6,59;6,94;7,89;7,99;8,96;9,8;10,45
9;"Gran Via";2;23;37;9,36;8,68;8,76;8,77;8,68;8,72;9,03;9,03;9,68;9,77;10,74;11,56;12
10;"el Botànic";3;31;37;17,62;17,47;18,17;18,31;17,27;17,34;17,74;17,81;18,43;17,45;18,64;20,35;21,89
11;"la Roqueta";3;32;37;22,5;21,79;22,18;22,38;22,67;23,63;24,2;24,07;24,62;24,84;26,46;28,44;29,72
12;"la Petxina";3;33;37;13,63;13,07;13,48;13,6;13,57;14,03;14,4;14,22;14,28;14,12;14,81;15,33;15,87
13;"Arrancapins";3;34;37;13,38;13,24;13,46;13,29;13,04;13,14;13,45;13,85;14,2;14,19;14,95;15,3;15,71
14;"Campanar";4;41;37;12,85;12,75;12,68;12,47;12,13;12,32;12,6;12,11;12,69;13,1;14,06;14,63;15,29
15;"les Tendetes";4;42;37;24,07;22,87;23,19;22,95;22,64;22,97;23,01;23,11;25,04;25,43;26,39;27,85;29,31
