"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;35;65,39;66,62;67,1;67,08;66,75;65,52;64,92;65,08;63;63,89;62,7;60,61;60,51
2;"la Xerea";1;12;35;69,3;69,71;70,01;69,8;70,12;70,21;69,81;70,12;70,07;70,27;69,94;68,48;67,67
3;"el Carme";1;13;35;67,7;68,26;68,61;68,35;68,76;68,19;67,07;66,82;66,12;65,98;64,62;62,59;61,47
4;"el Pilar";1;14;35;61,73;63,6;63,09;62,58;62,76;62,66;62,17;62,64;61,92;61,61;60,52;59,15;57,84
5;"el Mercat";1;15;35;66,21;66,93;66,95;67,43;67,49;67,42;67,17;67,34;66,32;65,57;64,87;62,67;60,81
6;"Sant Francesc";1;16;35;74,83;75,94;75,65;76,65;77,18;75,87;74,58;73,88;72,45;72,24;71,16;70,73;69,26
7;"Russafa";2;21;35;65,99;67,01;67,17;67,87;68,66;68,84;68,59;68,89;68,6;68,92;68,68;67,77;67,34
8;"el Pla del Remei";2;22;35;79,12;79,65;79,4;79,77;79,5;79,38;79,35;79,19;78,77;78,95;78,1;77,5;77,28
9;"Gran Via";2;23;35;76,14;77,07;77,02;77,29;77,45;77,48;77,39;77,29;77,05;77,15;76,53;75,87;75,72
10;"el Botànic";3;31;35;67,27;67,48;67,17;67,5;68,3;68,3;68,32;68,51;67,98;68,9;68,15;66,75;65,81
11;"la Roqueta";3;32;35;64,99;65,41;65,66;65,65;65,62;64,46;63,99;63,79;63,37;63,23;61,77;60,29;58,72
12;"la Petxina";3;33;35;70,93;71,72;71,5;71,55;71,77;71,46;71,37;71,64;71,98;72,21;71,8;71,57;71,42
13;"Arrancapins";3;34;35;71,64;71,92;72,01;72,28;72,64;72,63;72,5;72,28;72,06;72,16;71,53;71,41;71,13
14;"Campanar";4;41;35;66,97;67,13;67,56;67,62;68,18;68,21;68,13;68,56;68,45;68,02;67,61;67,34;66,92
15;"les Tendetes";4;42;35;56,53;57,76;57,71;57,99;58,28;58,25;58,58;58,77;57,31;56,92;56,45;55,51;54,37
16;"el Calvari";4;43;35;48,79;49,18;49,78;50,04;50,75;51,15;50,4;49,93;49,72;48,54;46,22;45,66;44,97
17;"Sant Pau";4;44;35;64,92;65,21;65,29;66,12;65,89;65,52;65,71;65,73;65,68;65,49;64,87;64,83;64,01
18;"Marxalenes";5;51;35;57,96;58,91;58,85;60,05;60,77;60,4;59,97;59,71;58,95;58,75;58,1;57,43;57,55
19;"Morvedre";5;52;35;63,93;64,44;64,35;64,45;64,64;64,74;64,46;64,62;64,28;64,05;63,67;63,3;63,02
20;"Trinitat";5;53;35;59,76;61,06;61,25;62,16;62,42;62,18;61,76;61,76;61,49;61,64;61,57;60,33;59,52
21;"Tormos";5;54;35;57,57;59,08;59,31;60,21;60,68;60,57;60,57;60,34;59,02;58,51;57,89;57,83;57,53
22;"Sant Antoni";5;55;35;66,4;67,3;67,26;68,24;68,33;67,93;67,78;67,7;66,84;66,84;66,69;66,69;66,48
23;"Exposició";6;61;35;74,46;75,34;75,08;75,5;75,7;75,04;74,16;74,19;73,81;74,26;74,04;73,31;73,42
24;"Mestalla";6;62;35;64,13;64,94;65,05;65,22;65,71;65,33;65,54;66,02;65,42;66,11;65,91;65,65;65,66
25;"Jaume Roig";6;63;35;70,82;71,35;71,6;71,74;71,81;71,98;72,2;72,26;72,24;72,33;72,2;72,32;72,95
26;"Ciutat Universitària";6;64;35;69,58;69,61;69,3;69,54;71,45;70,75;70,53;69,74;69,71;70,48;70,44;69,37;69,31
27;"Nou Moles";7;71;35;57,63;58,19;58,13;58,7;59,1;59,28;59,14;59,07;58,25;57,93;57,26;56,69;56,31
28;"Soternes";7;72;35;56,5;57,15;57,74;58,71;59,22;59,11;59;59,38;59,13;58,87;57,77;57,32;57,66
29;"Tres Forques";7;73;35;53,74;53,45;53,39;54,31;54,49;54,41;53,9;53,7;52,76;51,55;50,16;49,17;48,34
30;"la Fontsanta";7;74;35;57,21;57,49;56,54;57,47;58,26;58,35;59,08;59,75;58,94;59,07;57,22;56,41;55,66
31;"la Llum";7;75;35;61,41;62,01;62,16;62,58;62,52;62,63;62,76;63,36;63,33;63,03;62,31;61,79;62,15
32;"Patraix";8;81;35;65,21;65,97;65,88;66,24;66,38;66,56;66,28;66,59;65,91;65,94;65,25;65;64,62
33;"Sant Isidre";8;82;35;68,55;69,06;69,43;69,81;70,14;70,06;70,5;70,44;70,02;69,9;69,31;69,07;68,78
34;"Vara de Quart";8;83;35;64,28;64,49;64,52;65,09;64,8;64,78;64,6;64,44;64,57;64,79;64,33;63,72;63,74
35;"Safranar";8;84;35;69,92;70,17;70,28;70,43;70,98;71,18;71,44;71,87;71,86;71,34;71,17;71,37;71,4
36;"Favara";8;85;35;62,12;61,31;61,08;61,85;62,23;62,81;62,7;62,54;62,38;62,58;61,96;60,99;61,67
