"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;38;8,26;9,39;10,23;9,94;10,72;9,39;10,65;9,77;9,03
2;"la Xerea";1;12;38;5,28;5,76;6,65;5,79;6,17;5,45;6,03;6,04;6,12
3;"el Carme";1;13;38;7,03;7,62;8,89;9,01;9,53;9,11;9,88;9,09;9,26
4;"el Pilar";1;14;38;8,17;9,13;9,94;9,59;10,17;8,37;8,04;8,05;8,04
5;"el Mercat";1;15;38;7,35;7,62;8,24;8,39;9,74;9,27;10,04;9,3;10,14
6;"Sant Francesc";1;16;38;3,52;4,37;5,26;5,95;6,45;6,15;6,65;6,01;6,34
7;"Russafa";2;21;38;4,66;4,93;5,52;5,56;6,06;5,92;6,19;5,8;6,07
8;"el Pla del Remei";2;22;38;2,04;2,03;2,22;2,5;2,78;2,79;3,08;2,68;2,71
9;"Gran Via";2;23;38;3,44;3,48;3,89;3,78;4,08;3,94;4,08;3,61;3,73
10;"el Botànic";3;31;38;6,01;6,53;7,11;7,43;7,63;6,57;6,54;6,02;6,53
11;"la Roqueta";3;32;38;3,2;3,81;4,36;4,1;4,89;4,77;5,68;5,16;5,57
12;"la Petxina";3;33;38;2,98;3,47;3,68;3,71;3,91;3,55;3,67;3,23;3,4
13;"Arrancapins";3;34;38;2,9;3,15;3,21;3,23;3,43;3,31;3,42;3,1;3,26
14;"Campanar";4;41;38;2,86;3,04;3,11;2,92;3,14;2,98;3,24;3,11;3,15
15;"les Tendetes";4;42;38;6,15;6,22;6,2;5,96;6,4;5,84;5,93;6,15;6,49
16;"el Calvari";4;43;38;3,76;4,42;4,87;5,23;5,33;5,18;4,93;4,93;4,8
17;"Sant Pau";4;44;38;3,33;3,41;3,56;3,63;4,01;3,97;4,33;4,17;4,49
18;"Marxalenes";5;51;38;3,38;3,56;3,89;4,05;4,55;4,23;4,31;4,47;4,4
19;"Morvedre";5;52;38;3,73;3,96;4,25;3,99;4,5;4,09;4;4,01;4,6
20;"Trinitat";5;53;38;4,83;5,36;5,84;5,56;6,01;5,87;5,89;5,86;5,67
21;"Tormos";5;54;38;3,34;3,59;3,72;3,57;4,22;4,18;4,12;4,19;4,3
22;"Sant Antoni";5;55;38;2,59;2,81;2,84;2,83;3,17;3,16;3,34;3,4;3,54
23;"Exposició";6;61;38;2,69;3,27;3,85;3,85;4,33;3,68;3,75;3,61;3,47
24;"Mestalla";6;62;38;4,25;4,51;4,81;4,52;4,77;4,22;4,22;4,13;4,14
25;"Jaume Roig";6;63;38;3,1;3,22;3,5;3,54;3,55;2,94;3,02;2,75;2,66
26;"Ciutat Universitària";6;64;38;3,03;3,58;3,56;4,38;4,42;3,86;4,17;4,04;4,01
27;"Nou Moles";7;71;38;3,11;3,29;3,41;3,15;3,56;3,51;3,49;3,46;3,47
28;"Soternes";7;72;38;3,74;3,77;3,67;3,14;3,35;3,01;3,59;3,62;3,51
29;"Tres Forques";7;73;38;4,89;5,21;5,27;4,95;5,35;4,85;4,48;4,48;4,27
30;"la Fontsanta";7;74;38;4,59;4,8;4,73;4,49;4,68;3,73;3,54;3,45;3,32
31;"la Llum";7;75;38;1,62;1,74;1,64;1,66;1,78;1,4;1,66;1,75;1,62
32;"Patraix";8;81;38;3,03;3,09;3,23;2,93;3,14;2,86;3,07;3,11;2,91
33;"Sant Isidre";8;82;38;1,45;1,54;1,64;1,53;1,83;1,87;1,99;2;1,98
34;"Vara de Quart";8;83;38;1,69;1,9;2,09;1,82;1,82;1,77;1,78;1,93;1,94
35;"Safranar";8;84;38;1,38;1,49;1,55;1,57;1,59;1,51;1,59;1,51;1,39
36;"Favara";8;85;38;3,15;2,9;2,51;2,38;2,65;2,67;2,37;2,12;1,99
37;"la Raiosa";9;91;38;3,38;3,46;3,72;3,49;3,5;3,25;3,42;3,36;3,59
38;"l'Hort de Senabre";9;92;38;2,32;2,22;2,28;2,01;2,34;2,29;2,61;2,6;2,49
