"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;33;49,24;49,88;50,02;49,97;49,91;49,19;48,8;49,23;47,53;48,19;47,85;46,77;46,32
2;"la Xerea";1;12;33;54,22;54,88;55,04;55,33;55,87;56,52;56,2;56,53;56,7;56,88;56,45;55,37;54,85
3;"el Carme";1;13;33;53,94;54,49;54,57;54,32;54,75;54,31;53,59;53,27;52,83;52,94;51,96;50,3;49,13
4;"el Pilar";1;14;33;47,43;48,87;48,45;48,15;48,38;48,45;48,14;48,56;48,19;47,82;46,94;46,35;45,44
5;"el Mercat";1;15;33;50,39;51,16;51,06;51,25;51,89;51,92;51,5;51,53;50,67;50,45;50,22;48,48;46,77
6;"Sant Francesc";1;16;33;57,71;58,25;58,34;59,16;59,76;59,13;58,43;57,5;56,71;56,77;55,79;55,73;54,91
7;"Russafa";2;21;33;53,26;54,24;54,51;54,97;55,68;55,93;55,83;56,02;55,78;56,09;55,78;55,18;54,89
8;"el Pla del Remei";2;22;33;64,72;65,25;65,12;65,41;65,72;65,71;65,75;65,35;65,02;65,29;64,71;64,07;64,02
9;"Gran Via";2;23;33;63,06;63,92;63,92;64,31;64,64;64,76;64,75;64,64;64,58;64,71;64,23;63,74;63,7
10;"el Botànic";3;31;33;53,92;53,88;53,81;54,27;54,83;55,12;55,35;55,39;54,8;55,69;55,01;53,95;53,23
11;"la Roqueta";3;32;33;48,31;48,82;49,22;49,19;49,5;48,57;48,6;48,4;48,22;48,06;47,25;46,19;44,99
12;"la Petxina";3;33;33;57,79;58,69;58,67;58,83;59,01;58,97;58,93;59,34;59,71;59,89;59,46;59,65;59,63
13;"Arrancapins";3;34;33;56,7;57,15;57,35;57,63;58,04;58,14;58,07;58,1;58,13;58,17;57,67;57,65;57,65
14;"Campanar";4;41;33;53,86;53,91;54,41;54,59;55,06;55,08;54,95;55,21;55,04;54,72;54,32;54,18;53,96
