"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;16;164,17;163,89;167,89;158,16;157,68;155,28;150,26;150,66;150,5;158,33;166,76;166,58;168,06
2;"la Xerea";1;12;16;185,59;176,52;180,9;180,12;184,51;184,27;177,37;186,25;182,01;178,54;185,88;190,2;197,93
3;"el Carme";1;13;16;190,88;178,91;169,83;169,82;167,44;167,73;171,99;170,18;171,56;163,79;162,31;153,9;158,86
4;"el Pilar";1;14;16;174,09;178,26;189,47;178,37;168,9;155,05;151,06;150,36;139,08;139;134,53;135,57;137,93
5;"el Mercat";1;15;16;177,07;175;173,28;173,46;171,2;161,92;150,91;149,66;150,11;144,83;142,09;143,46;149,11
6;"Sant Francesc";1;16;16;220,71;219,16;210,31;219,14;222,98;218,82;216,21;208,63;206,08;200,14;206,09;214,98;218,52
7;"Russafa";2;21;16;157,15;156,44;151,57;150,75;153,28;154,39;155,21;153,21;152,95;150,02;153,63;153,7;156,56
8;"el Pla del Remei";2;22;16;178,88;177,24;173,58;166,28;171,89;178,93;176,58;170,57;171,96;170,91;165,7;171,38;180,21
9;"Gran Via";2;23;16;147,38;147,22;147,07;150,4;153,01;158,91;158,08;157,61;156,41;158,9;162,23;167,88;169,22
10;"el Botànic";3;31;16;172,9;171,04;159,44;164,2;162,27;159,2;156;151,66;153,74;151,04;151,21;155,99;154,87
11;"la Roqueta";3;32;16;177,54;182,56;174,73;179,07;174,68;179,59;179,6;181,73;178,29;178,97;184,02;187,38;185,47
12;"la Petxina";3;33;16;153,74;153,96;153,53;153,46;155;157,13;156,35;156,7;160,22;161,77;163,3;165,36;167,28
13;"Arrancapins";3;34;16;169,75;169,33;168,32;169,35;174;178,8;180,65;177,41;176,9;182,26;186,98;188,83;192,06
14;"Campanar";4;41;16;136,43;145,44;147,32;156,92;169,8;178,81;183,3;190,16;197,96;202,3;206,72;216,2;228,04
15;"les Tendetes";4;42;16;169,3;185,36;197,93;207,3;214,26;220,8;228,42;218,97;216,89;220,76;228,52;231,04;233,06
16;"el Calvari";4;43;16;224,16;225,13;216,47;212,97;215,63;222,02;216,37;220,63;214,65;205,71;204,97;199,29;192,78
17;"Sant Pau";4;44;16;43,03;44,64;45,61;47,37;48,59;50,96;53,25;54,8;57,47;61,37;64,99;70,48;72,57
18;"Marxalenes";5;51;16;172,44;183,13;181,39;185,94;201,25;209,31;210,71;215,14;220,35;215,8;208,4;205,74;211,63
19;"Morvedre";5;52;16;175,97;172,63;182,86;183,65;188,5;194,36;190,45;189,23;188,45;186;195,29;195,71;202,89
20;"Trinitat";5;53;16;209,69;210,79;210,67;216,56;217,01;217,83;218;206,15;203,47;204,09;195,35;200,1;197,28
21;"Tormos";5;54;16;112,88;113,58;114,72;115,41;118,55;118,99;128,63;126,48;128,41;127,31;128,7;133,36;141,86
22;"Sant Antoni";5;55;16;115,74;119,84;121,92;125,57;132,85;138,62;139,88;147,08;144,81;152,7;156,04;165,55;173,02
23;"Exposició";6;61;16;132,05;136,4;144,24;144,92;157,71;161,54;166,97;170,64;167,18;170,62;169,71;167,5;162,94
24;"Mestalla";6;62;16;113,22;115,58;115,79;118,76;125,22;133,14;137,49;138,25;140,03;141,41;142,86;147,31;148,73
25;"Jaume Roig";6;63;16;134,93;134,13;135,36;136,22;140,33;147,61;151,63;151,23;153,22;152,64;151,41;153,58;155,81
26;"Ciutat Universitària";6;64;16;116,86;118,83;121,18;129,36;137,01;157,04;172,73;164,68;162,71;158,82;161,21;145,45;158,18
27;"Nou Moles";7;71;16;162,74;164,42;171,53;173,31;180,6;181,85;183,08;186,99;183,09;180,42;178,48;178,9;183,99
28;"Soternes";7;72;16;141,8;151,35;152,66;156,44;156,72;159,52;155,91;152,41;159,11;161,75;166,52;173,55;179,11
29;"Tres Forques";7;73;16;193,23;189,44;189,55;194,85;195,93;188,41;188,06;176,21;174,27;169,55;161,2;158,37;155,35
30;"la Fontsanta";7;74;16;106,41;104,52;106,67;109,69;114,49;111;116,44;111,09;117,39;116,78;117,81;119,07;113,65
31;"la Llum";7;75;16;93,92;97,56;106,62;107,1;114,94;123,18;130,85;134,45;146,24;156,23;169,43;179,9;188,69
32;"Patraix";8;81;16;140,86;142,6;144,29;149,06;153,48;155,83;160,67;163,17;165,92;169,82;172,11;178,84;186,39
33;"Sant Isidre";8;82;16;48,92;51,85;55,87;61,98;69,77;73,17;81,7;90,11;98,35;106,37;117;126,15;132,11
34;"Vara de Quart";8;83;16;127,7;137,48;145,24;152,39;159,72;173,86;181,64;192,42;202,49;212,3;230,45;241,96;257,02
35;"Safranar";8;84;16;71,48;72,37;77,16;80,71;84,51;86,1;89,64;96,25;104,44;111,12;116,3;119,17;124,17
36;"Favara";8;85;16;98,14;97,55;96,03;97,45;101,47;104,83;110,55;109,89;114,74;117,77;124,71;129,98;140,52
37;"la Raiosa";9;91;16;146,48;149,56;150,29;153,35;157,27;153,7;151,94;156,17;154,94;159,5;159,8;166,34;171,62
38;"l'Hort de Senabre";9;92;16;109,34;114,22;119,01;121,59;129,02;133,31;134,11;142,16;150,67;153,56;164,7;173,85;184,19
39;"la Creu Coberta";9;93;16;106,65;110,58;118,12;126,57;135,73;141,33;149,18;153,18;160,11;155,82;163,71;179,92;186,77
41;"Camí Real";9;95;16;53,67;55,66;55,37;60,18;60,91;62,92;63,94;64,76;67,63;68,37;70,52;75,28;78,18
42;"Mont-Olivet";10;101;16;181,43;182,04;183,32;181,23;182,98;178,97;174,62;175,46;177,6;177,7;177,78;181,44;185,34
43;"en Corts";10;102;16;135,71;140,87;137,88;135,89;140,25;142,67;144,72;148,03;149,28;149,91;151,01;153,46;152,85
44;"Malilla";10;103;16;86,22;89,99;95,78;100,91;107,3;115,39;121,14;127,67;136,48;142,95;146,4;150,94;156,32
45;"Fonteta de Sant Lluís";10;104;16;105,51;114,81;112,19;125,73;130,39;133,72;136,02;139,44;149,39;152,67;154,85;161,17;151,92
46;"na Rovella";10;105;16;132,53;141,19;145,15;147,19;146,89;156,22;157,19;158,49;160,04;155,44;156,22;165,58;162,08
47;"la Punta";10;106;16;167;164,72;143,86;149,7;132,88;119,16;115,98;109,6;109,26;109,11;105,81;103,57;111,61
48;"Ciutat de les Arts i les Ciències";10;107;16;38,4;40,45;41,18;42,6;44,81;45,5;47,59;50,26;55,71;63,5;68,08;73,51;79,15
49;"el Grau";11;111;16;88,73;89,72;91,26;90,46;90,64;91,19;95,95;99,93;104,18;107,07;114,01;117,31;122,46
50;"el Cabanyal-el Canyamelar";11;112;16;149,98;147,93;140,24;136,04;137,8;135,5;132,95;138,21;141,28;150,57;156,84;155,5;160,68
51;"la Malva-rosa";11;113;16;114,48;117,2;118,98;123,99;131,19;137,97;145,03;152,15;155,76;166,23;173,26;182,92;188,69
52;"Beteró";11;114;16;82,85;86,28;92,48;94;100,39;103,85;108,96;118,53;127,28;134,71;145,75;155,44;166,87
53;"Natzaret";11;115;16;109,6;111,58;112,69;111,02;113,59;123,55;124,37;120,86;117,62;116,9;115,73;121,48;121,85
54;"Aiora";12;121;16;109,67;108,74;109,11;111,22;114,06;117,04;120,91;123,26;127,9;133,93;141,08;148,86;153,78
55;"Albors";12;122;16;147,25;151,6;156,07;155,03;160,91;165,74;159,85;165,79;167,95;173,56;174,57;180,61;188,38
56;"la Creu del Grau";12;123;16;104,21;106,74;108,28;108,84;112,78;116,06;116,17;119,18;124,16;128,91;134,58;140,12;145,31
57;"Camí Fondo";12;124;16;110,33;114,81;114,91;120,41;123,99;131,73;136,78;140,16;142,36;145,4;151,52;149,6;151,8
58;"Penya-roja";12;125;16;27,4;28,91;31,12;33,68;35,35;37,98;41,22;43,16;46,01;49,06;51,9;56,87;62,03
