"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;20;113,87;118,21;122,66;124,82;131,27;131,43;138,62;140,28;128,76;137,21;138;136,72;129,54
2;"la Xerea";1;12;20;105,26;110,99;112,61;116,96;121,1;122,86;127,44;129,43;135,56;140,54;135,61;133,3;129,38
3;"el Carme";1;13;20;86,38;91,33;91,23;96,42;102,94;107,69;113,51;127,99;134,38;137,38;136,04;129,5;128,45
4;"el Pilar";1;14;20;82,75;81,41;83,54;88,65;91,59;96,09;99,88;108,1;111,33;116,27;117,92;118,27;116,97
5;"el Mercat";1;15;20;88,63;87,81;86,15;93,3;100,25;103,65;109,67;108,18;109,86;117,35;116,61;112,9;112,97
6;"Sant Francesc";1;16;20;109,27;115,83;118,96;125,7;129,73;127,35;124,85;125,12;123,12;120,59;118,54;118,45;113,72
7;"Russafa";2;21;20;97,98;103,29;106,6;115,36;122,61;129,17;133,3;137,63;141,71;142,06;143,18;140,76;137,4
8;"el Pla del Remei";2;22;20;125,05;125,33;127,62;130,32;131,22;132,8;130,61;133,95;134,7;136,89;138,25;137,27;135,3
9;"Gran Via";2;23;20;121,42;125,11;127,04;130,12;134,46;139,89;139,07;139,77;140,24;143,57;148,18;146,97;145,22
10;"el Botànic";3;31;20;95,22;98,24;104,85;111,88;121,71;124,8;131,09;133,05;138,32;140,96;140,08;138,15;135,63
11;"la Roqueta";3;32;20;98,09;106,21;111,98;120,86;122,81;122,71;122,48;124,21;123,86;128,56;126,81;122,95;119,41
12;"la Petxina";3;33;20;110,07;114,95;120,75;125,85;132,16;136,24;136,84;138,85;135,31;135,35;136,25;137,17;137,24
13;"Arrancapins";3;34;20;109,25;113,16;117,06;122,2;126,1;130,34;134,45;136,27;138,46;137,24;137,13;135,64;134,27
14;"Campanar";4;41;20;112,59;114,54;118,58;118,16;120,8;122,36;123,9;127,37;128,92;132,7;135,5;137,43;137,7
15;"les Tendetes";4;42;20;98,09;100,37;107,18;105,9;111,62;114,83;114,56;119,86;120,08;118,84;121,7;122,39;125,22
16;"el Calvari";4;43;20;87,69;90,05;93,55;102,49;110,05;110,66;116,3;121,76;125,66;125,95;125,07;132,88;126,91
17;"Sant Pau";4;44;20;93,43;96,09;100,55;109,7;117,2;123,95;132,81;141,82;149,38;157,39;158,35;162,05;166,8
18;"Marxalenes";5;51;20;96,87;100,36;103,62;107,97;114,68;119,97;121,07;124,69;126,21;125,97;127,63;129,26;131,85
19;"Morvedre";5;52;20;97,99;102,16;108,48;112,07;117,43;120,78;123,59;126,4;132,46;133,02;130,82;130,44;131,81
20;"Trinitat";5;53;20;91,65;92,79;99,04;101,92;106;107,59;108,93;113,95;114,81;118,03;118,68;121,24;121,3
21;"Tormos";5;54;20;90,46;99,04;101,29;107,53;114,98;122,32;130,93;131,35;133,99;137,82;137,86;141,25;138,35
22;"Sant Antoni";5;55;20;105,26;110,49;111,6;115,71;121,05;122,91;127,6;134,57;133,27;134,78;134,86;132,26;132,67
23;"Exposició";6;61;20;109,12;110,48;109,88;107,74;109,23;106,87;107,21;104,45;107,49;114,8;114,75;112,45;115,58
24;"Mestalla";6;62;20;97,96;101,24;103,12;106,68;111,64;115,44;121,17;122,33;119,67;122,74;121,31;119,32;118,17
25;"Jaume Roig";6;63;20;104,09;107,4;109,3;110,47;110,97;111,67;112,36;114,64;114,58;115,52;114,96;111,73;108,22
26;"Ciutat Universitària";6;64;20;96,26;94,09;94,59;97,89;105,62;108,49;110,23;109,23;108,03;107,69;108,65;101,82;102,35
27;"Nou Moles";7;71;20;99,89;104,89;109,59;116,58;121,16;125,44;130,8;132,77;132,68;133,66;134,25;132,75;132,15
28;"Soternes";7;72;20;90,58;97,89;103,98;106,44;116,11;123,57;125,9;134,55;139,64;143,43;149,13;143,76;142,79
29;"Tres Forques";7;73;20;86,79;93,63;98,87;108,63;115,35;121,8;130,14;130,23;134,48;136,34;131,18;131,34;132,22
30;"la Fontsanta";7;74;20;84,24;91,44;91,84;96,54;102,28;104,09;110,13;113,4;111,62;110,28;113,68;113,52;111,62
