"BA";"Nombre";"DT";"DTBA";"Indicador";"Valor 2010";"Valor 2011";"Valor 2012";"Valor 2013";"Valor 2014";"Valor 2015";"Valor 2016";"Valor 2017";"Valor 2018";"Valor 2019";"Valor 2020";"Valor 2021";"Valor 2022"
1;"la Seu";1;11;18;49,35;50,51;49,9;51,33;50,29;49,58;48,25;46,84;47,48;49,08;47,16;46,87;45,16
2;"la Xerea";1;12;18;54,76;55,15;54,44;56,77;57,67;57,62;58,65;58,7;59,98;61,82;59,41;57,85;57,36
3;"el Carme";1;13;18;46,63;46,87;46,02;46,28;47,74;47,76;47,39;48,16;46,91;46,66;46,55;44,08;43,9
4;"el Pilar";1;14;18;44,41;43,58;41,72;41,84;42,39;44,03;44,53;44,01;44,62;44,95;44,68;42,04;41,76
5;"el Mercat";1;15;18;43,51;43,01;42,01;42,11;43,51;44,44;45,04;44,44;43,88;42,72;43,19;42,91;41,95
6;"Sant Francesc";1;16;18;58,14;60,33;60,64;61,74;64,33;63,23;63,36;63,32;62,98;63,54;61,53;61,41;59,05
7;"Russafa";2;21;18;52,31;53,06;52,91;53,87;54,39;55,01;54,16;54,26;53,93;53,93;53,74;53,19;52,48
8;"el Pla del Remei";2;22;18;62,82;64,76;65,86;67,36;68,64;68,39;67,42;67,46;67,99;68,71;69,56;69,35;69,34
9;"Gran Via";2;23;18;63,95;65,27;65,85;66,38;68,41;68,08;68,12;68,52;67,82;67,82;67,98;66,52;65,45
10;"el Botànic";3;31;18;51,13;52,05;51,72;52,17;52,47;52,82;51,78;52,4;52,77;53,31;52,41;50,49;49,89
11;"la Roqueta";3;32;18;51,78;52,09;52,14;52,33;52,51;51,25;51,91;51,29;50,76;51,48;50,74;49,28;48,92
12;"la Petxina";3;33;18;59,16;60,12;59,75;60,76;60,69;60,68;60,47;60,94;59,99;58,65;58,41;58,73;59,43
13;"Arrancapins";3;34;18;56,42;57,4;58,01;59,28;60,19;60,61;60,75;60,7;61,24;61,9;61,26;61,71;61,52
14;"Campanar";4;41;18;41,31;43,2;45,45;47,56;50,03;53,19;55,02;57,77;60,76;62,91;65,19;67,3;69,42
15;"les Tendetes";4;42;18;43,97;46,23;47,2;48,54;50,04;51,67;53,19;55,14;55,39;58,13;58,96;59,82;60,38
16;"el Calvari";4;43;18;56,96;58,54;59,81;61,76;62,83;60,78;58,76;57,19;55,98;54,31;52,54;51,37;51,29
17;"Sant Pau";4;44;18;41,07;43,52;45,4;47,77;50,95;53,05;54,58;55,65;56,73;58,3;59,03;58,25;57,77
18;"Marxalenes";5;51;18;51,09;52,56;54,96;55,88;57,64;59,65;60,71;61,49;61,28;60,75;61,12;61,86;62,96
19;"Morvedre";5;52;18;57,55;57,69;57,69;58,42;59,38;60,15;59,99;60,53;59,52;59,69;58,53;57,39;56,61
20;"Trinitat";5;53;18;54,84;57,18;58,82;59,58;61,25;61,1;60,34;61,03;59,96;61,44;61,31;61,14;60,38
21;"Tormos";5;54;18;49,37;50,79;51,77;52,19;53,25;53,39;52,25;50,94;49,71;48,81;48,33;48,08;48,04
22;"Sant Antoni";5;55;18;47,59;49,04;49,85;51,27;52,3;51,9;52,21;53,33;53,37;54,69;55,03;55,75;55,93
23;"Exposició";6;61;18;57,76;59,42;61,55;63,6;64,91;66,18;67,19;67,51;68,91;70,47;71,61;70,76;72,1
24;"Mestalla";6;62;18;49,86;51,67;53,85;54,67;55,74;54,79;55,44;56,79;56,83;57,87;57,77;58,37;58,35
25;"Jaume Roig";6;63;18;59,74;61,76;64,07;65,57;66,87;67,98;69,37;70,13;70,17;70,64;70,65;72,06;73,13
26;"Ciutat Universitària";6;64;18;52,58;55,08;58,69;61,63;64,04;65,08;65,3;67,09;67,56;69,05;70,23;68,27;67,42
27;"Nou Moles";7;71;18;54,34;55,73;56,08;56,67;56,74;57,25;57,15;56,55;55,2;54,94;54,39;53,5;52,86
28;"Soternes";7;72;18;52,06;54,01;56,73;57,7;59,4;59,82;59,67;60,2;60,31;59,05;56,86;55,54;53,89
29;"Tres Forques";7;73;18;59,64;61,1;61,55;61,55;61,97;61,83;60,01;60,09;58,31;57,1;55,29;53,64;53,47
30;"la Fontsanta";7;74;18;49,39;50,54;50,7;51,63;53,39;54,36;55,33;55,53;54,49;54,6;53,07;52,57;51,3
31;"la Llum";7;75;18;45,63;46,01;46,96;48,4;49,85;49,81;49,73;49,56;50,93;51,88;52,06;51,58;54,3
32;"Patraix";8;81;18;51,22;53,36;54,01;54,62;55,79;56,26;55,71;56,17;55,43;55,69;55,24;54,83;54,41
33;"Sant Isidre";8;82;18;37,87;38,96;39,23;39,84;41,49;42,38;42,8;43,14;43,46;44,69;45,25;44,9;45,02
34;"Vara de Quart";8;83;18;37,67;39,59;40,83;42,13;44,25;46,76;50,08;51,63;53,92;55,89;58,04;59,8;62,36
35;"Safranar";8;84;18;42,15;43,98;44,2;45,73;46,27;47,43;48,26;49,66;50,58;51,34;51,84;52,96;53,04
36;"Favara";8;85;18;44,18;42,54;43,47;43,13;44,7;45,03;45,23;46,42;45,77;46,36;46,77;45,39;44,5
37;"la Raiosa";9;91;18;49,07;50,35;50,91;52,09;53,25;54,03;53,92;53,28;52,54;51,59;50,92;50,4;49,74
38;"l'Hort de Senabre";9;92;18;42,71;44,07;44,58;45,41;46,63;47,73;48,97;49,93;50,51;51,62;51,78;51,68;52,02
39;"la Creu Coberta";9;93;18;38,44;37,78;37,78;38,93;40,31;41,85;42,95;44,07;44,78;45,79;46,24;48,62;50,77
41;"Camí Real";9;95;18;33,84;35,21;37,18;39,62;42,04;43,32;45,99;46,62;47,92;48,3;47,97;48,36;47,46
42;"Mont-Olivet";10;101;18;53,9;56,54;57,29;57,5;58,93;59,13;59,71;59,53;58,84;58,9;57,96;57,95;57,46
43;"en Corts";10;102;18;51,24;51,82;53,55;54,98;54,7;54,66;53,41;52,9;52,78;52,18;51,49;50,86;50,54
44;"Malilla";10;103;18;42,27;44,46;45,92;47,35;49,73;51,5;52,51;54,04;54,81;55,46;56,27;57,13;56,61
45;"Fonteta de Sant Lluís";10;104;18;47,46;49,12;50,94;51,98;56,1;55,34;55;54,23;53,44;54,53;52,98;52,34;52,61
46;"na Rovella";10;105;18;50,09;52,23;53,72;55,66;56,99;57,5;57,22;57,39;57,12;57,18;56,61;56,48;55,85
47;"la Punta";10;106;18;61,19;60,37;57,6;55,6;53,9;53,57;51,56;52,19;53,99;54,48;55,19;54,22;55,13
48;"Ciutat de les Arts i les Ciències";10;107;18;39,29;41;42,14;42,32;43,4;42,39;43,05;42,86;42,72;43,5;43,61;42,59;42,99
49;"el Grau";11;111;18;41,5;42,48;42,75;44,51;46,09;46,95;47,2;48,45;46,89;47,92;48,04;47,85;47,58
50;"el Cabanyal-el Canyamelar";11;112;18;55,8;55,88;55,96;56,72;57,77;58,1;57,48;57,49;56,93;55,78;54,38;53,55;51,54
51;"la Malva-rosa";11;113;18;44,61;46,5;47,51;47,81;48,79;50,34;50,95;52,38;52,48;52,8;53,99;55,16;56,29
52;"Beteró";11;114;18;43,87;44,54;44,76;45,22;46,02;47,13;46,72;48,22;48,08;48,52;48,43;48,65;49,54
53;"Natzaret";11;115;18;48,55;48,97;50,68;53,37;55,63;55,19;55,16;56,95;56,74;56,75;55,41;53,03;53,89
54;"Aiora";12;121;18;47,16;48;48,96;49,82;50,62;50,49;49,98;49,89;49,44;49,72;49,54;49,03;49,81
55;"Albors";12;122;18;48,45;50,33;51,5;52,53;54,17;54,72;53,85;53,9;53,84;54,15;53,7;53,4;53,27
56;"la Creu del Grau";12;123;18;44,54;45,81;47,18;48,13;49,54;50,45;49,88;51,13;50,47;50,79;50,47;49,84;49,42
57;"Camí Fondo";12;124;18;44,76;46,7;48,95;50,22;50,03;50,02;49,72;50,02;49,45;50,84;51,64;50,87;51,29
58;"Penya-roja";12;125;18;44,37;46,93;49,26;50,52;51,69;52,98;53,42;53,82;54;53,91;52,85;51,32;49,57
59;"l'Illa Perduda";13;131;18;46,64;47,85;48,33;49,82;51,46;52,69;54,64;55,5;56,31;57,58;56,73;57,42;57,19
60;"Ciutat Jardí";13;132;18;36,64;38,14;39,94;42,68;45,55;47,82;49,57;51,6;54,49;57,95;59,69;61,54;63,07
61;"l'Amistat";13;133;18;46,12;47,56;47,93;49,84;50,93;51,97;52,58;53,95;53,68;53,97;53,83;53,75;54,36
62;"la Bega Baixa";13;134;18;47,33;48,81;49,99;53,14;53,87;55,43;55,77;56,89;57,38;57,31;57,67;58,15;57,78
63;"la Carrasca";13;135;18;38,39;38,7;39,66;41,67;42,17;43,02;44,11;43,87;45,44;45,94;47,32;48,13;49,93
64;"Benimaclet";14;141;18;44,76;45,33;46,44;46,65;48,05;48,71;49,56;50,97;51,08;52,64;53,41;53,24;54,21
65;"Camí de Vera";14;142;18;32,81;34,01;33,98;35,94;36,33;38,2;39,32;40,92;42,44;45,56;48,02;49,61;52,31
66;"Orriols";15;151;18;48,6;49,87;51,04;51,86;53,35;54,03;53,68;54,03;52,57;52,11;50,82;50,39;49,54
67;"Torrefiel";15;152;18;44,49;46,63;47,35;48,63;50,37;50,81;51,69;52,09;51,91;52,95;52,15;51,78;51,51
68;"Sant Llorenç";15;153;18;43,08;44,9;46,46;47,31;48,75;50,36;50,53;50,82;50,7;50,55;50,58;49,97;48,75
69;"Benicalap";16;161;18;43,96;44,99;45,94;47,59;48,94;49,93;50,89;51,23;51,98;51,96;51,13;51,2;50,76
70;"Ciutat Fallera";16;162;18;43,7;45,97;47,95;48,91;50,65;51,84;50,91;50,92;50,45;50,85;50,85;50,91;50,29
71;"Benifaraig";17;171;18;55,34;55,49;54,48;55,08;56,09;54,31;53,05;55,52;55,69;55,76;56,49;53,42;54,43
72;"Poble Nou";17;172;18;50,53;53,7;56,54;55,32;53,86;58,35;57,8;56,59;54,39;54,47;55,67;56,13;56,28
73;"Carpesa";17;173;18;48;47,93;48,77;48,39;48,31;50,74;53,18;54,71;56,99;58,77;62,19;62,59;64,05
74;"Cases de Bàrcena";17;174;18;41,11;45,91;48,16;55,13;57,89;58,26;57,8;59,91;55,41;54,71;58,04;51,91;47,56
75;"Mauella";17;175;18;93,94;93,55;93,33;93,1;79,31;73,33;67,86;80,77;77,78;80;56,25;56,76;54,05
76;"Massarrojos";17;176;18;59,8;60,84;58,47;58,74;57,92;58,26;58,2;58,3;59,04;60,46;58,57;54,42;54,2
77;"Borbotó";17;177;18;55,09;57,05;61,71;62;65,82;70,15;67,44;66,9;68,96;68,24;66,36;62,78;60,26
78;"Benimàmet";18;181;18;45,11;46,54;47,35;49,11;49,99;51,56;52;52,21;51,28;50,98;51,54;51,17;51,15
79;"Beniferri";18;182;18;33,05;33,69;33,07;34,1;37,01;38,42;38,79;42,29;45,53;46,16;48,07;48,56;50,71
80;"el Forn d'Alcedo";19;191;18;48,72;50,57;51,18;52,81;52,88;53,29;55,77;57,57;56,38;56,75;55,91;56,33;56,03
