id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48154,beautiful apartment wifi,219476,Toni,LA SAIDIA,MORVEDRE,39.48375,-0.37502,Entire home/apt,98,3,115,2021-11-14,0.84,2,352,16,VT-41540-V
55692,Delight in city center,120649,Pilar,CIUTAT VELLA,LA SEU,39.47658,-0.37654,Entire home/apt,100,1,1,2014-11-11,0.01,1,170,0,
95393,Modern and bright Duplex 3 Bedrooms Center Wi-Fi,508042,Carmen,CIUTAT VELLA,EL CARME,39.47685,-0.38181,Entire home/apt,141,2,103,2021-11-14,0.80,6,200,5,31815
100347,3BDR full Home at Sorolla station and Metro Jesús,1451371,Santiago,EXTRAMURS,ARRANCAPINS,39.45965,-0.38453,Entire home/apt,106,3,133,2021-08-31,2.71,1,0,5,
102524,EXCLUSIVE VILLA WITH POOL & 5 SUITES ON THE BEACH,535881,Vicente,POBLATS MARITIMS,LA MALVA-ROSA,39.48197,-0.32456,Entire home/apt,263,1,147,2021-12-12,1.19,7,244,23,VT-36438-V
103386,"Central 2 Bedrooms, 3/5 pers. Wi-Fi",508042,Carmen,CIUTAT VELLA,EL PILAR,39.47567,-0.38217,Entire home/apt,94,2,15,2021-08-01,0.12,6,213,2,31813
136378,Old City Charm with Modern Comfort,591197,Elisa,CIUTAT VELLA,EL MERCAT,39.47358,-0.37815,Entire home/apt,75,5,19,2020-11-01,0.15,3,9,0,VT-42161-V
147548,"Beautiful apartment,Valencia-Spain VT-32159-V",713025,Alejandro,QUATRE CARRERES,MONT-OLIVET,39.46195,-0.36063,Entire home/apt,300,2,85,2021-12-06,0.70,8,336,9,VT-32159-V
149715,1900 Style Valencian Beach  Home for 10px,5947,Susana Barbara,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46746,-0.32813,Entire home/apt,214,2,177,2021-12-02,1.40,1,286,12,Nº TURISMO VT36469V  CATEGORIA: standard
152369,Loft in Barrio del Carmen (Center),644376,Oscar,CIUTAT VELLA,EL CARME,39.47863,-0.38219,Entire home/apt,60,2,80,2019-09-07,0.71,4,0,0,
153375,Modern flat front of science's city,737412,Florence,QUATRE CARRERES,MONT-OLIVET,39.46062,-0.3605,Entire home/apt,20,180,0,,,1,156,0,
165971,★ Architectural touch! ★,791187,Inés,EXTRAMURS,LA ROQUETA,39.4679,-0.38206,Entire home/apt,71,5,390,2021-11-27,3.08,4,33,45,VT-32757-V
166315,Lovely Central Market Plaza Apt.,591197,Elisa,CIUTAT VELLA,EL MERCAT,39.47337,-0.3778,Entire home/apt,80,5,41,2021-12-01,0.36,3,105,5,VT-42153-V
169284,Apartment near downtown,806645,Maria Jesus,L'OLIVERETA,NOU MOLES,39.46759,-0.39067,Entire home/apt,28,30,92,2021-12-01,0.89,6,293,1,
182221,Apartments Calatrava City Valencia,1315567,Chiara,CAMINS AL GRAU,AIORA,39.46343,-0.34325,Entire home/apt,129,1,6,2021-11-07,0.08,2,345,2,VT-38755-V
192674,Modern 2 br in El Carmen -  Parking Available,933504,Anthony,CIUTAT VELLA,EL CARME,39.48002,-0.38021,Entire home/apt,89,3,91,2021-12-11,0.84,4,157,15,
193326,"Sunny balcony room, beach & city",937597,Noelia,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.473,-0.32897,Private room,50,1,193,2021-11-14,1.56,2,257,16,
225070,Valencia City & Beach,937597,Noelia,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47152,-0.33123,Private room,50,1,139,2021-11-01,1.14,2,257,9,
231367,Studio with terrace near Ruzafa,644376,Oscar,QUATRE CARRERES,MONT-OLIVET,39.45747,-0.36805,Entire home/apt,52,1,119,2021-09-29,1.02,4,0,9,
250981,Apartment Ciudad de Valencia,1315567,Chiara,CAMINS AL GRAU,LA CREU DEL GRAU,39.46233,-0.34263,Entire home/apt,106,4,3,2018-02-10,0.03,2,345,0,
260929,Luxury double SUITE with great shower,140702,Miguel,EL PLA DEL REAL,EXPOSICIO,39.47507,-0.36296,Private room,44,1,26,2021-10-12,0.25,3,244,5,
260935,"Double room near old town, university & Mestalla",140702,Miguel,EL PLA DEL REAL,EXPOSICIO,39.47505,-0.36282,Private room,32,1,316,2021-12-08,2.73,3,351,36,
265340,Design apartment in the center WIFI,1391644,Nina,L'EIXAMPLE,RUSSAFA,39.46232,-0.37508,Entire home/apt,85,2,76,2021-11-14,0.63,1,176,5,
273373,"Malvabeach family house, WiFi, pool, front beach",1387923,Pilar,POBLATS MARITIMS,LA MALVA-ROSA,39.48183,-0.32578,Entire home/apt,289,3,78,2021-11-29,0.67,10,305,16,AT-33952-V
276455,"Great Room in an apartment,Valencia",1444357,Alberto,ALGIROS,LA CARRASCA,39.47317,-0.33932,Private room,38,2,0,,,1,363,0,
288057,Fast.E-360Mbs/Tram 245m/Carmen 390m/On-St parking,1497590,David,LA SAIDIA,MORVEDRE,39.48367,-0.37377,Entire home/apt,59,4,86,2021-12-10,0.93,3,320,10,
308525,Loft Torres Quart-Valencia Center,1504505,Ignacio,EXTRAMURS,EL BOTANIC,39.47328,-0.38588,Entire home/apt,68,5,177,2021-09-03,1.63,1,3,1,VT-36615-V
313137,Apartamento centro de Valencia.,1610077,Alberto,L'EIXAMPLE,RUSSAFA,39.46359,-0.37359,Entire home/apt,57,3,47,2021-12-11,0.48,1,351,8,VT-42188-V
342806,Sunny room w/balcony and bathroom near cathedral,629940,Stefania,CIUTAT VELLA,LA SEU,39.47598,-0.37867,Private room,44,2,420,2021-12-08,3.52,1,129,19,
345690,suite en villa con baño y piscina.,535881,Vicente,POBLATS MARITIMS,LA MALVA-ROSA,39.48206,-0.32463,Private room,275,2,2,2017-10-07,0.02,7,365,0,
345709,Very Cosy Big Flat in The Carmen !!,1409031,Audrey,CIUTAT VELLA,EL CARME,39.47745,-0.3799,Entire home/apt,50,10,18,2021-10-16,0.15,2,239,3,
346695,Apartment in the historic center  WiFi,1757298,Juan,CIUTAT VELLA,EL CARME,39.47917,-0.377,Entire home/apt,60,2,443,2021-02-21,3.73,1,209,1,VT-36506-V
349904,85sqm Duplex Zen Carmen Down Town !,1409031,Audrey,CIUTAT VELLA,EL CARME,39.47885,-0.37935,Entire home/apt,80,5,158,2021-09-12,1.33,2,247,5,
354807,Beautiful penthouse in the center,535881,Vicente,CIUTAT VELLA,EL PILAR,39.47257,-0.38161,Entire home/apt,1200,1,2,2012-05-30,0.02,7,365,0,
359710,SUNNY VALENCIA by Americas Cup Port,1819721,Emanuele,CAMINS AL GRAU,LA CREU DEL GRAU,39.46155,-0.3404,Entire home/apt,39,3,230,2020-03-08,1.94,1,0,0,VT-46042-V
361016,PANORAMIC,1145189,Maria,EXTRAMURS,ARRANCAPINS,39.46051,-0.38512,Entire home/apt,71,2,189,2021-11-30,1.60,3,90,7,VT-37130-V
364517,City of Arts with private bath,1841798,Marta,QUATRE CARRERES,CIUTAT DE LES ARTS I DE LES CIENCIES,39.4546,-0.36013,Private room,50,2,16,2019-10-29,0.16,1,2,0,
377455,DOWNTOWN BEAUTIFUL LOFT,1896920,Vanesa,L'EIXAMPLE,RUSSAFA,39.46227,-0.37241,Entire home/apt,46,3,6,2015-08-16,0.05,1,0,0,
379870,Full equipped flat in Valencia 2-3p,713025,Alejandro,CIUTAT VELLA,SANT FRANCESC,39.47146,-0.37729,Entire home/apt,120,30,19,2021-08-31,0.17,8,170,1,VT-33099-V
379871,Lovely flat in Valencia's heart VT-33098-V,713025,Alejandro,CIUTAT VELLA,SANT FRANCESC,39.47146,-0.37729,Entire home/apt,200,30,50,2021-08-24,0.44,8,253,3,VT-33098-V
421405,"Unbeatable location, your own bath",2095681,Silvia,CIUTAT VELLA,EL MERCAT,39.47381,-0.37669,Private room,27,2,247,2021-11-15,2.12,2,112,24,
421406,Sunny room,2095681,Silvia,CIUTAT VELLA,EL MERCAT,39.4736,-0.37814,Private room,35,5,13,2019-10-26,0.14,2,7,0,
437683,Full equipped flat Valencia center,713025,Alejandro,CIUTAT VELLA,SANT FRANCESC,39.47146,-0.37729,Entire home/apt,120,30,32,2021-10-29,0.28,8,114,2,VT-33099-V
447232,LOCATION•NEW•QUIET•CHIC•METRO•IDEAL,2220857,Lorenzo,CIUTAT VELLA,EL MERCAT,39.47165,-0.37834,Entire home/apt,75,2,252,2021-11-28,2.17,4,58,3,
455833,apartment forehead station of ave.,2265891,Maite,EXTRAMURS,ARRANCAPINS,39.46018,-0.38432,Entire home/apt,60,2,262,2020-08-18,2.30,1,0,0,
467151,Deluxe Apartment Studio Wifi + pool,2319737,Javier,BENICALAP,BENICALAP,39.49225,-0.40044,Entire home/apt,91,3,49,2021-11-06,0.43,1,180,7,
472858,Habitación individual bonita y luminosa. Valencia,2345188,Joana,ALGIROS,LA CARRASCA,39.47574,-0.34483,Private room,17,5,21,2021-11-28,0.27,3,320,4,
476415,Sun Apartment Valencia  @  With Balcony & Parking,2361433,Raúl,CAMINS AL GRAU,PENYA-ROJA,39.46066,-0.35361,Entire home/apt,118,2,13,2021-08-04,0.23,2,103,1,VT-40428-V
