id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4620,VALENCIA HISTORIC HOUSE  50M BEACH,7093832,Francisca,POBLATS MARITIMS,LA MALVA-ROSA,39.47553,-0.32461,Entire home/apt,150,2,76,2019-01-21,0.91,1,305
45528,Valencia: El Saler Beach and Albufera Lake,202104,Lidia,POBLATS DEL SUD,EL SALER,39.35621,-0.32292,Entire home/apt,60,3,46,2018-12-08,0.65,1,50
48154,beautiful apartment wifi,219476,Toni,LA SAIDIA,MORVEDRE,39.48575,-0.37428,Entire home/apt,45,3,71,2018-12-06,0.70,3,345
55692,Delight in city center,120649,Pilar,CIUTAT VELLA,LA SEU,39.47681,-0.37523,Entire home/apt,100,1,1,2014-11-11,0.02,1,146
95393,Modern and bright Duplex 3 Bedrooms Center Wi-Fi,508042,Carmen,CIUTAT VELLA,EL CARME,39.47787,-0.38142,Entire home/apt,134,1,88,2019-02-22,0.94,6,167
100347,A solo 200m. AVE J. Sorolla y cerca de todo,1451371,Santiago,EXTRAMURS,ARRANCAPINS,39.4607,-0.38347,Private room,20,1,77,2019-02-17,5.18,1,140
102524,"Villa, City, Pool, and Beach!!!!!!",535881,Vicente,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47209,-0.33098,Entire home/apt,400,1,97,2019-01-05,1.09,8,244
103386,"Central 2 Bedrooms, 3/5 pers. Wi-Fi",508042,Carmen,CIUTAT VELLA,EL PILAR,39.47591,-0.38243,Entire home/apt,84,1,12,2018-09-20,0.13,6,234
111383,Quiet room in centre with WIFI,557546,Mirek & Lita,CIUTAT VELLA,EL MERCAT,39.47248,-0.37766,Private room,20,1,180,2018-12-30,1.90,4,180
121035,Casavecquia Bed& nice Breakfast,608292,Javier,CIUTAT VELLA,SANT FRANCESC,39.47059,-0.37501,Private room,39,1,224,2019-01-08,2.40,1,242
121393,Typical valencian house,610265,Amparo,POBLATS DEL NORD,BORBOTO,39.51968,-0.38921,Private room,60,1,0,,,1,364
129331,Fantastic Studio Apt. Best Location,591197,Elisa,EXTRAMURS,LA ROQUETA,39.46848,-0.38074,Entire home/apt,55,3,48,2019-02-22,0.53,4,73
136378,Old City Charm with Modern Comfort,591197,Elisa,CIUTAT VELLA,EL MERCAT,39.47387,-0.3777,Entire home/apt,70,5,8,2016-11-29,0.09,4,58
137209,CITY ARTS APART.WIFI.BREAKFST.2BEDR,671047,Mari Carmen,CAMINS AL GRAU,LA CREU DEL GRAU,39.46316,-0.34768,Entire home/apt,50,2,74,2018-12-02,0.79,1,207
146771,House near Russafa with WiFi,709516,Paula/ Paco,QUATRE CARRERES,EN CORTS,39.45624,-0.36809,Private room,32,2,176,2019-02-10,1.93,2,346
147548,"Beautiful apartment,Valencia-Spain VT-32159-V",713025,Violeta,QUATRE CARRERES,MONT-OLIVET,39.46161,-0.3603,Entire home/apt,280,2,51,2018-12-27,0.59,8,208
149715,1900 STYLE BEACH HOUSE with /WIFI,5947,Susana Barbara,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46609,-0.32673,Entire home/apt,250,2,125,2019-02-17,1.35,2,278
152369,Loft in Barrio del Carmen (Center),644376,Oscar,CIUTAT VELLA,EL CARME,39.47814,-0.38108,Entire home/apt,64,2,68,2019-01-16,0.86,4,308
153375,Modern flat front of science's city,737412,Florence,QUATRE CARRERES,MONT-OLIVET,39.46031,-0.35974,Entire home/apt,17,180,0,,,1,32
165971,Architectural touch!,791187,Inés,EXTRAMURS,LA ROQUETA,39.46734,-0.38183,Entire home/apt,56,4,258,2019-02-12,2.79,3,118
166315,Lovely Central Market Plaza Apt.,591197,Elisa,CIUTAT VELLA,EL MERCAT,39.47237,-0.37965,Entire home/apt,80,3,28,2018-11-27,0.35,4,119
169284,Apartment near downtown,806645,Maria Jesus,EXTRAMURS,ARRANCAPINS,39.46811,-0.38964,Private room,30,1,62,2018-11-16,0.89,8,285
182221,Apartments Calatrava City Valencia,1315567,Chiara,CAMINS AL GRAU,LA CREU DEL GRAU,39.46167,-0.34249,Entire home/apt,70,3,3,2017-11-19,0.07,2,355
185398,"Downtown flat, Terrace & WIFI - Just Renovated!",431741,Olga,EXTRAMURS,LA PETXINA,39.47512,-0.3911,Entire home/apt,59,1,103,2019-02-23,1.13,3,52
191651,Stylish and sunny apartment,434430,Eléonore,BENICALAP,BENICALAP,39.49345,-0.3933,Entire home/apt,60,3,74,2019-01-01,0.81,1,144
192674,Modern 2 br in El Carmen -  Parking Available,933504,Anthony,CIUTAT VELLA,EL CARME,39.48034,-0.37912,Entire home/apt,90,2,53,2019-01-05,0.71,5,142
193326,"Sunny balcony room, beach & city",937597,Noelia,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47294,-0.32912,Private room,21,1,122,2019-02-18,1.36,2,359
222753,House near City Arts+Wi-fi,709516,Paula/ Paco,QUATRE CARRERES,EN CORTS,39.4578,-0.36927,Private room,31,2,156,2019-01-01,1.74,2,349
225070,Valencia City & Beach,937597,Noelia,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47152,-0.32993,Private room,19,1,97,2019-02-10,1.10,2,360
226207,Villa en la ciudad y frente al mar!,535881,Vicente,POBLATS MARITIMS,LA MALVA-ROSA,39.48107,-0.32502,Entire home/apt,450,3,1,2018-12-15,0.39,8,356
231347,just In the heart of Valencia City,644376,Oscar,CIUTAT VELLA,EL MERCAT,39.47225,-0.37787,Entire home/apt,54,2,72,2019-02-17,0.90,4,133
231367,Studio with terrace near Ruzafa,644376,Oscar,QUATRE CARRERES,EN CORTS,39.45767,-0.36924,Entire home/apt,35,2,89,2018-10-08,1.07,4,190
247994,Your home at Malvarrosa beach!  WIFI (Fiber!) 2 BR,1299835,Emily,POBLATS MARITIMS,LA MALVA-ROSA,39.48082,-0.32889,Entire home/apt,65,3,46,2018-08-30,0.53,1,0
250981,Apartment Ciudad de Valencia,1315567,Chiara,CAMINS AL GRAU,LA CREU DEL GRAU,39.46271,-0.34266,Entire home/apt,64,3,3,2018-02-10,0.06,2,355
260935,"Double room near old town, university & Mestalla",140702,Miguel&Gemma,EL PLA DEL REAL,EXPOSICIO,39.47663,-0.36315,Private room,39,1,214,2019-01-27,2.62,3,334
265340,Design apartment in the center WIFI,1391644,Nina,L'EIXAMPLE,RUSSAFA,39.46255,-0.37454,Entire home/apt,75,2,57,2019-01-04,0.66,1,213
273373,"Malvabeach family house, WiFi, pool, front beach",1387923,Pilar,POBLATS MARITIMS,LA MALVA-ROSA,39.48082,-0.32654,Entire home/apt,270,3,44,2018-12-03,0.54,9,270
276455,"Great Room in an apartment,Valencia",1444357,Alberto,ALGIROS,LA CARRASCA,39.47273,-0.33993,Private room,38,2,0,,,1,357
281499,Fallas Apartment Central Valencia,1467260,Mark,L'EIXAMPLE,RUSSAFA,39.46302,-0.37808,Entire home/apt,75,2,15,2014-08-30,0.17,1,0
288057,50m2 - On-St parking/Wi-Fi/Metro 245m/Carmen 440m,1497590,David,LA SAIDIA,MORVEDRE,39.48441,-0.37405,Entire home/apt,55,3,59,2019-01-04,1.01,4,195
308525,Loft Torres Quart-Valencia Center,1504505,Ignacio,EXTRAMURS,EL BOTANIC,39.47469,-0.38608,Entire home/apt,54,2,136,2019-01-03,1.83,1,80
313137,Apartamento centro de Valencia. ,1610077,Alberto,L'EIXAMPLE,RUSSAFA,39.46332,-0.37462,Entire home/apt,44,3,29,2019-01-31,0.45,1,283
338751,"CENTRAL HISTORIC VALENCIA, GARAJE  .WIFI HEATING",1720515,Bérnar,CIUTAT VELLA,EL PILAR,39.47498,-0.38302,Entire home/apt,29,1,170,2019-02-18,2.21,1,105
342806,Sunny room w/balcony near cathedral,629940,Stefania,CIUTAT VELLA,EL MERCAT,39.47528,-0.3774,Private room,39,2,343,2018-09-23,4.02,1,110
345690,suite en villa con baño y piscina.,535881,Vicente,POBLATS MARITIMS,LA MALVA-ROSA,39.48054,-0.32525,Private room,200,1,2,2017-10-07,0.03,8,365
345709,Very Cosy Big Flat in The Carmen !!,1409031,Audrey,CIUTAT VELLA,EL CARME,39.47863,-0.38141,Entire home/apt,60,14,10,2018-08-02,0.12,2,347
346695,Apartment in the historic center  WiFi,1757298,Juan,CIUTAT VELLA,EL CARME,39.47911,-0.37716,Entire home/apt,70,2,338,2019-02-06,4.00,1,253
348464,Fab. twin room in the city center,1765803,Cristina,JESUS,LA RAIOSA,39.45699,-0.38636,Private room,50,1,5,2017-03-21,0.06,1,361
349904,85sq Duplex Zen:centro de Valencia!,1409031,Audrey,CIUTAT VELLA,EL CARME,39.4787,-0.38099,Entire home/apt,100,4,126,2019-01-02,1.49,2,298
357320,"Unique apartment, spectacular views",1808314,Belén,POBLATS MARITIMS,LA MALVA-ROSA,39.48213,-0.32566,Entire home/apt,40,3,8,2019-02-12,0.10,1,308
359710,SUNNY VALENCIA by Americas Cup Port,1819721,Emanuele,CAMINS AL GRAU,LA CREU DEL GRAU,39.46056,-0.3421,Entire home/apt,39,3,183,2019-02-20,2.16,1,293
361016,CENTRAL TOPFLOOR APT+TERRACE /WIFI,1145189,Maria,EXTRAMURS,ARRANCAPINS,39.46241,-0.38445,Entire home/apt,69,2,152,2019-01-13,1.81,3,201
364517,ArtsCity/private bath+brkfast+WIFI,1841798,Marta,QUATRE CARRERES,CIUTAT DE LES ARTS I DE LES CIENCIES,39.45496,-0.3588,Private room,30,2,14,2018-06-11,0.21,1,75
367058,Fabulously located downtown flat,1853079,John,CIUTAT VELLA,SANT FRANCESC,39.4726,-0.37605,Entire home/apt,75,3,42,2018-12-05,0.50,1,84
373219,Alcam Arte Ciencia in Valencia City,396363,Oscar And Diego,L'EIXAMPLE,RUSSAFA,39.46281,-0.36423,Entire home/apt,83,2,2,2019-02-26,0.34,1,319
377455,DOWNTOWN BEAUTIFUL LOFT,1896920,Vanesa,L'EIXAMPLE,RUSSAFA,39.46357,-0.37417,Entire home/apt,45,3,6,2015-08-16,0.07,1,181
379870,Full equipped flat in Valencia 2-3p,713025,Violeta,CIUTAT VELLA,SANT FRANCESC,39.47112,-0.37668,Entire home/apt,120,3,16,2018-08-29,0.20,8,201
379871,Lovely flat in Valencia's heart VT-33098-V,713025,Violeta,CIUTAT VELLA,EL MERCAT,39.47245,-0.3784,Entire home/apt,250,3,31,2018-08-04,0.39,8,294
381730,Comfortable duplex loft with patio. VT- 36337-V,1875021,Pilar,CIUTAT VELLA,EL CARME,39.47998,-0.38032,Entire home/apt,60,4,25,2019-01-01,0.31,3,121
393582,"Valencia Ciudad,temporadas para familias tranquilo",1560554,Elsa,EL PLA DEL REAL,MESTALLA,39.46694,-0.35813,Entire home/apt,47,5,41,2019-02-17,0.90,1,249
396062,Penthouse with Bioparc . WIFI,1979614,Susana,L'OLIVERETA,NOU MOLES,39.47292,-0.402,Entire home/apt,70,2,16,2019-01-01,0.21,1,318
407847,ATICO CATEDRAL,2031049,Carrera,CIUTAT VELLA,LA SEU,39.47489,-0.37484,Entire home/apt,160,2,5,2014-10-29,0.06,6,57
414667,ATICO REINA,2031049,Carrera,CIUTAT VELLA,EL MERCAT,39.47516,-0.37712,Entire home/apt,160,2,4,2018-09-20,0.07,6,152
421405,"Unbeatable location, your own bath",2095681,Silvia,CIUTAT VELLA,EL MERCAT,39.47415,-0.37746,Private room,27,2,173,2019-02-23,2.09,2,215
421880,"Comfortable, bright studio.Valenci",1875021,Pilar,CIUTAT VELLA,EL CARME,39.47853,-0.38175,Entire home/apt,56,4,6,2016-09-24,0.10,3,150
422454,Cozy and intimate loft. Valencia (VT 29817- V),1875021,Pilar,CIUTAT VELLA,EL CARME,39.47846,-0.38207,Entire home/apt,60,4,53,2018-12-02,0.77,3,154
427561,Near from City of Sciences & Center,2106469,Sol,L'EIXAMPLE,RUSSAFA,39.45812,-0.37461,Entire home/apt,55,3,18,2019-02-11,1.44,1,39
437683,Full equipped flat Valencia center,713025,Violeta,CIUTAT VELLA,EL MERCAT,39.47198,-0.37795,Entire home/apt,100,3,26,2018-10-23,0.32,8,170
447232,LOCATION•NEW•QUIET•CHIC•METRO•IDEAL,2220857,Lorenzo,CIUTAT VELLA,EL MERCAT,39.47302,-0.37897,Entire home/apt,51,3,248,2018-10-23,3.03,3,129
448856,Mark's Place Rusafa,2228808,Mark,QUATRE CARRERES,MONT-OLIVET,39.45956,-0.36308,Private room,22,2,32,2018-12-03,0.89,2,315
455833, apartment forehead station of ave.,2265891,Maite,EXTRAMURS,ARRANCAPINS,39.46191,-0.38468,Entire home/apt,60,1,209,2019-02-23,2.63,1,291
456851,BIG TERRACE SEAVIEWS VALENCIA BEACH,2243616,Jaume Y Amparo,POBLATS MARITIMS,LA MALVA-ROSA,39.48536,-0.32431,Entire home/apt,120,2,51,2018-10-12,0.82,1,0
459398,Big room+private terrace 8th floor,557546,Mirek & Lita,CIUTAT VELLA,EL MERCAT,39.47321,-0.37653,Private room,30,1,344,2019-01-03,4.16,4,163
462101,Apartment 50 m beach(Valencia),2296609,Amparo,POBLATS DEL SUD,EL PERELLONET,39.29159,-0.28473,Private room,125,1,6,2019-02-10,0.15,1,303
467151,Deluxe Apartment Studio Wifi + pool,2319737,Javier,BENICALAP,BENICALAP,39.49236,-0.39944,Entire home/apt,75,2,27,2018-08-28,0.34,1,115
