id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price
airbnb599232358a46554f807aef061,https://www.airbnb.es/rooms/20824497,-0.4103839573623901,39.53735049527457,2018-04-06 23:07:50.608000,2018-09-16 20:01:22.564000,airbnb6287891,private_room,1,1,5,2,
airbnb599232358a46554f807aef062,https://www.airbnb.es/rooms/9743638,-0.40553298380520936,39.53781659071921,2017-08-15 07:28:00.528000,2017-10-09 10:35:28.994000,airbnb12141318,private_room,2,3,1,2,20
airbnb599232358a46554f807aef063,https://www.airbnb.es/rooms/440532,-0.4031724770196473,39.54103845253911,2017-08-15 00:46:12.488000,2018-05-28 19:07:16.438000,airbnb2188640,entire_home,0,5,85,2,36
airbnb599232358a46554f807aef064,https://www.airbnb.es/rooms/21776794,-0.4123576266587687,39.54622506724121,2018-04-06 23:07:50.608000,2018-05-13 11:13:28.098000,airbnb16281228,private_room,1,1,0,4,25
airbnb599232358a46554f807aef065,https://www.airbnb.es/rooms/12259478,-0.41381485255115563,39.54609573138564,2017-08-15 00:46:40.554000,2018-09-16 20:16:36.321000,airbnb66014145,private_room,0,3,1,1,
airbnb599232358a46554f807aef066,https://www.airbnb.es/rooms/9227288,-0.4134381702292753,39.54545916708448,2017-08-15 00:46:48.467000,2018-04-18 15:19:22.771000,airbnb27120715,entire_home,0,6,2,3,108
airbnb599232358a46554f807aef067,https://www.airbnb.es/rooms/15230810,-0.4130492816146334,39.54561280905535,2017-08-15 00:46:48.466000,2018-09-16 19:59:56.488000,airbnb87483114,private_room,1,1,10,1,
airbnb599232358a46554f807aef068,https://www.airbnb.es/rooms/19728888,-0.414133907036575,39.543855473946415,2017-08-15 00:46:16.200000,2017-10-08 13:05:56.120000,airbnb51685079,entire_home,1,2,10,3,35
airbnb599232358a46554f807aef069,https://www.airbnb.es/rooms/14890404,-0.4255187241643512,39.50177586152832,2017-08-15 03:54:55.309000,2018-06-04 19:24:48.612000,airbnb50652985,private_room,1,1,30,1,13
airbnb599232358a46554f807aef0610,https://www.airbnb.es/rooms/14889406,-0.42540262225870024,39.50155947833479,2017-08-15 03:54:47.292000,2018-06-04 19:24:42.477000,airbnb50652985,private_room,1,1,59,1,13
airbnb599232358a46554f807aef0611,https://www.airbnb.es/rooms/2488639,-0.425308438841975,39.504346180736576,2017-08-15 03:54:55.310000,2018-09-16 20:11:26.793000,airbnb12737363,entire_home,0,4,29,2,
airbnb599232358a46554f807aef0612,https://www.airbnb.es/rooms/27165541,-0.422031211996588,39.49963157146674,2018-08-26 07:05:50.378000,2018-09-16 00:17:11.375000,airbnb61615570,entire_home,3,4,8,2,
