"Any";"Indicador";"Barri";"Codi barri";"Valor"
2015;"Lloguer mensual m2 mediana m2 Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"1.1. la Seu";11;5,91503240236091
2015;"Lloguer mensual m2 mediana m2 Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"1.2. la Xerea";12;6,01246014326935
2015;"Lloguer mensual m2 mediana m2 Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"1.3. el Carme";13;5,74414449047414
2015;"Lloguer mensual m2 mediana m2 Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"1.4. el Pilar";14;5,61664154732672
2015;"Lloguer mensual m2 mediana m2 Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"1.5. el Mercat";15;6,190760198005
2015;"Lloguer mensual m2 mediana m2 Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"1.6. Sant Francesc";16;6,08129176611862
2015;"Lloguer mensual m2 mediana m2 Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"2.1. Russafa";21;5,03412845397435
2015;"Lloguer mensual m2 mediana m2 Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"2.2. el Pla del Remei";22;6,06264193295878
2015;"Lloguer mensual m2 mediana m2 Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"2.3. Gran Via";23;5,25466420232617
2015;"Lloguer mensual m2 mediana m2 Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"3.1. el Botànic";31;5,19862655351736
2015;"Lloguer mensual m2 mediana m2 Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"3.2. la Roqueta";32;5,1116140128276
2015;"Lloguer mensual m2 mediana m2 Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"3.3. la Petxina";33;4,65453874730857
2015;"Lloguer mensual m2 mediana m2 Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"3.4. Arrancapins";34;4,72390770640983
2015;"Lloguer mensual m2 mediana m2 Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"4.1. Campanar";41;4,27157352657447
2015;"Lloguer mensual m2 mediana m2 Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"4.2. les Tendetes";42;4,53766277579139
2015;"Lloguer mensual m2 mediana m2 Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"4.3. el Calvari";43;4,60107225121911
2015;"Lloguer mensual m2 mediana m2 Grup GGT01 VC: Habitatge Col·lectiu com a tipologia de més superfície";"4.4. Sant Pau";44;5,44692155747386
